context: Hey, are you the bastards trying to make a power grab around here lately? response:	Akura-oh and Tomoe, I believe it was.
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was. response:	How about you show us what you've got?! Come on!
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on! response:	Why not? We've got time.
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time. response:	Why not indulge them?
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them? response:	You should have left well enough alone.
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them?\You should have left well enough alone. response:	Nicely done.
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them?\You should have left well enough alone.\Nicely done. response:	Tomoe?
context: Hey, are you the bastards trying to make a power grab around here lately?\Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them?\You should have left well enough alone.\Nicely done.\Tomoe? response:	Tomoe?!
context: Akura-oh and Tomoe, I believe it was.\How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them?\You should have left well enough alone.\Nicely done.\Tomoe?\Tomoe?! response:	Tomoe...
context: How about you show us what you've got?! Come on!\Why not? We've got time.\Why not indulge them?\You should have left well enough alone.\Nicely done.\Tomoe?\Tomoe?!\Tomoe... response:	Isn't it peaceful, Kotetsu?
context: Why not? We've got time.\Why not indulge them?\You should have left well enough alone.\Nicely done.\Tomoe?\Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu? response:	Indeed, it is, Onikiri.
context: Why not indulge them?\You should have left well enough alone.\Nicely done.\Tomoe?\Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri. response:	Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,
context: You should have left well enough alone.\Nicely done.\Tomoe?\Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine, response:	and it seems she has been diligently practicing with talismans.
context: Nicely done.\Tomoe?\Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans. response:	I am glad to hear that.
context: Tomoe?\Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that. response:	The shrine should be secure now.
context: Tomoe?!\Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now. response:	How late do you intend to sleep?! Your food grows cold!
context: Tomoe...\Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold! response:	Wake up!
context: Isn't it peaceful, Kotetsu?\Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up! response:	So peaceful.
context: Indeed, it is, Onikiri.\Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful. response:	I wonder what's happening on this world
context: Lately, Lady Nanami has really come into her own as the land god of Mikage Shrine,\and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful.\I wonder what's happening on this world response:	I wonder what's happening on this world
context: and it seems she has been diligently practicing with talismans.\I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: I am glad to hear that.\The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: The shrine should be secure now.\How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: How late do you intend to sleep?! Your food grows cold!\Wake up!\So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Wake up!\So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: So peaceful.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
