context: provided as-is, barely edited, feel free to do whatever you want with this response:	TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO response:	EPISODE 25 ONE MORE GOODBYE
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE response:	MANKANSHOKU QUACK MEDICINE
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE response:	FIRST GRADUATION CEREMONY
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY response:	THREE-STAR GOKU UNIFORM BLADE REGALIA
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA response:	THREE-STAR GOKU UNIFORM SHACKLE REGALIA
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA response:	THREE-STAR GOKU UNIFORM SYMPHONY REGALIA
context: provided as-is, barely edited, feel free to do whatever you want with this\TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA response:	THREE-STAR GOKU UNIFORM PROBE REGALIA
context: TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO\EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA response:	KAMUI JUNKETSU
context: EPISODE 25 ONE MORE GOODBYE\MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU response:	ELITE FOUR CUSTOM DTR
context: MANKANSHOKU QUACK MEDICINE\FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR response:	20 YEARS AGO
context: FIRST GRADUATION CEREMONY\THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO response:	A CERTAIN AFRICAN NATION
context: THREE-STAR GOKU UNIFORM BLADE REGALIA\THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION response:	KIRYUUIN RAGYO
context: THREE-STAR GOKU UNIFORM SHACKLE REGALIA\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO response:	FINAL DEFENSE APPARATUS
context: THREE-STAR GOKU UNIFORM SYMPHONY REGALIA\THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS response:	NONON SOUND NEGATION
context: THREE-STAR GOKU UNIFORM PROBE REGALIA\KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION response:	SCISSOR BLADE FINAL ADDRESS MODE
context: KAMUI JUNKETSU\ELITE FOUR CUSTOM DTR\20 YEARS AGO\A CERTAIN AFRICAN NATION\KIRYUUIN RAGYO\FINAL DEFENSE APPARATUS\NONON SOUND NEGATION\SCISSOR BLADE FINAL ADDRESS MODE response:	SCISSOR BLADE DECOMMISSION MODE
