context: Huh? A person I love? response:	Yeah. Do you have someone special like that?
context: Huh? A person I love?\Yeah. Do you have someone special like that? response:	Um...
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um... response:	My dad, I guess?
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um...\My dad, I guess? response:	Uh, that's not what I mean.
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um...\My dad, I guess?\Uh, that's not what I mean. response:	What about you, Rifana-chan? Do you have someone like that?
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um...\My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that? response:	You see...
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um...\My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see... response:	I wanna marry someone like one of the legendary heroes.
context: Huh? A person I love?\Yeah. Do you have someone special like that?\Um...\My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes. response:	Like the Shield Hero?
context: Yeah. Do you have someone special like that?\Um...\My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero? response:	I wanna meet him, too.
context: Um...\My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too. response:	Look!
context: My dad, I guess?\Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too.\Look! response:	P-Please!
context: Uh, that's not what I mean.\What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too.\Look!\P-Please! response:	Spare my life!
context: What about you, Rifana-chan? Do you have someone like that?\You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too.\Look!\P-Please!\Spare my life! response:	After you killed so many demi-humans in your underground chamber,
context: You see...\I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too.\Look!\P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber, response:	you think you can beg for your life?!
context: I wanna marry someone like one of the legendary heroes.\Like the Shield Hero?\I wanna meet him, too.\Look!\P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?! response:	You can't be...
context: Like the Shield Hero?\I wanna meet him, too.\Look!\P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be... response:	One of those villagers I kept enslaved underground?
context: I wanna meet him, too.\Look!\P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground? response:	One of those demis?!
context: Look!\P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground?\One of those demis?! response:	The Rising of the Shield Hero
context: P-Please!\Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero response:	Raphtalia
context: Spare my life!\After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero\Raphtalia response:	W-Wait!
context: After you killed so many demi-humans in your underground chamber,\you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero\Raphtalia\W-Wait! response:	You lot would've died like dogs in the wild if I hadn't taken you in back then!
context: you think you can beg for your life?!\You can't be...\One of those villagers I kept enslaved underground?\One of those demis?!\The Rising of the Shield Hero\Raphtalia\W-Wait!\You lot would've died like dogs in the wild if I hadn't taken you in back then! response:	Shut your mouth!
