context: It's Oracion Seis vs. our Allied Forces! response:	But all of a sudden the magical bomber Christina, our trump card, was blown up!
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up! response:	Yes!
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes! response:	Then we headed straight into a head-on battle!
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle! response:	Yes!
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle!\Yes! response:	If it's love and dreams and you it'll become magical.
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: It's Oracion Seis vs. our Allied Forces!\But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: But all of a sudden the magical bomber Christina, our trump card, was blown up!\Yes!\Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: Yes!\Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: Then we headed straight into a head-on battle!\Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: Yes!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	Incredible...
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible... response:	These guys... are strong!
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible...\These guys... are strong! response:	What's the matter, Brain? Why have you stopped the spell?
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell? response:	Someone you know?
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know? response:	There's no mistaking it... You are Wendy.
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy. response:	The Maiden of the Sky!
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky! response:	The Maiden... of the Sky?
context: Now, let's cast a smile spell!\Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky? response:	What's that?
context: Incredible...\These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky?\What's that? response:	What does that mean?
context: These guys... are strong!\What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky?\What's that?\What does that mean? response:	Maiden of the Sky!
context: What's the matter, Brain? Why have you stopped the spell?\Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky?\What's that?\What does that mean?\Maiden of the Sky! response:	I didn't expect to encounter you here.
context: Someone you know?\There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky?\What's that?\What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here. response:	It looks like we picked up a nice present.
