context: Let's see... response:	Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this! response:	I can't wait to see what kind of great scholar he'll become in the future!
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future! response:	Yeah, I'll bet!
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet! response:	Mother... Father...
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father... response:	Try taking this on! Makankosappo!!
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!! response:	H- he avoided it! W- what kind of bastard is he, with such speed?
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed? response:	You pierced through this armor quite easily. That's quite a technique.
context: Let's see...\Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique. response:	If I had taken that head-on, I would have been out!
context: Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!\I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out! response:	That doesn't mean anything if I don't hit you!
context: I can't wait to see what kind of great scholar he'll become in the future!\Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you! response:	To think that you would inflict injury upon me!
context: Yeah, I'll bet!\Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me! response:	You're going to pay for this! I'm through playing around!
context: Mother... Father...\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around! response:	It doesn't mean anything if I don't hit you!
context: Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you! response:	All right!
context: H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right! response:	Wow, I did it!
