context: Line up by school. By school. response:	Teito Univesity. Saikyo University.
context: Line up by school. By school.\Teito Univesity. Saikyo University. response:	Tokyo Sport University.
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University. response:	Starting in ten,
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten, response:	nine,
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten,\nine, response:	eight,
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten,\nine,\eight, response:	seven,
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten,\nine,\eight,\seven, response:	six,
context: Line up by school. By school.\Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten,\nine,\eight,\seven,\six, response:	five,
context: Teito Univesity. Saikyo University.\Tokyo Sport University.\Starting in ten,\nine,\eight,\seven,\six,\five, response:	four,
context: Tokyo Sport University.\Starting in ten,\nine,\eight,\seven,\six,\five,\four, response:	three,
context: Starting in ten,\nine,\eight,\seven,\six,\five,\four,\three, response:	two,
context: nine,\eight,\seven,\six,\five,\four,\three,\two, response:	one.
context: eight,\seven,\six,\five,\four,\three,\two,\one. response:	Finish the first five kilometers in 3:10 each.
context: seven,\six,\five,\four,\three,\two,\one.\Finish the first five kilometers in 3:10 each. response:	After that, use your own judgment.
context: six,\five,\four,\three,\two,\one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment. response:	Run with the Wind
context: five,\four,\three,\two,\one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind response:	Haiji!
context: four,\three,\two,\one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind\Haiji! response:	Are you okay?
context: three,\two,\one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind\Haiji!\Are you okay? response:	Are you hurt? Would you like to drop out?
context: two,\one.\Finish the first five kilometers in 3:10 each.\After that, use your own judgment.\Run with the Wind\Haiji!\Are you okay?\Are you hurt? Would you like to drop out? response:	You can do it!
