context: Ta-da! response:	Why are you dressed like that?
context: Ta-da!\Why are you dressed like that? response:	Vacation! Vacation!
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation! response:	Why vacation?
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation!\Why vacation? response:	What?
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation!\Why vacation?\What? response:	Did you not tell the Vice Commander yet, Hana?
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation!\Why vacation?\What?\Did you not tell the Vice Commander yet, Hana? response:	I did.
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation!\Why vacation?\What?\Did you not tell the Vice Commander yet, Hana?\I did. response:	I told her there'd be no Orgone energy movement for the next three days...
context: Ta-da!\Why are you dressed like that?\Vacation! Vacation!\Why vacation?\What?\Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days... response:	So we're going on vacation!
context: Why are you dressed like that?\Vacation! Vacation!\Why vacation?\What?\Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation! response:	Aren't you always going to the pool and eating sweets on the job?
context: Vacation! Vacation!\Why vacation?\What?\Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job? response:	Those aren't vacations... Those are breaks!
context: Why vacation?\What?\Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks! response:	Lately, it's been nothing but hard missions.
context: What?\Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions. response:	And sleeping in a train car every night makes my shoulders stiff...
context: Did you not tell the Vice Commander yet, Hana?\I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff... response:	Do you understand the situation we're in?
context: I did.\I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in? response:	That's why.
context: I told her there'd be no Orgone energy movement for the next three days...\So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why. response:	We don't know what tomorrow will bring,
context: So we're going on vacation!\Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring, response:	so we need to take a vacation.
context: Aren't you always going to the pool and eating sweets on the job?\Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring,\so we need to take a vacation. response:	Don't you agree, Captain?
context: Those aren't vacations... Those are breaks!\Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain? response:	Well, if we were normal students, we'd be on summer break now.
context: Lately, it's been nothing but hard missions.\And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now. response:	But given what's going on...
context: And sleeping in a train car every night makes my shoulders stiff...\Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on... response:	True, you guys may need a break.
context: Do you understand the situation we're in?\That's why.\We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break. response:	Fine.
context: That's why.\We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break.\Fine. response:	I'll give the Midsummer's Knights permission for a vacation.
context: We don't know what tomorrow will bring,\so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation. response:	Us, too?
context: so we need to take a vacation.\Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too? response:	But make sure we can reach you at any time, okay?
context: Don't you agree, Captain?\Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay? response:	Pitz, she says we're going on vacation!
context: Well, if we were normal students, we'd be on summer break now.\But given what's going on...\True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation! response:	All right!
context: But given what's going on...\True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right! response:	They're ready to use.
context: True, you guys may need a break.\Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right!\They're ready to use. response:	You fixed them, huh?
context: Fine.\I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right!\They're ready to use.\You fixed them, huh? response:	They're perfect!
context: I'll give the Midsummer's Knights permission for a vacation.\Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right!\They're ready to use.\You fixed them, huh?\They're perfect! response:	That was faster than planned.
context: Us, too?\But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right!\They're ready to use.\You fixed them, huh?\They're perfect!\That was faster than planned. response:	We worked hard.
context: But make sure we can reach you at any time, okay?\Pitz, she says we're going on vacation!\All right!\They're ready to use.\You fixed them, huh?\They're perfect!\That was faster than planned.\We worked hard. response:	Don't forget to give us that data!
context: Pitz, she says we're going on vacation!\All right!\They're ready to use.\You fixed them, huh?\They're perfect!\That was faster than planned.\We worked hard.\Don't forget to give us that data! response:	You were the one who said
context: All right!\They're ready to use.\You fixed them, huh?\They're perfect!\That was faster than planned.\We worked hard.\Don't forget to give us that data!\You were the one who said response:	we should leave the Machine Goodfellow testing to Amara and Moco, Puck.
context: They're ready to use.\You fixed them, huh?\They're perfect!\That was faster than planned.\We worked hard.\Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck. response:	But the development schedule is lagging badly behind.
context: You fixed them, huh?\They're perfect!\That was faster than planned.\We worked hard.\Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind. response:	The pilot's mental state
context: They're perfect!\That was faster than planned.\We worked hard.\Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state response:	greatly affects the Neural Maneuver System's capabilities.
context: That was faster than planned.\We worked hard.\Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities. response:	The method we're using is the best way to obtain the data we need.
context: We worked hard.\Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need. response:	When humanity goes to space for the Kivotos Plan,
context: Don't forget to give us that data!\You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan, response:	that system will be necessary.
context: You were the one who said\we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary. response:	Is it falling behind because they're slacking,
context: we should leave the Machine Goodfellow testing to Amara and Moco, Puck.\But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking, response:	or because they're uncooperative?
context: But the development schedule is lagging badly behind.\The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative? response:	I have no data on that.
context: The pilot's mental state\greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that. response:	We must do something.
context: greatly affects the Neural Maneuver System's capabilities.\The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that.\We must do something. response:	Is there some system that would allow us
context: The method we're using is the best way to obtain the data we need.\When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that.\We must do something.\Is there some system that would allow us response:	to control people more directly?
context: When humanity goes to space for the Kivotos Plan,\that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that.\We must do something.\Is there some system that would allow us\to control people more directly? response:	I suppose you're the only one at the company I can truly control...
context: that system will be necessary.\Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that.\We must do something.\Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control... response:	Don't forget that I have your emergency shutdown switch.
context: Is it falling behind because they're slacking,\or because they're uncooperative?\I have no data on that.\We must do something.\Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch. response:	Puck does not lie.
context: or because they're uncooperative?\I have no data on that.\We must do something.\Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie. response:	Even if the Machine Goodfellows are fixed...
context: I have no data on that.\We must do something.\Is there some system that would allow us\to control people more directly?\I suppose you're the only one at the company I can truly control...\Don't forget that I have your emergency shutdown switch.\Puck does not lie.\Even if the Machine Goodfellows are fixed... response:	The new engine series is finally nearing completion.
