context: Rendezvous in the blue sky, cuckoo response:	Discovery of the Suspect's Body
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body response:	It wasn't supposed to be like this, head in my hands
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world response:	Time passes like whispering sand
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand response:	These circumstances, unchanging
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging response:	gazing out at a dreamless tomorrow
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow response:	Wanna say goodbye to the confusion of yesterday
context: Rendezvous in the blue sky, cuckoo\Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday response:	I try reaching out, as if to resist
context: Discovery of the Suspect's Body\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist response:	We cry millions of times and then get born again
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again response:	Let's go with these red eyes
context: Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes response:	to that pictured future
context: Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future response:	Come here right by me, I'm clapping my hands
context: These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands response:	Where are you? Who are you?
context: gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you? response:	Strain my eyes in the darkness
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode 2
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2 response:	Pitiless Song
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2\Pitiless Song response:	Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables
