context: Party is over response:	But I still wanna dance
context: Party is over\But I still wanna dance response:	I can't even sleep
context: Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	4 The story of the cursed sword
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword response:	You there.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there. response:	Give it up.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there.\Give it up. response:	He can't hear a word you're saying.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there.\Give it up.\He can't hear a word you're saying. response:	He's deaf up here.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there.\Give it up.\He can't hear a word you're saying.\He's deaf up here. response:	Been standing there for half an hour now.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there.\Give it up.\He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now. response:	He's as wet as a drowned rat.
context: Light it up, baby. I'm gonna burn it up, yeah\4 The story of the cursed sword\You there.\Give it up.\He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat. response:	He can catch a cold for all I care.
context: 4 The story of the cursed sword\You there.\Give it up.\He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care. response:	The rain. I think he's listening to the rain.
context: You there.\Give it up.\He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain. response:	Huh? I told you, he can't hear.
context: Give it up.\He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear. response:	I just have a feeling.
context: He can't hear a word you're saying.\He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling. response:	You're from a rich family, aren't ya?
context: He's deaf up here.\Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya? response:	Pretty words and a ladylike face.
context: Been standing there for half an hour now.\He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face. response:	You're not some country girl.
context: He's as wet as a drowned rat.\He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl. response:	I'm right, aren't I?
context: He can catch a cold for all I care.\The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I? response:	Well.
context: The rain. I think he's listening to the rain.\Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I?\Well. response:	The past is the past. I'm just another peddler now.
context: Huh? I told you, he can't hear.\I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now. response:	Whatever.
context: I just have a feeling.\You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now.\Whatever. response:	Hey, what were you praying so hard about just now?
context: You're from a rich family, aren't ya?\Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now? response:	Good business?
context: Pretty words and a ladylike face.\You're not some country girl.\I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now?\Good business? response:	I was praying that my brother would come home soon.
context: You're not some country girl.\I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon. response:	Where'd he go?
context: I'm right, aren't I?\Well.\The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon.\Where'd he go? response:	To fight a war. It's been 5 years now.
context: Well.\The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now. response:	5 years? If it's been that long, he's probably already...
context: The past is the past. I'm just another peddler now.\Whatever.\Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already... response:	Help... me...
context: Whatever.\Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me... response:	Oh no.
context: Hey, what were you praying so hard about just now?\Good business?\I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me...\Oh no. response:	Where are you going?
context: Good business?\I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me...\Oh no.\Where are you going? response:	Boys?
context: I was praying that my brother would come home soon.\Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me...\Oh no.\Where are you going?\Boys? response:	Why'd you run off like that?
context: Where'd he go?\To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me...\Oh no.\Where are you going?\Boys?\Why'd you run off like that? response:	What the heck?
context: To fight a war. It's been 5 years now.\5 years? If it's been that long, he's probably already...\Help... me...\Oh no.\Where are you going?\Boys?\Why'd you run off like that?\What the heck? response:	How could anyone do such a thing?
context: 5 years? If it's been that long, he's probably already...\Help... me...\Oh no.\Where are you going?\Boys?\Why'd you run off like that?\What the heck?\How could anyone do such a thing? response:	Where'd you come from?
context: Help... me...\Oh no.\Where are you going?\Boys?\Why'd you run off like that?\What the heck?\How could anyone do such a thing?\Where'd you come from? response:	Did you do this?
context: Oh no.\Where are you going?\Boys?\Why'd you run off like that?\What the heck?\How could anyone do such a thing?\Where'd you come from?\Did you do this? response:	Dammit, why the hell did you do this?
context: Where are you going?\Boys?\Why'd you run off like that?\What the heck?\How could anyone do such a thing?\Where'd you come from?\Did you do this?\Dammit, why the hell did you do this? response:	This sword was thirsty for blood.
context: Boys?\Why'd you run off like that?\What the heck?\How could anyone do such a thing?\Where'd you come from?\Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood. response:	And so I killed them.
context: Why'd you run off like that?\What the heck?\How could anyone do such a thing?\Where'd you come from?\Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them. response:	A thirsty sword? Give me a break!
context: What the heck?\How could anyone do such a thing?\Where'd you come from?\Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break! response:	This is no ordinary sword.
context: How could anyone do such a thing?\Where'd you come from?\Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword. response:	It's alive, a cursed sword that drinks human blood.
context: Where'd you come from?\Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood. response:	Once you have it in your hands,
context: Did you do this?\Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands, response:	it controls your body to kill anyone alive.
context: Dammit, why the hell did you do this?\This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive. response:	So you're blaming that sword for all this?
context: This sword was thirsty for blood.\And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this? response:	Then what about that?
context: And so I killed them.\A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that? response:	That smirk on your face.
context: A thirsty sword? Give me a break!\This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that?\That smirk on your face. response:	You are like me.
context: This is no ordinary sword.\It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that?\That smirk on your face.\You are like me. response:	There is a demon in that blade.
context: It's alive, a cursed sword that drinks human blood.\Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that?\That smirk on your face.\You are like me.\There is a demon in that blade. response:	But it's not as quick as mine.
context: Once you have it in your hands,\it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that?\That smirk on your face.\You are like me.\There is a demon in that blade.\But it's not as quick as mine. response:	Hey, Hyakkimaru.
context: it controls your body to kill anyone alive.\So you're blaming that sword for all this?\Then what about that?\That smirk on your face.\You are like me.\There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru. response:	Did you get him?
context: So you're blaming that sword for all this?\Then what about that?\That smirk on your face.\You are like me.\There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him? response:	He fell from here?
context: Then what about that?\That smirk on your face.\You are like me.\There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him?\He fell from here? response:	I guess he's... Hey.
context: That smirk on your face.\You are like me.\There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him?\He fell from here?\I guess he's... Hey. response:	Your leg, huh. Hold on.
context: You are like me.\There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him?\He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on. response:	Where is it?
context: There is a demon in that blade.\But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him?\He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on.\Where is it? response:	There it is. That sword, too.
context: But it's not as quick as mine.\Hey, Hyakkimaru.\Did you get him?\He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on.\Where is it?\There it is. That sword, too. response:	It's so creepy. I'm throwing it away.
context: Hey, Hyakkimaru.\Did you get him?\He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on.\Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away. response:	Boys?
context: Did you get him?\He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on.\Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys? response:	Where are you?
context: He fell from here?\I guess he's... Hey.\Your leg, huh. Hold on.\Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys?\Where are you? response:	Brother...!
context: I guess he's... Hey.\Your leg, huh. Hold on.\Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys?\Where are you?\Brother...! response:	Brother!
context: Your leg, huh. Hold on.\Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys?\Where are you?\Brother...!\Brother! response:	I'm so glad, you've come to.
context: Where is it?\There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys?\Where are you?\Brother...!\Brother!\I'm so glad, you've come to. response:	Osushi.
context: There it is. That sword, too.\It's so creepy. I'm throwing it away.\Boys?\Where are you?\Brother...!\Brother!\I'm so glad, you've come to.\Osushi. response:	Yes, it is I.
context: It's so creepy. I'm throwing it away.\Boys?\Where are you?\Brother...!\Brother!\I'm so glad, you've come to.\Osushi.\Yes, it is I. response:	I prayed so hard for so long.
context: Boys?\Where are you?\Brother...!\Brother!\I'm so glad, you've come to.\Osushi.\Yes, it is I.\I prayed so hard for so long. response:	That you would come home safely.
context: Where are you?\Brother...!\Brother!\I'm so glad, you've come to.\Osushi.\Yes, it is I.\I prayed so hard for so long.\That you would come home safely. response:	So having you here...
context: Brother...!\Brother!\I'm so glad, you've come to.\Osushi.\Yes, it is I.\I prayed so hard for so long.\That you would come home safely.\So having you here... response:	What is it?
context: Brother!\I'm so glad, you've come to.\Osushi.\Yes, it is I.\I prayed so hard for so long.\That you would come home safely.\So having you here...\What is it? response:	Are you looking for something?
context: I'm so glad, you've come to.\Osushi.\Yes, it is I.\I prayed so hard for so long.\That you would come home safely.\So having you here...\What is it?\Are you looking for something? response:	It's nothing.
context: Osushi.\Yes, it is I.\I prayed so hard for so long.\That you would come home safely.\So having you here...\What is it?\Are you looking for something?\It's nothing. response:	It'll come back to me anyway.
context: Yes, it is I.\I prayed so hard for so long.\That you would come home safely.\So having you here...\What is it?\Are you looking for something?\It's nothing.\It'll come back to me anyway. response:	Dang it, I don't want to go that way.
context: I prayed so hard for so long.\That you would come home safely.\So having you here...\What is it?\Are you looking for something?\It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way. response:	Let go of me, geez!
context: That you would come home safely.\So having you here...\What is it?\Are you looking for something?\It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez! response:	You stupid sword...
context: So having you here...\What is it?\Are you looking for something?\It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword... response:	Whacha doin there, boy?
context: What is it?\Are you looking for something?\It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword...\Whacha doin there, boy? response:	Head on back to town. There's danger in these woods...
context: Are you looking for something?\It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods... response:	It's the phantom killer!
context: It's nothing.\It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer! response:	I won't let you...!
context: It'll come back to me anyway.\Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...! response:	Forgive me, Osushi.
context: Dang it, I don't want to go that way.\Let go of me, geez!\You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...!\Forgive me, Osushi. response:	To fight is a samurai's duty. Please understand.
context: Let go of me, geez!\You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand. response:	Father and Mother will look over us.
context: You stupid sword...\Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us. response:	I won't be gone long.
context: Whacha doin there, boy?\Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long. response:	My dear brother...
context: Head on back to town. There's danger in these woods...\It's the phantom killer!\I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long.\My dear brother... response:	Brother.
context: It's the phantom killer!\I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long.\My dear brother...\Brother. response:	They were selling this out on the street.
context: I won't let you...!\Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long.\My dear brother...\Brother.\They were selling this out on the street. response:	Chestnut rice. You've always liked it, haven't you?
