context: Are you all right?! response:	Hang in there!
context: Are you all right?!\Hang in there! response:	Punch Line
context: Are you all right?!\Hang in there!\Punch Line response:	It's over.
context: Are you all right?!\Hang in there!\Punch Line\It's over. response:	Campanella Kick!
context: Are you all right?!\Hang in there!\Punch Line\It's over.\Campanella Kick! response:	Miyazawa Kenji has arrived!
context: Are you all right?!\Hang in there!\Punch Line\It's over.\Campanella Kick!\Miyazawa Kenji has arrived! response:	You! How...
context: Are you all right?!\Hang in there!\Punch Line\It's over.\Campanella Kick!\Miyazawa Kenji has arrived!\You! How... response:	I happen to be clairvoyant.
context: Are you all right?!\Hang in there!\Punch Line\It's over.\Campanella Kick!\Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant. response:	Nor losing to bullets
context: Hang in there!\Punch Line\It's over.\Campanella Kick!\Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant.\Nor losing to bullets response:	You should have known...
context: Punch Line\It's over.\Campanella Kick!\Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant.\Nor losing to bullets\You should have known... response:	I still have bullets.
context: It's over.\Campanella Kick!\Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant.\Nor losing to bullets\You should have known...\I still have bullets. response:	The hero of justice,
context: Campanella Kick!\Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant.\Nor losing to bullets\You should have known...\I still have bullets.\The hero of justice, response:	Strange Juice, is on the scene!
context: Miyazawa Kenji has arrived!\You! How...\I happen to be clairvoyant.\Nor losing to bullets\You should have known...\I still have bullets.\The hero of justice,\Strange Juice, is on the scene! response:	So, now what? It's two against one!
context: You! How...\I happen to be clairvoyant.\Nor losing to bullets\You should have known...\I still have bullets.\The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one! response:	Fine, then.
context: I happen to be clairvoyant.\Nor losing to bullets\You should have known...\I still have bullets.\The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then. response:	I'll have to show you my true power.
context: Nor losing to bullets\You should have known...\I still have bullets.\The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then.\I'll have to show you my true power. response:	It's...
context: You should have known...\I still have bullets.\The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then.\I'll have to show you my true power.\It's... response:	It can't be.
context: I still have bullets.\The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then.\I'll have to show you my true power.\It's...\It can't be. response:	Indeed.
context: The hero of justice,\Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then.\I'll have to show you my true power.\It's...\It can't be.\Indeed. response:	I can Yubafy, just like you two.
context: Strange Juice, is on the scene!\So, now what? It's two against one!\Fine, then.\I'll have to show you my true power.\It's...\It can't be.\Indeed.\I can Yubafy, just like you two. response:	Except I have an expression rate of 2,000 percent.
context: So, now what? It's two against one!\Fine, then.\I'll have to show you my true power.\It's...\It can't be.\Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent. response:	You understand what that means, don't you?
context: Fine, then.\I'll have to show you my true power.\It's...\It can't be.\Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you? response:	Who cares?!
context: I'll have to show you my true power.\It's...\It can't be.\Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?! response:	Bastard!
context: It's...\It can't be.\Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?!\Bastard! response:	What is your goal?
context: It can't be.\Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?!\Bastard!\What is your goal? response:	I guess you could say it's the creation of an ideal world.
context: Indeed.\I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?!\Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world. response:	To destroy inferior humanity,
context: I can Yubafy, just like you two.\Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?!\Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity, response:	and to rule the world with only the superior W.
context: Except I have an expression rate of 2,000 percent.\You understand what that means, don't you?\Who cares?!\Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W. response:	Stop!
context: You understand what that means, don't you?\Who cares?!\Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W.\Stop! response:	Stop!
context: Who cares?!\Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W.\Stop!\Stop! response:	Move.
context: Bastard!\What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W.\Stop!\Stop!\Move. response:	Stop.
context: What is your goal?\I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W.\Stop!\Stop!\Move.\Stop. response:	Please.
context: I guess you could say it's the creation of an ideal world.\To destroy inferior humanity,\and to rule the world with only the superior W.\Stop!\Stop!\Move.\Stop.\Please. response:	You're in the way.
context: To destroy inferior humanity,\and to rule the world with only the superior W.\Stop!\Stop!\Move.\Stop.\Please.\You're in the way. response:	Die.
context: and to rule the world with only the superior W.\Stop!\Stop!\Move.\Stop.\Please.\You're in the way.\Die. response:	Stop it!
context: Stop!\Stop!\Move.\Stop.\Please.\You're in the way.\Die.\Stop it! response:	I won't let you have your way any longer!
context: Stop!\Move.\Stop.\Please.\You're in the way.\Die.\Stop it!\I won't let you have your way any longer! response:	Why say that now?
context: Move.\Stop.\Please.\You're in the way.\Die.\Stop it!\I won't let you have your way any longer!\Why say that now? response:	I'm doing this to carry out your wishes!
context: Stop.\Please.\You're in the way.\Die.\Stop it!\I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes! response:	But you can't!
context: Please.\You're in the way.\Die.\Stop it!\I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes!\But you can't! response:	Not Ito!
context: You're in the way.\Die.\Stop it!\I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes!\But you can't!\Not Ito! response:	Please.
context: Die.\Stop it!\I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes!\But you can't!\Not Ito!\Please. response:	Lend me your strength.
context: Stop it!\I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes!\But you can't!\Not Ito!\Please.\Lend me your strength. response:	You.
context: I won't let you have your way any longer!\Why say that now?\I'm doing this to carry out your wishes!\But you can't!\Not Ito!\Please.\Lend me your strength.\You. response:	I'm talking to you, Yuta!
context: Why say that now?\I'm doing this to carry out your wishes!\But you can't!\Not Ito!\Please.\Lend me your strength.\You.\I'm talking to you, Yuta! response:	You can see me?
context: I'm doing this to carry out your wishes!\But you can't!\Not Ito!\Please.\Lend me your strength.\You.\I'm talking to you, Yuta!\You can see me? response:	Just use this, quickly!
context: But you can't!\Not Ito!\Please.\Lend me your strength.\You.\I'm talking to you, Yuta!\You can see me?\Just use this, quickly! response:	Cinnamon...
context: Not Ito!\Please.\Lend me your strength.\You.\I'm talking to you, Yuta!\You can see me?\Just use this, quickly!\Cinnamon... response:	Shit, my power! My power!
context: Please.\Lend me your strength.\You.\I'm talking to you, Yuta!\You can see me?\Just use this, quickly!\Cinnamon...\Shit, my power! My power! response:	Now!
context: Lend me your strength.\You.\I'm talking to you, Yuta!\You can see me?\Just use this, quickly!\Cinnamon...\Shit, my power! My power!\Now! response:	Wh-What? What?!
context: You.\I'm talking to you, Yuta!\You can see me?\Just use this, quickly!\Cinnamon...\Shit, my power! My power!\Now!\Wh-What? What?! response:	P-Panties!
context: I'm talking to you, Yuta!\You can see me?\Just use this, quickly!\Cinnamon...\Shit, my power! My power!\Now!\Wh-What? What?!\P-Panties! response:	Impossible...
context: You can see me?\Just use this, quickly!\Cinnamon...\Shit, my power! My power!\Now!\Wh-What? What?!\P-Panties!\Impossible... response:	How?
context: Just use this, quickly!\Cinnamon...\Shit, my power! My power!\Now!\Wh-What? What?!\P-Panties!\Impossible...\How? response:	How is it that even you can Yubafy
context: Cinnamon...\Shit, my power! My power!\Now!\Wh-What? What?!\P-Panties!\Impossible...\How?\How is it that even you can Yubafy response:	Shut up!
context: Shit, my power! My power!\Now!\Wh-What? What?!\P-Panties!\Impossible...\How?\How is it that even you can Yubafy\Shut up! response:	I didn't ask to become this way!
context: Now!\Wh-What? What?!\P-Panties!\Impossible...\How?\How is it that even you can Yubafy\Shut up!\I didn't ask to become this way! response:	Huh?
context: Wh-What? What?!\P-Panties!\Impossible...\How?\How is it that even you can Yubafy\Shut up!\I didn't ask to become this way!\Huh? response:	Why am I...
context: P-Panties!\Impossible...\How?\How is it that even you can Yubafy\Shut up!\I didn't ask to become this way!\Huh?\Why am I... response:	Meika!
context: Impossible...\How?\How is it that even you can Yubafy\Shut up!\I didn't ask to become this way!\Huh?\Why am I...\Meika! response:	Meika!
context: How?\How is it that even you can Yubafy\Shut up!\I didn't ask to become this way!\Huh?\Why am I...\Meika!\Meika! response:	Meika! Meika!
context: How is it that even you can Yubafy\Shut up!\I didn't ask to become this way!\Huh?\Why am I...\Meika!\Meika!\Meika! Meika! response:	Please, wake up!
context: Shut up!\I didn't ask to become this way!\Huh?\Why am I...\Meika!\Meika!\Meika! Meika!\Please, wake up! response:	Meika!
context: I didn't ask to become this way!\Huh?\Why am I...\Meika!\Meika!\Meika! Meika!\Please, wake up!\Meika! response:	What are you crying about, Rabura?
context: Huh?\Why am I...\Meika!\Meika!\Meika! Meika!\Please, wake up!\Meika!\What are you crying about, Rabura? response:	Meika!
context: Why am I...\Meika!\Meika!\Meika! Meika!\Please, wake up!\Meika!\What are you crying about, Rabura?\Meika! response:	Muhi!
context: Meika!\Meika!\Meika! Meika!\Please, wake up!\Meika!\What are you crying about, Rabura?\Meika!\Muhi! response:	Now then, let's have a look at your face.
context: Meika!\Meika! Meika!\Please, wake up!\Meika!\What are you crying about, Rabura?\Meika!\Muhi!\Now then, let's have a look at your face. response:	No way...
context: Meika! Meika!\Please, wake up!\Meika!\What are you crying about, Rabura?\Meika!\Muhi!\Now then, let's have a look at your face.\No way... response:	You know him, Ito?
context: Please, wake up!\Meika!\What are you crying about, Rabura?\Meika!\Muhi!\Now then, let's have a look at your face.\No way...\You know him, Ito? response:	Tomoda Chihaya.
context: Meika!\What are you crying about, Rabura?\Meika!\Muhi!\Now then, let's have a look at your face.\No way...\You know him, Ito?\Tomoda Chihaya. response:	My homeroom teacher.
context: What are you crying about, Rabura?\Meika!\Muhi!\Now then, let's have a look at your face.\No way...\You know him, Ito?\Tomoda Chihaya.\My homeroom teacher. response:	Why would a teacher do something like this?
context: Meika!\Muhi!\Now then, let's have a look at your face.\No way...\You know him, Ito?\Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this? response:	It's all because I loved you, Ito.
context: Muhi!\Now then, let's have a look at your face.\No way...\You know him, Ito?\Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito. response:	What are you saying?
context: Now then, let's have a look at your face.\No way...\You know him, Ito?\Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying? response:	It's because I loved you that I edited the video
context: No way...\You know him, Ito?\Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video response:	and sent out the emails.
context: You know him, Ito?\Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video\and sent out the emails. response:	Then the person who killed Meiko and Moena...
context: Tomoda Chihaya.\My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena... response:	I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.
context: My homeroom teacher.\Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay. response:	He's the one who killed them.
context: Why would a teacher do something like this?\It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them. response:	What's going on?
context: It's all because I loved you, Ito.\What are you saying?\It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on? response:	I made a contract with Tsubouchi's spirit.
context: What are you saying?\It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit. response:	In exchange for lending him my body, I would get my wish.
