context: I've found you, weretiger. response:	Akutagawa!
context: I've found you, weretiger.\Akutagawa! response:	Looks like you've improved your acrobatic skills, weretiger.
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger. response:	Why are you here, Akutagawa?
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa? response:	To kill you.
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you. response:	Don't you understand the situation we're in right now?
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now? response:	We may no longer have a place to live.
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live. response:	I don't understand you one bit.
context: I've found you, weretiger.\Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit. response:	I don't remember ever asking for your understanding.
context: Akutagawa!\Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding. response:	Oh, dear.
context: Looks like you've improved your acrobatic skills, weretiger.\Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear. response:	Akutagawa-kun still has a terrible habit of going solo.
context: Why are you here, Akutagawa?\To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo. response:	All right.
context: To kill you.\Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right. response:	Atsushi-kun, we don't have time to deal with him.
context: Don't you understand the situation we're in right now?\We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him. response:	Let's move on.
context: We may no longer have a place to live.\I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on. response:	But...
context: I don't understand you one bit.\I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on.\But... response:	Don't worry.
context: I don't remember ever asking for your understanding.\Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on.\But...\Don't worry. response:	Just do as I say, and you'll make it.
context: Oh, dear.\Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on.\But...\Don't worry.\Just do as I say, and you'll make it. response:	Understood.
context: Akutagawa-kun still has a terrible habit of going solo.\All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on.\But...\Don't worry.\Just do as I say, and you'll make it.\Understood. response:	Akutagawa, I'm speaking to Dazai-san on this intercom.
context: All right.\Atsushi-kun, we don't have time to deal with him.\Let's move on.\But...\Don't worry.\Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom. response:	He wants to talk to you.
context: Atsushi-kun, we don't have time to deal with him.\Let's move on.\But...\Don't worry.\Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you. response:	Dazai-san!
context: Let's move on.\But...\Don't worry.\Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san! response:	Dazai-san!
context: But...\Don't worry.\Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san!\Dazai-san! response:	Well hello, Zelda.
context: Don't worry.\Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san!\Dazai-san!\Well hello, Zelda. response:	How have you been?
context: Just do as I say, and you'll make it.\Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san!\Dazai-san!\Well hello, Zelda.\How have you been? response:	Yeah, I apologize for calling you so late.
context: Understood.\Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san!\Dazai-san!\Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late. response:	I heard the news.
context: Akutagawa, I'm speaking to Dazai-san on this intercom.\He wants to talk to you.\Dazai-san!\Dazai-san!\Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late.\I heard the news. response:	You laid off another chef?
context: He wants to talk to you.\Dazai-san!\Dazai-san!\Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef? response:	They came all the way here from a top-notch European restaurant.
context: Dazai-san!\Dazai-san!\Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant. response:	No, I don't blame you.
context: Dazai-san!\Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you. response:	It's true.
context: Well hello, Zelda.\How have you been?\Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true. response:	Any cook that doesn't know of your distaste for cream cheese ought to perish.
context: How have you been?\Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish. response:	Yes, she's still studying in London.
context: Yeah, I apologize for calling you so late.\I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London. response:	I wouldn't forget it for a moment.
context: I heard the news.\You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment. response:	Sorry, it appears I have a guest.
context: You laid off another chef?\They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest. response:	I'll call you back.
context: They came all the way here from a top-notch European restaurant.\No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back. response:	I love you, Zelda.
context: No, I don't blame you.\It's true.\Any cook that doesn't know of your distaste for cream cheese ought to perish.\Yes, she's still studying in London.\I wouldn't forget it for a moment.\Sorry, it appears I have a guest.\I'll call you back.\I love you, Zelda. response:	That was a brief farewell, boy.
