context: Them! response:	Oracion Seis!
context: Them!\Oracion Seis! response:	Right?
context: Them!\Oracion Seis!\Right? response:	Don't they seem really different?
context: Them!\Oracion Seis!\Right?\Don't they seem really different? response:	It looks like the members are different, too...
context: Them!\Oracion Seis!\Right?\Don't they seem really different?\It looks like the members are different, too... response:	Hey, three in a row!
context: Them!\Oracion Seis!\Right?\Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row! response:	Oracion Seis-Oracion Seis-Oracion Seis
context: Them!\Oracion Seis!\Right?\Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis response:	It really is Oracion Seis!
context: Them!\Oracion Seis!\Right?\Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis! response:	No, no, no, no!
context: Oracion Seis!\Right?\Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no! response:	The reborn Oracion Seis! I'm very glad to make your acquaintance!
context: Right?\Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance! response:	Reborn Oracion Seis?!
context: Don't they seem really different?\It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?! response:	That's right. Yes, indeed.
context: It looks like the members are different, too...\Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed. response:	We're the reborn Oracion Seis.
context: Hey, three in a row!\Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis. response:	Are you Midnight?!
context: Oracion Seis-Oracion Seis-Oracion Seis\It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?! response:	That name belongs to the distant past.
context: It really is Oracion Seis!\No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past. response:	Please remember me henceforth as Brain II.
context: No, no, no, no!\The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II. response:	What are you talkin' about, the second?! You bastards just come strollin' in...
context: The reborn Oracion Seis! I'm very glad to make your acquaintance!\Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in... response:	What do you want?!
context: Reborn Oracion Seis?!\That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?! response:	I have just one wish.
context: That's right. Yes, indeed.\We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish. response:	To carry out my father's will.
context: We're the reborn Oracion Seis.\Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish.\To carry out my father's will. response:	To destroy everything that has a form...
context: Are you Midnight?!\That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish.\To carry out my father's will.\To destroy everything that has a form... response:	You're still talking that nonsense?!
context: That name belongs to the distant past.\Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish.\To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?! response:	Legion, Fairy Tail...
context: Please remember me henceforth as Brain II.\What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish.\To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail... response:	Your mission is now over.
context: What are you talkin' about, the second?! You bastards just come strollin' in...\What do you want?!\I have just one wish.\To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over. response:	Oracion Seis
context: What do you want?!\I have just one wish.\To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over.\Oracion Seis response:	What the devil is that?!
context: I have just one wish.\To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over.\Oracion Seis\What the devil is that?! response:	Dan! Don't let them get it!
context: To carry out my father's will.\To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over.\Oracion Seis\What the devil is that?!\Dan! Don't let them get it! response:	Alright! Understood!
context: To destroy everything that has a form...\You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over.\Oracion Seis\What the devil is that?!\Dan! Don't let them get it!\Alright! Understood! response:	You gotta be kiddin'! That's our line!
context: You're still talking that nonsense?!\Legion, Fairy Tail...\Your mission is now over.\Oracion Seis\What the devil is that?!\Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line! response:	Stay out of the way!
context: Legion, Fairy Tail...\Your mission is now over.\Oracion Seis\What the devil is that?!\Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way! response:	The Reborn Oracion Seis Appears!
context: Your mission is now over.\Oracion Seis\What the devil is that?!\Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears! response:	The maggots are swarming.
context: Oracion Seis\What the devil is that?!\Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming. response:	I'll knock that right back to you!
context: What the devil is that?!\Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you! response:	That shield didn't repel it?!
context: Dan! Don't let them get it!\Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?! response:	Lucy-rin, I can't believe it!
context: Alright! Understood!\You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it! response:	Don't cling to me in the middle of the confusion!
context: You gotta be kiddin'! That's our line!\Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion! response:	Back off!
context: Stay out of the way!\The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off! response:	What?!
context: The Reborn Oracion Seis Appears!\The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off!\What?! response:	To me, all forms of magic...
context: The maggots are swarming.\I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off!\What?!\To me, all forms of magic... response:	What happened to his magic nullifying?!
context: I'll knock that right back to you!\That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off!\What?!\To me, all forms of magic...\What happened to his magic nullifying?! response:	What was that...?
context: That shield didn't repel it?!\Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off!\What?!\To me, all forms of magic...\What happened to his magic nullifying?!\What was that...? response:	It refracted the range of Byro-san's magic and attacked simultaneously!
context: Lucy-rin, I can't believe it!\Don't cling to me in the middle of the confusion!\Back off!\What?!\To me, all forms of magic...\What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously! response:	That's why he's called Brain-sama!
context: Don't cling to me in the middle of the confusion!\Back off!\What?!\To me, all forms of magic...\What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama! response:	Carla! Do you feel it?!
context: Back off!\What?!\To me, all forms of magic...\What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?! response:	Yes. Extraordinary, menacing magic power...
context: What?!\To me, all forms of magic...\What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power... response:	Ownership of the Infinity Clock is determined by the wizard
context: To me, all forms of magic...\What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard response:	that carves his seal upon it.
context: What happened to his magic nullifying?!\What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it. response:	Therefore, just now,
context: What was that...?\It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now, response:	this clock has become our property.
context: It refracted the range of Byro-san's magic and attacked simultaneously!\That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now,\this clock has become our property. response:	What a pleasant sound...
context: That's why he's called Brain-sama!\Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now,\this clock has become our property.\What a pleasant sound... response:	Hey! Suddenly coming out of nowhere and snatching it away is cowardly!
context: Carla! Do you feel it?!\Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now,\this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly! response:	I can hear your indignation...
context: Yes. Extraordinary, menacing magic power...\Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now,\this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation... response:	You're all in a state of confusion.
context: Ownership of the Infinity Clock is determined by the wizard\that carves his seal upon it.\Therefore, just now,\this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion. response:	It's laughable.
context: that carves his seal upon it.\Therefore, just now,\this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion.\It's laughable. response:	People of the darkness like us aren't even permitted to touch this clock.
context: Therefore, just now,\this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock. response:	So that's why we gathered you!
context: this clock has become our property.\What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you! response:	It was our plot!
context: What a pleasant sound...\Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot! response:	Y-You...
context: Hey! Suddenly coming out of nowhere and snatching it away is cowardly!\I can hear your indignation...\You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot!\Y-You... response:	We were used...
context: I can hear your indignation...\You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot!\Y-You...\We were used... response:	I don't believe it...
context: You're all in a state of confusion.\It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot!\Y-You...\We were used...\I don't believe it... response:	Then why on earth...
context: It's laughable.\People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot!\Y-You...\We were used...\I don't believe it...\Then why on earth... response:	A chill just ran up my spine! These guys are scary!
context: People of the darkness like us aren't even permitted to touch this clock.\So that's why we gathered you!\It was our plot!\Y-You...\We were used...\I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary! response:	The magic I'm feeling coming off of them...
context: So that's why we gathered you!\It was our plot!\Y-You...\We were used...\I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them... response:	It's in a different league than what they had before.
context: It was our plot!\Y-You...\We were used...\I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before. response:	Who gives a damn?!
context: Y-You...\We were used...\I don't believe it...\Then why on earth...\A chill just ran up my spine! These guys are scary!\The magic I'm feeling coming off of them...\It's in a different league than what they had before.\Who gives a damn?! response:	You danced in the palm of our hand...
