context: So here's where you were. response:	What are you reading?
context: So here's where you were.\What are you reading? response:	It's Key of the Starry Heavens.
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens. response:	The guild borrowed the book from the cathedral library to support the others, right?
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right? response:	Huh?
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh? response:	Does the book end like this?
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this? response:	Uh-huh.
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this?\Uh-huh. response:	Is something wrong?
context: So here's where you were.\What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this?\Uh-huh.\Is something wrong? response:	Master...
context: What are you reading?\It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this?\Uh-huh.\Is something wrong?\Master... response:	What's wrong? You're rather quiet...
context: It's Key of the Starry Heavens.\The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this?\Uh-huh.\Is something wrong?\Master...\What's wrong? You're rather quiet... response:	It's nothing.
context: The guild borrowed the book from the cathedral library to support the others, right?\Huh?\Does the book end like this?\Uh-huh.\Is something wrong?\Master...\What's wrong? You're rather quiet...\It's nothing. response:	I bet you're worried about Romeo!
context: Huh?\Does the book end like this?\Uh-huh.\Is something wrong?\Master...\What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo! response:	Somethin' wrong with that?! I'm his father!
context: Does the book end like this?\Uh-huh.\Is something wrong?\Master...\What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father! response:	He's with Natsu, right? You got nothin' to worry about!
context: Uh-huh.\Is something wrong?\Master...\What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about! response:	That's why I'm worried...
context: Is something wrong?\Master...\What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried... response:	What'll I do if Romeo becomes a delinquent?
context: Master...\What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent? response:	Look at that, Romeo!
context: What's wrong? You're rather quiet...\It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo! response:	The guy talks like a big shot while he stands on top of an octopus!
context: It's nothing.\I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus! response:	But he fought Gildarts to a standstill...
context: I bet you're worried about Romeo!\Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill... response:	So what?! He's ridin' an octopus! An octopus!
context: Somethin' wrong with that?! I'm his father!\He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus! response:	Natsu is setting a bad example...
context: He's with Natsu, right? You got nothin' to worry about!\That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example... response:	I'm worried about Romeo-kun's future!
context: That's why I'm worried...\What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future! response:	So if I beat him, it's like me beatin' Gildarts, right?!
context: What'll I do if Romeo becomes a delinquent?\Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?! response:	I'm going to eliminate you.
context: Look at that, Romeo!\The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you. response:	Where the Crusade Will Lead!
context: The guy talks like a big shot while he stands on top of an octopus!\But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead! response:	That's some dangerous ink!
context: But he fought Gildarts to a standstill...\So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink! response:	Be careful, Natsu!
context: So what?! He's ridin' an octopus! An octopus!\Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu! response:	And it looks so yummy...
context: Natsu is setting a bad example...\I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy... response:	Put your appetite off'til later.
context: I'm worried about Romeo-kun's future!\So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later. response:	Back off, everyone!
context: So if I beat him, it's like me beatin' Gildarts, right?!\I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later.\Back off, everyone! response:	Iron Fist of the Fire Dragon!
context: I'm going to eliminate you.\Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon! response:	Um... Um...
context: Where the Crusade Will Lead!\That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um... response:	What should I do? I don't know what to do!
context: That's some dangerous ink!\Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do! response:	Coco!
context: Be careful, Natsu!\And it looks so yummy...\Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do!\Coco! response:	Watch out!
context: And it looks so yummy...\Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do!\Coco!\Watch out! response:	Ow... Are you okay?
context: Put your appetite off'til later.\Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do!\Coco!\Watch out!\Ow... Are you okay? response:	Um... 7.0...
context: Back off, everyone!\Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do!\Coco!\Watch out!\Ow... Are you okay?\Um... 7.0... response:	Where's Dan-san?!
context: Iron Fist of the Fire Dragon!\Um... Um...\What should I do? I don't know what to do!\Coco!\Watch out!\Ow... Are you okay?\Um... 7.0...\Where's Dan-san?! response:	Over there.
context: Um... Um...\What should I do? I don't know what to do!\Coco!\Watch out!\Ow... Are you okay?\Um... 7.0...\Where's Dan-san?!\Over there. response:	Hey, octopus! The least you can do is tell the difference between your enemies and allies!
context: What should I do? I don't know what to do!\Coco!\Watch out!\Ow... Are you okay?\Um... 7.0...\Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies! response:	That's right! Coco and Dan are on your side, aren't they?!
context: Coco!\Watch out!\Ow... Are you okay?\Um... 7.0...\Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?! response:	They're proud Legionnaires.
context: Watch out!\Ow... Are you okay?\Um... 7.0...\Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires. response:	They're prepared to lay down their lives for the sake of this crusade.
context: Ow... Are you okay?\Um... 7.0...\Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade. response:	What are you talking about, crusade?!
context: Um... 7.0...\Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?! response:	And what kind of guy talks about other people's lives like they're nothing?!
context: Where's Dan-san?!\Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?! response:	This girl's life doesn't belong to Zentopia or you!
context: Over there.\Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you! response:	What do you know of what is just?
context: Hey, octopus! The least you can do is tell the difference between your enemies and allies!\That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just? response:	This crusade
context: That's right! Coco and Dan are on your side, aren't they?!\They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade response:	is costing more lives than you people can imagine.
context: They're proud Legionnaires.\They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade\is costing more lives than you people can imagine. response:	The resonance, huh? Then I'd better get that home soon.
context: They're prepared to lay down their lives for the sake of this crusade.\What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon. response:	You're not getting it! That's a Man!
context: What are you talking about, crusade?!\And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man! response:	Then should we have brother and sisters hurt each other?
context: And what kind of guy talks about other people's lives like they're nothing?!\This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other? response:	You're making a mistake.
context: This girl's life doesn't belong to Zentopia or you!\What do you know of what is just?\This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake. response:	For the plural form of brothers and sisters together,
context: What do you know of what is just?\This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together, response:	brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister
context: This crusade\is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister response:	it's proper to say keiteishimai.
context: is costing more lives than you people can imagine.\The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai. response:	Yeah?! That's neither here nor there!
context: The resonance, huh? Then I'd better get that home soon.\You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there! response:	Anyway, I'm taking this part with me.
context: You're not getting it! That's a Man!\Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me. response:	Why are you doing this?!
context: Then should we have brother and sisters hurt each other?\You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?! response:	Why? How would I know?!
context: You're making a mistake.\For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?! response:	But if I do what His Grace says, everything will work out fine.
context: For the plural form of brothers and sisters together,\brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine. response:	If you're just doing what you're told...
context: brothers sisters brother/sister brother/sister big brother/little brother/big sister/little sister\it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told... response:	Is that right?
context: it's proper to say keiteishimai.\Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right? response:	Then I'll make puppets out of you!
context: Yeah?! That's neither here nor there!\Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you! response:	Nee-chan, what's wrong?!
context: Anyway, I'm taking this part with me.\Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?! response:	Mira-nee!
context: Why are you doing this?!\Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee! response:	Conducting Magic, Second Movement!
context: Why? How would I know?!\But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement! response:	This is a forbidden move, but I'll show it to you just this once!
context: But if I do what His Grace says, everything will work out fine.\If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once! response:	Coming out of Mira-nee's body...
context: If you're just doing what you're told...\Is that right?\Then I'll make puppets out of you!\Nee-chan, what's wrong?!\Mira-nee!\Conducting Magic, Second Movement!\This is a forbidden move, but I'll show it to you just this once!\Coming out of Mira-nee's body... response:	Satan Soul?!
