context: Speak in a Confrontational Manner response:	What's this? Some kind of joke?
context: Speak in a Confrontational Manner\What's this? Some kind of joke? response:	What do they mean by confrontational?
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational? response:	I guess... talking badly about each other?
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other? response:	Then, you're an idiot...
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot... response:	If you don't have a sundae with me,
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me, response:	I'll hate you.
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you. response:	I can do that anytime, damn it!
context: Speak in a Confrontational Manner\What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it! response:	Day of the Promise
context: What's this? Some kind of joke?\What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it!\Day of the Promise response:	I couldn't sleep.
context: What do they mean by confrontational?\I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it!\Day of the Promise\I couldn't sleep. response:	Then tomorrow evening, at eight...
context: I guess... talking badly about each other?\Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it!\Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight... response:	Will you join me for coffee, in my room?
context: Then, you're an idiot...\If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it!\Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room? response:	Yes.
context: If you don't have a sundae with me,\I'll hate you.\I can do that anytime, damn it!\Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes. response:	I-I'm nervous.
context: I'll hate you.\I can do that anytime, damn it!\Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes.\I-I'm nervous. response:	Nervous, nervous!
context: I can do that anytime, damn it!\Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes.\I-I'm nervous.\Nervous, nervous! response:	This is the first time I've ever
context: Day of the Promise\I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes.\I-I'm nervous.\Nervous, nervous!\This is the first time I've ever response:	invited someone to my room.
context: I couldn't sleep.\Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes.\I-I'm nervous.\Nervous, nervous!\This is the first time I've ever\invited someone to my room. response:	What if there's an awkward silence,
context: Then tomorrow evening, at eight...\Will you join me for coffee, in my room?\Yes.\I-I'm nervous.\Nervous, nervous!\This is the first time I've ever\invited someone to my room.\What if there's an awkward silence, response:	or I end up saying something rude again?
context: Will you join me for coffee, in my room?\Yes.\I-I'm nervous.\Nervous, nervous!\This is the first time I've ever\invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again? response:	Th-Thank you.
context: Yes.\I-I'm nervous.\Nervous, nervous!\This is the first time I've ever\invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you. response:	My pleasure.
context: I-I'm nervous.\Nervous, nervous!\This is the first time I've ever\invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you.\My pleasure. response:	He's the same as always.
context: Nervous, nervous!\This is the first time I've ever\invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you.\My pleasure.\He's the same as always. response:	That's right...
context: This is the first time I've ever\invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you.\My pleasure.\He's the same as always.\That's right... response:	No need to overcomplicate things.
context: invited someone to my room.\What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you.\My pleasure.\He's the same as always.\That's right...\No need to overcomplicate things. response:	Sorinozuka, you're spraying soup everywhere.
context: What if there's an awkward silence,\or I end up saying something rude again?\Th-Thank you.\My pleasure.\He's the same as always.\That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere. response:	We're just drinking coffee together. That's all.
context: or I end up saying something rude again?\Th-Thank you.\My pleasure.\He's the same as always.\That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all. response:	Huh? Oh, sorry, sorry.
context: Th-Thank you.\My pleasure.\He's the same as always.\That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry. response:	Just stay calm. Stay calm...
context: My pleasure.\He's the same as always.\That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm... response:	Eat in human form. Where are your manners?
context: He's the same as always.\That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners? response:	It's more comfortable this way.
context: That's right...\No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way. response:	Miss Ririchiyo.
context: No need to overcomplicate things.\Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo. response:	I shall peel the grapes for your dessert.
