context: It couldn't be... Is she Earthland's... response:	She's... Edolas's me?
context: It couldn't be... Is she Earthland's...\She's... Edolas's me? response:	There she is!
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is! response:	Over there!
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is!\Over there! response:	Let's discuss this later!
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is!\Over there!\Let's discuss this later! response:	We're going to be caught at this rate!
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is!\Over there!\Let's discuss this later!\We're going to be caught at this rate! response:	Natsu, hurry up and get them!
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is!\Over there!\Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them! response:	How?
context: It couldn't be... Is she Earthland's...\She's... Edolas's me?\There she is!\Over there!\Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them!\How? response:	Use your magic, duh!
context: She's... Edolas's me?\There she is!\Over there!\Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them!\How?\Use your magic, duh! response:	We can't use magic!
context: There she is!\Over there!\Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them!\How?\Use your magic, duh!\We can't use magic! response:	And wait, why can you use it?
context: Over there!\Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them!\How?\Use your magic, duh!\We can't use magic!\And wait, why can you use it? response:	How should I know?
context: Let's discuss this later!\We're going to be caught at this rate!\Natsu, hurry up and get them!\How?\Use your magic, duh!\We can't use magic!\And wait, why can you use it?\How should I know? response:	Lucy, please!
context: We're going to be caught at this rate!\Natsu, hurry up and get them!\How?\Use your magic, duh!\We can't use magic!\And wait, why can you use it?\How should I know?\Lucy, please! response:	Get them!
context: Natsu, hurry up and get them!\How?\Use your magic, duh!\We can't use magic!\And wait, why can you use it?\How should I know?\Lucy, please!\Get them! response:	You're the only one who can use magic, Lucy-san!
context: How?\Use your magic, duh!\We can't use magic!\And wait, why can you use it?\How should I know?\Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san! response:	Could it be? Am I the strongest now?
context: Use your magic, duh!\We can't use magic!\And wait, why can you use it?\How should I know?\Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now? response:	Whatever, just do it already!
context: We can't use magic!\And wait, why can you use it?\How should I know?\Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already! response:	Fireball!
context: And wait, why can you use it?\How should I know?\Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball! response:	Gate of the Ram, I open thee!
context: How should I know?\Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee! response:	Aries!
context: Lucy, please!\Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee!\Aries! response:	U-Um... I'll do my best...
context: Get them!\You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best... response:	I'm sorry!
context: You're the only one who can use magic, Lucy-san!\Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best...\I'm sorry! response:	Poofy!
context: Could it be? Am I the strongest now?\Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best...\I'm sorry!\Poofy! response:	W-What the hell is that?
context: Whatever, just do it already!\Fireball!\Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best...\I'm sorry!\Poofy!\W-What the hell is that? response:	A person appeared?
context: Fireball!\Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best...\I'm sorry!\Poofy!\W-What the hell is that?\A person appeared? response:	Is it an evil being?
context: Gate of the Ram, I open thee!\Aries!\U-Um... I'll do my best...\I'm sorry!\Poofy!\W-What the hell is that?\A person appeared?\Is it an evil being? response:	I've never seen magic like that before!
context: Aries!\U-Um... I'll do my best...\I'm sorry!\Poofy!\W-What the hell is that?\A person appeared?\Is it an evil being?\I've never seen magic like that before! response:	Aries, can you beat them?
context: U-Um... I'll do my best...\I'm sorry!\Poofy!\W-What the hell is that?\A person appeared?\Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them? response:	R-Right... I'll try!
context: I'm sorry!\Poofy!\W-What the hell is that?\A person appeared?\Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try! response:	Wool Bomb!
context: Poofy!\W-What the hell is that?\A person appeared?\Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try!\Wool Bomb! response:	So soft...
context: W-What the hell is that?\A person appeared?\Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try!\Wool Bomb!\So soft... response:	I feel like a new man...
context: A person appeared?\Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try!\Wool Bomb!\So soft...\I feel like a new man... response:	Um, is this working?
context: Is it an evil being?\I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try!\Wool Bomb!\So soft...\I feel like a new man...\Um, is this working? response:	I'm sorry.
context: I've never seen magic like that before!\Aries, can you beat them?\R-Right... I'll try!\Wool Bomb!\So soft...\I feel like a new man...\Um, is this working?\I'm sorry. response:	It's totally working! Keep attacking!
context: Aries, can you beat them?\R-Right... I'll try!\Wool Bomb!\So soft...\I feel like a new man...\Um, is this working?\I'm sorry.\It's totally working! Keep attacking! response:	Wool Shot!
context: R-Right... I'll try!\Wool Bomb!\So soft...\I feel like a new man...\Um, is this working?\I'm sorry.\It's totally working! Keep attacking!\Wool Shot! response:	Even though we're getting beat...
context: Wool Bomb!\So soft...\I feel like a new man...\Um, is this working?\I'm sorry.\It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat... response:	It feels good...
context: So soft...\I feel like a new man...\Um, is this working?\I'm sorry.\It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat...\It feels good... response:	Do me more...
context: I feel like a new man...\Um, is this working?\I'm sorry.\It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat...\It feels good...\Do me more... response:	Wool Wall!
context: Um, is this working?\I'm sorry.\It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat...\It feels good...\Do me more...\Wool Wall! response:	I could get used to this...
context: I'm sorry.\It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat...\It feels good...\Do me more...\Wool Wall!\I could get used to this... response:	Now's our chance, everyone!
