context: Ah, Tomoyo-chan, isn't that the strawberry house? response:	It seems so!
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so! response:	This entire place is the strawberry house!
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house! response:	This is so cool!
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house!\This is so cool! response:	This is where we'll pick our strawberries in the morning.
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning. response:	And you can eat while you pick!
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick! response:	It'd be nice if we end up with lots of strawberries!
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries! response:	I'm sure Yukito-san can eat a lot
context: Ah, Tomoyo-chan, isn't that the strawberry house?\It seems so!\This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot response:	If he had come!
context: It seems so!\This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come! response:	I'm going to bring him some as gifts.
context: This entire place is the strawberry house!\This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts. response:	Yu-ki-to-san.
context: This is so cool!\This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san. response:	Kinomoto-san.
context: This is where we'll pick our strawberries in the morning.\And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san. response:	He' Here!
context: And you can eat while you pick!\It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san.\He' Here! response:	If you're so slow, you'll get left behind.
context: It'd be nice if we end up with lots of strawberries!\I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind. response:	I'm sorry.
context: I'm sure Yukito-san can eat a lot\If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind.\I'm sorry. response:	Come to think of it,
context: If he had come!\I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it, response:	are there strawberry hunts in Hong Kong too?
context: I'm going to bring him some as gifts.\Yu-ki-to-san.\Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too? response:	You know, about strawberry hunts'
context: Yu-ki-to-san.\Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts' response:	Strawberries were originated from South America.
context: Kinomoto-san.\He' Here!\If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America. response:	In the old days, it's not easy to eat strawberries.
context: He' Here!\If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries. response:	It is because
context: If you're so slow, you'll get left behind.\I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because response:	Strawberries used to be different
context: I'm sorry.\Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different response:	and had legs to run around,
context: Come to think of it,\are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different\and had legs to run around, response:	so people weren't able to catch a lot of them.
context: are there strawberry hunts in Hong Kong too?\You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them. response:	And for those people who wanted to eat strawberries no matter what,
context: You know, about strawberry hunts'\Strawberries were originated from South America.\In the old days, it's not easy to eat strawberries.\It is because\Strawberries used to be different\and had legs to run around,\so people weren't able to catch a lot of them.\And for those people who wanted to eat strawberries no matter what, response:	they would chase after the strawberries,
