context: Yes, and they're the wild hunters. response:	They're all specially trained to catch all of the ghosts within twelve days.
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days. response:	Each of them has been highly trained to catch all of the ghosts within twelve days.
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days. response:	And you have to catch this year's ghosts before the year ends.
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends. response:	Does that mean they're going to come to Blytonbury too?
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too? response:	Then we can see them here in person?
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person? response:	Yes, even the other teachers are in high spirits too.
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too. response:	Professor, what are you looking at?
context: Yes, and they're the wild hunters.\They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at? response:	We were actually dragged in to helping her make a weapon for the Wild Hunt.
context: They're all specially trained to catch all of the ghosts within twelve days.\Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt. response:	Why's she making that?
context: Each of them has been highly trained to catch all of the ghosts within twelve days.\And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that? response:	Please forgive me! Okay?
context: And you have to catch this year's ghosts before the year ends.\Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay? response:	Though it's really just taking some stuff to our room.
context: Does that mean they're going to come to Blytonbury too?\Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room. response:	Though it's really just bringing stuff to our room.
context: Then we can see them here in person?\Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room. response:	What do you mean? You're doing it alone?
context: Yes, even the other teachers are in high spirits too.\Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone? response:	Fine! Bring it, cage!
context: Professor, what are you looking at?\We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage! response:	From the days we were little, we were obsessed with just one thing!
context: We were actually dragged in to helping her make a weapon for the Wild Hunt.\Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing! response:	We've been obsessed with a single thing ever since we were kids!
context: Why's she making that?\Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids! response:	Stanbot?! They multiplied!
context: Please forgive me! Okay?\Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied! response:	It's not like Constanze has asked you either.
context: Though it's really just taking some stuff to our room.\Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either. response:	Have you finally given up on Cons yet?
context: Though it's really just bringing stuff to our room.\What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet? response:	You're getting in the way of my work.
context: What do you mean? You're doing it alone?\Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work. response:	You need it to make your boat, right?
context: Fine! Bring it, cage!\From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right? response:	So I cannot simply tell you its location.
context: From the days we were little, we were obsessed with just one thing!\We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location. response:	It is most certainly not an issue of money!
context: We've been obsessed with a single thing ever since we were kids!\Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money! response:	It is most certainly not an issue of money!
context: Stanbot?! They multiplied!\It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money! response:	Are you seriously taking that without paying?!
context: It's not like Constanze has asked you either.\Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?! response:	Laypeople are scary.
context: Have you finally given up on Cons yet?\You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary. response:	You don't need to go that far!
context: You're getting in the way of my work.\You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far! response:	Man, watching you kinda made me think that really anything is possible.
context: You need it to make your boat, right?\So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible. response:	Man, watching you made me think that anything really was possible.
context: So I cannot simply tell you its location.\It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible. response:	I tried to come up with the ultimate magic mecha.
context: It is most certainly not an issue of money!\It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha. response:	Though I guess there's no way this would work... right?
context: It is most certainly not an issue of money!\Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right? response:	How could I possibly let such an entertaining chance slip?
context: Are you seriously taking that without paying?!\Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip? response:	How could I possibly not make use of such an entertaining chance.
context: Laypeople are scary.\You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance. response:	This is the place from the rumors, right?
context: You don't need to go that far!\Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right? response:	If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.
context: Man, watching you kinda made me think that really anything is possible.\Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo. response:	It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.
context: Man, watching you made me think that anything really was possible.\I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night. response:	It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.
context: I tried to come up with the ultimate magic mecha.\Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night. response:	I think that drew all these occult fans here.
context: Though I guess there's no way this would work... right?\How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here. response:	It must've been fake.
context: How could I possibly let such an entertaining chance slip?\How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake. response:	Was that the wind?
