context: I got it. response:	The reprogramming of the surveillance satellite,
context: I got it.\The reprogramming of the surveillance satellite, response:	the mobilizing of personnel...
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel... response:	Everything's completed.
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed. response:	The time has finally come.
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed.\The time has finally come. response:	Bastard, do you know what you are...
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed.\The time has finally come.\Bastard, do you know what you are... response:	Takami-kun, what are you afraid of?
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed.\The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of? response:	I'm not afraid, I'm simply fed up.
context: I got it.\The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed.\The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up. response:	Everything is inevitable.
context: The reprogramming of the surveillance satellite,\the mobilizing of personnel...\Everything's completed.\The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable. response:	It has been ever since we touched the corpse of the god,
context: the mobilizing of personnel...\Everything's completed.\The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god, response:	when I qualified as game master.
context: Everything's completed.\The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master. response:	Then, eh?
context: The time has finally come.\Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh? response:	Kamikura Island
context: Bastard, do you know what you are...\Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh?\Kamikura Island response:	Kamikura Island We've come all the way to this unknown island.
context: Takami-kun, what are you afraid of?\I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island. response:	We've come all the way to this unknown island.
context: I'm not afraid, I'm simply fed up.\Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island. response:	If you're a man, you must go on a journey of adventure at the end of century!
context: Everything is inevitable.\It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century! response:	Dungeons! Go forth and quest for treasure...
context: It has been ever since we touched the corpse of the god,\when I qualified as game master.\Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure... response:	That hurts, Takami-kun!
context: when I qualified as game master.\Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun! response:	If you don't shut up, I'll give you another!
context: Then, eh?\Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another! response:	This island appeared as a result of a geologically impossible upheaval.
context: Kamikura Island\Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval. response:	We can't predict what will happen at any moment!
context: Kamikura Island We've come all the way to this unknown island.\We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment! response:	Even so, you came here as if you're going to a picnic, saying, I wanna go see!
context: We've come all the way to this unknown island.\If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see! response:	This is supposed to be the super genius,
context: If you're a man, you must go on a journey of adventure at the end of century!\Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius, response:	the smartest person since our university was founded...
context: Dungeons! Go forth and quest for treasure...\That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded... response:	But he's one mere step from a nutcase!
context: That hurts, Takami-kun!\If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase! response:	Hey, wait, Minaka!
context: If you don't shut up, I'll give you another!\This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka! response:	Wait, Minaka!
context: This island appeared as a result of a geologically impossible upheaval.\We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka! response:	Takami-kun!
context: We can't predict what will happen at any moment!\Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka!\Takami-kun! response:	A discovery! A discovery!
context: Even so, you came here as if you're going to a picnic, saying, I wanna go see!\This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka!\Takami-kun!\A discovery! A discovery! response:	The King of Terror!
context: This is supposed to be the super genius,\the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka!\Takami-kun!\A discovery! A discovery!\The King of Terror! response:	What is this?
context: the smartest person since our university was founded...\But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka!\Takami-kun!\A discovery! A discovery!\The King of Terror!\What is this? response:	If it's the end of the century, it's obvious this is the King of Terror.
context: But he's one mere step from a nutcase!\Hey, wait, Minaka!\Wait, Minaka!\Takami-kun!\A discovery! A discovery!\The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror. response:	No way...
context: Hey, wait, Minaka!\Wait, Minaka!\Takami-kun!\A discovery! A discovery!\The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way... response:	She... doesn't look like the King of Terror.
context: Wait, Minaka!\Takami-kun!\A discovery! A discovery!\The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror. response:	Now my life is blooming then falling
context: Takami-kun!\A discovery! A discovery!\The King of Terror!\What is this?\If it's the end of the century, it's obvious this is the King of Terror.\No way...\She... doesn't look like the King of Terror.\Now my life is blooming then falling response:	I grab destiny tight
