context: Is it that easy to adjust the Uka-no-Mitama virus? response:	The process itself should be pretty much automated,
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated, response:	so as long as the equipment still works, yes.
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes. response:	They chose Uka-no-Mitama precisely because of how easy it is to update.
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update. response:	To think that a benign virus would end up becoming an actual disease...
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease... response:	We thought of it as an iron shield defending our food autonomy,
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy, response:	but it ended up being a double-edged sword.
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword. response:	Go.
context: Is it that easy to adjust the Uka-no-Mitama virus?\The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go. response:	'The kingdom of heaven is like a man who sowed good seed in his field.
context: The process itself should be pretty much automated,\so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field. response:	But while everyone was sleeping,
context: so as long as the equipment still works, yes.\They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping, response:	his enemy came and sowed weeds among the wheat, and went away.
context: They chose Uka-no-Mitama precisely because of how easy it is to update.\To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away. response:	I would like to show
context: To think that a benign virus would end up becoming an actual disease...\We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show response:	Cut open my skull
context: We thought of it as an iron shield defending our food autonomy,\but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull response:	Look into my head
context: but it ended up being a double-edged sword.\Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: Go.\'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: 'The kingdom of heaven is like a man who sowed good seed in his field.\But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: But while everyone was sleeping,\his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: his enemy came and sowed weeds among the wheat, and went away.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	21: Blood-Stained Reward
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\21: Blood-Stained Reward response:	The security is still active...
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\21: Blood-Stained Reward\The security is still active... response:	Where can I find another way in...?
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\21: Blood-Stained Reward\The security is still active...\Where can I find another way in...? response:	Oh?
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\21: Blood-Stained Reward\The security is still active...\Where can I find another way in...?\Oh? response:	Dammit! What a huge place...
context: Voices inside, one link to join it all\So it goes\Again\21: Blood-Stained Reward\The security is still active...\Where can I find another way in...?\Oh?\Dammit! What a huge place... response:	Well, this factory centrally manages the defense virus in order to distribute it to the entire Hokuriku area.
