context: Live till after noon! response:	Live TV till after noon!
context: Live till after noon!\Live TV till after noon! response:	Today's topic is: Is sexiness necessary for hero work?
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work? response:	And so, we have these two in the studio today-
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today- response:	Pro Hero - Mt. Lady - Quirk: Gigantification
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification response:	A rookie hero who debuted just this year, Mt. Lady, and-
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and- response:	Midnight, who is currently teaching at U.A. High School!
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School! response:	Pro Hero - Midnight
context: Live till after noon!\Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight response:	Thank you both for coming today.
context: Live TV till after noon!\Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today. response:	Please, have a seat.
context: Today's topic is: Is sexiness necessary for hero work?\And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat. response:	Now, Midnight,
context: And so, we have these two in the studio today-\Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat.\Now, Midnight, response:	At debut
context: Pro Hero - Mt. Lady - Quirk: Gigantification\A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat.\Now, Midnight,\At debut response:	when you first debuted, your costume was so extreme that it created a stir,
context: A rookie hero who debuted just this year, Mt. Lady, and-\Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat.\Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir, response:	eventually leading to the Regulations for Exposed Skin in Costumes bill
context: Midnight, who is currently teaching at U.A. High School!\Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat.\Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill response:	being submitted to the National Diet.
context: Pro Hero - Midnight\Thank you both for coming today.\Please, have a seat.\Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet. response:	You're known as a veteran hero who changed the country.
context: Thank you both for coming today.\Please, have a seat.\Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country. response:	It's still pretty bad right now, though.
context: Please, have a seat.\Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though. response:	Now I'm going for the ultra-thin style.
context: Now, Midnight,\At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style. response:	Many say that because of the nature of their Quirks, clothes obstruct their abilities.
context: At debut\when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities. response:	It's not a matter of whether or not sexiness is necessary,
context: when you first debuted, your costume was so extreme that it created a stir,\eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary, response:	but rather that the result of necessity became seen as sexy.
context: eventually leading to the Regulations for Exposed Skin in Costumes bill\being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy. response:	It's just what you like, right?
context: being submitted to the National Diet.\You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right? response:	What's with you?
context: You're known as a veteran hero who changed the country.\It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you? response:	Trying to pick a fight?
context: It's still pretty bad right now, though.\Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you?\Trying to pick a fight? response:	Of course not! It's just, how do I put it-I think you're amazing!
context: Now I'm going for the ultra-thin style.\Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing! response:	For your age.
context: Many say that because of the nature of their Quirks, clothes obstruct their abilities.\It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age. response:	Are you trying to show that your only redeeming feature is your youth?
context: It's not a matter of whether or not sexiness is necessary,\but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth? response:	Even though you're not that young?
context: but rather that the result of necessity became seen as sexy.\It's just what you like, right?\What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young? response:	I'm saying that if the older generation tries too hard,
context: It's just what you like, right?\What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard, response:	then it's hopeless for us younger folks!
context: What's with you?\Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks! response:	-You little...! -Hey, watch your hands!
context: Trying to pick a fight?\Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands! response:	You, too! Oh, jeez!
context: Of course not! It's just, how do I put it-I think you're amazing!\For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez! response:	Minoru Mineta - Quirk: Pop Off
