context: KING OF THE HILL FINAL BATTLE response:	This is a king of the hill final battle!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle! response:	Matoi! Battle the Elite Four and emerge victorious!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious! response:	Do so, and I shall tell you the details of your father's death.
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death. response:	Say what?!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?! response:	Matoi! This is where I will face you in battle!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle! response:	I am Lady Satsuki's impenetrable shield!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield! response:	And this is where I am going to crush you!
context: KING OF THE HILL FINAL BATTLE\This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you! response:	I accept!
context: This is a king of the hill final battle!\Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept! response:	Life Fiber Synchronize, Kamui Senketsu!
context: Matoi! Battle the Elite Four and emerge victorious!\Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: Do so, and I shall tell you the details of your father's death.\Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	KING OF THE HILL FINAL BATTLE
context: Say what?!\Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE response:	What's this? You talk like you're going to be the first to fight.
context: Matoi! This is where I will face you in battle!\I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight. response:	I'll be the first to fight Matoi.
context: I am Lady Satsuki's impenetrable shield!\And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi. response:	Fine by me! I'll take you all on!
context: And this is where I am going to crush you!\I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on! response:	You really are a fool.
context: I accept!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool. response:	Say what?!
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool.\Say what?! response:	We said one-on-one, didn't we?
context: KAMUI SENKETSU\KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool.\Say what?!\We said one-on-one, didn't we? response:	Each of us wants to defeat your Kamui with his own power.
context: KING OF THE HILL FINAL BATTLE\What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool.\Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power. response:	Who will fight when has already been decided.
context: What's this? You talk like you're going to be the first to fight.\I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool.\Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided. response:	Haven't you Elite Four noticed that the pillars
context: I'll be the first to fight Matoi.\Fine by me! I'll take you all on!\You really are a fool.\Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars response:	you stand on are of different heights?
context: Fine by me! I'll take you all on!\You really are a fool.\Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights? response:	The more students you have defeated, the higher your pillar.
context: You really are a fool.\Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar. response:	Gamagoori defeated the fewest, so he is first.
context: Say what?!\We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first. response:	Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.
context: We said one-on-one, didn't we?\Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama. response:	Damn, I beat too many of the cannon fodder?
context: Each of us wants to defeat your Kamui with his own power.\Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder? response:	That efficient fighting style of yours proved effective, I suppose.
context: Who will fight when has already been decided.\Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose. response:	Well, well. The one who suggested this is at the top of the lineup, huh?
context: Haven't you Elite Four noticed that the pillars\you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh? response:	It's sweet that you're so considerate of your fellow students, Gama.
context: you stand on are of different heights?\The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama. response:	All I did was defend myself when attacked.
context: The more students you have defeated, the higher your pillar.\Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked. response:	Still, I suppose this means that you three won't get a chance at her!
context: Gamagoori defeated the fewest, so he is first.\Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her! response:	What's the holdup?! Get to it, already!
context: Then Inumuta will fight, followed by Jakuzure, and then Sanageyama.\Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already! response:	What are you in such a hurry for? The battle begins at 1pm!
context: Damn, I beat too many of the cannon fodder?\That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm! response:	What difference does the time make? Let's get it over with!
context: That efficient fighting style of yours proved effective, I suppose.\Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with! response:	No, we will abide by the schedule. That is what discipline is about!
context: Well, well. The one who suggested this is at the top of the lineup, huh?\It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about! response:	That is what the rules are about!
context: It's sweet that you're so considerate of your fellow students, Gama.\All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about! response:	EPISODE 9 A ONCE IN A LIFETIME CHANCE
context: All I did was defend myself when attacked.\Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE response:	The Honnouji Academy King of the
context: Still, I suppose this means that you three won't get a chance at her!\What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the response:	Hill Final Battle will be held starting at 1pm today
context: What's the holdup?! Get to it, already!\What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today response:	It will be a bloody clash between
context: What are you in such a hurry for? The battle begins at 1pm!\What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between response:	the Honnouji Academy Student Council Elite Four
context: What difference does the time make? Let's get it over with!\No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four response:	and Second Year Class K's Ryuko Matoi.
context: No, we will abide by the schedule. That is what discipline is about!\That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi. response:	Special live coverage will be brought to you on Honnouji Television!
context: That is what the rules are about!\EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television! response:	Grandmas, grandpas, fathers, mothers,
context: EPISODE 9 A ONCE IN A LIFETIME CHANCE\The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers, response:	and all good little children, let's all watch it together!
context: The Honnouji Academy King of the\Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together! response:	What?! Ryuko's gonna fight them?!
context: Hill Final Battle will be held starting at 1pm today\It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?! response:	We can't just sit here!
context: It will be a bloody clash between\the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here! response:	Mataro, go steal us a TV set from somewhere!
context: the Honnouji Academy Student Council Elite Four\and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere! response:	No prob! I got us one a long time ago for just such an occasion!
context: and Second Year Class K's Ryuko Matoi.\Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion! response:	Attaboy, Mataro!
context: Special live coverage will be brought to you on Honnouji Television!\Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro! response:	It's not showing anything.
context: Grandmas, grandpas, fathers, mothers,\and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything. response:	Huh?
context: and all good little children, let's all watch it together!\What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything.\Huh? response:	You tried hitting it?
context: What?! Ryuko's gonna fight them?!\We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything.\Huh?\You tried hitting it? response:	- Better open it up... - Got it.
context: We can't just sit here!\Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything.\Huh?\You tried hitting it?\- Better open it up... - Got it. response:	- Then poke around inside... - Poke around...
context: Mataro, go steal us a TV set from somewhere!\No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything.\Huh?\You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around... response:	What's in here?
context: No prob! I got us one a long time ago for just such an occasion!\Attaboy, Mataro!\It's not showing anything.\Huh?\You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here? response:	Nothing, looks like.
context: Attaboy, Mataro!\It's not showing anything.\Huh?\You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here?\Nothing, looks like. response:	There's no parts inside!
context: It's not showing anything.\Huh?\You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here?\Nothing, looks like.\There's no parts inside! response:	No other choice, then! Let's go to the electronics store!
context: Huh?\You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here?\Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store! response:	Aye-aye, sir!
