context: Karasuno Aoba Johsai response:	Up front!
context: Karasuno Aoba Johsai\Up front! response:	Slam it down!
context: Karasuno Aoba Johsai\Up front!\Slam it down! response:	All right!
context: Karasuno Aoba Johsai\Up front!\Slam it down!\All right! response:	Yes! A break!
context: Karasuno Aoba Johsai\Up front!\Slam it down!\All right!\Yes! A break! response:	Yes, yes, yes! They reversed it!
context: Karasuno Aoba Johsai\Up front!\Slam it down!\All right!\Yes! A break!\Yes, yes, yes! They reversed it! response:	That's amazing... He hit that before the attack line?
context: Karasuno Aoba Johsai\Up front!\Slam it down!\All right!\Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line? response:	Because he hit it by snapping his wrist, the spike wasn't as powerful.
context: Karasuno Aoba Johsai\Up front!\Slam it down!\All right!\Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful. response:	But as long as it gets past the block, they can't pick the ball up from that angle.
context: Up front!\Slam it down!\All right!\Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle. response:	Did Kageyama mean to give that to Hinata?
context: Slam it down!\All right!\Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata? response:	Push through!
context: All right!\Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through! response:	Hinata, nice kill!
context: Yes! A break!\Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill! response:	Or did he make a mistake?
context: Yes, yes, yes! They reversed it!\That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill!\Or did he make a mistake? response:	Shut up.
context: That's amazing... He hit that before the attack line?\Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill!\Or did he make a mistake?\Shut up. response:	Hey, that was awesome!
context: Because he hit it by snapping his wrist, the spike wasn't as powerful.\But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill!\Or did he make a mistake?\Shut up.\Hey, that was awesome! response:	That was right below!
context: But as long as it gets past the block, they can't pick the ball up from that angle.\Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill!\Or did he make a mistake?\Shut up.\Hey, that was awesome!\That was right below! response:	Did you aim for that?!
context: Did Kageyama mean to give that to Hinata?\Push through!\Hinata, nice kill!\Or did he make a mistake?\Shut up.\Hey, that was awesome!\That was right below!\Did you aim for that?! response:	Hinata was close to the net, so I made the set close, too.
context: Push through!\Hinata, nice kill!\Or did he make a mistake?\Shut up.\Hey, that was awesome!\That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too. response:	I'm glad it worked out.
context: Hinata, nice kill!\Or did he make a mistake?\Shut up.\Hey, that was awesome!\That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out. response:	Tobio's genius-like qualities
context: Or did he make a mistake?\Shut up.\Hey, that was awesome!\That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities response:	don't lie in his techniques, but rather how stupid he is.
