context: Today, I am giving the Honnouji Academy response:	Student Council system a fresh start!
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start! response:	All students have the right to attack all other students!
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students! response:	Secret meetings, scheming, backstabbing, anything goes!
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes! response:	Seven days from now, reach the schoolyard alive!
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive! response:	FIRST HONNOUJI ACADEMY NATURALS ELECTION
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION response:	And then, use your strength to
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to response:	lay claim to your social standing once again!
context: Today, I am giving the Honnouji Academy\Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again! response:	This shall be Honnouji Academy's first naturals election!
context: Student Council system a fresh start!\All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election! response:	FIRST HONNOUJI ACADEMY NATURALS ELECTION
context: All students have the right to attack all other students!\Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION response:	Naturals election?
context: Secret meetings, scheming, backstabbing, anything goes!\Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election? response:	In this election, you will not be choosing some candidate!
context: Seven days from now, reach the schoolyard alive!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate! response:	You will be choosing yourself!
context: FIRST HONNOUJI ACADEMY NATURALS ELECTION\And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself! response:	Your standing! Your strength! Your way of life!
context: And then, use your strength to\lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life! response:	At 8:30am, seven days from now,
