context: You know, we've got a lot of only children in our group, huh? response:	I've got a little brother.
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother. response:	And I have an older sister.
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister. response:	Only child Only child
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister.\Only child Only child response:	And I have an older sister.
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister.\Only child Only child\And I have an older sister. response:	Only child Only child
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister.\Only child Only child\And I have an older sister.\Only child Only child response:	You have a point, though.
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister.\Only child Only child\And I have an older sister.\Only child Only child\You have a point, though. response:	Also only children
context: You know, we've got a lot of only children in our group, huh?\I've got a little brother.\And I have an older sister.\Only child Only child\And I have an older sister.\Only child Only child\You have a point, though.\Also only children response:	You have a point, though.
context: I've got a little brother.\And I have an older sister.\Only child Only child\And I have an older sister.\Only child Only child\You have a point, though.\Also only children\You have a point, though. response:	You have a point, though.
context: And I have an older sister.\Only child Only child\And I have an older sister.\Only child Only child\You have a point, though.\Also only children\You have a point, though.\You have a point, though. response:	But the biggest shock of them all is that Shu's an older brother.
context: Only child Only child\And I have an older sister.\Only child Only child\You have a point, though.\Also only children\You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother. response:	What?
context: And I have an older sister.\Only child Only child\You have a point, though.\Also only children\You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What? response:	Wait, you didn't know?
context: Only child Only child\You have a point, though.\Also only children\You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know? response:	-A sister?
context: You have a point, though.\Also only children\You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know?\-A sister? response:	-A brother? -A sister?
context: Also only children\You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know?\-A sister?\-A brother? -A sister? response:	-A brother? -Or a sister?
context: You have a point, though.\You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know?\-A sister?\-A brother? -A sister?\-A brother? -Or a sister? response:	-A brother? -A brother? -Or a sister?
context: You have a point, though.\But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know?\-A sister?\-A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister? response:	-A brother? -A sister? -Or a sister?
context: But the biggest shock of them all is that Shu's an older brother.\What?\Wait, you didn't know?\-A sister?\-A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister? response:	-A brother? -A sister? -Or a brother?
context: What?\Wait, you didn't know?\-A sister?\-A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother? response:	-Calm down, he doesn't have that many! -Or a brother?
context: Wait, you didn't know?\-A sister?\-A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother? response:	-Calm down, he doesn't have that many!
context: -A sister?\-A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many! response:	I only found out when I went over to Shu's house not too long ago.
context: -A brother? -A sister?\-A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago. response:	I'm back!
context: -A brother? -Or a sister?\-A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back! response:	Thanks for having me over.
context: -A brother? -A brother? -Or a sister?\-A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over. response:	Hey.
context: -A brother? -A sister? -Or a sister?\-A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over.\Hey. response:	Try to keep it down.
context: -A brother? -A sister? -Or a brother?\-Calm down, he doesn't have that many! -Or a brother?\-Calm down, he doesn't have that many!\I only found out when I went over to Shu's house not too long ago.\I'm back!\Thanks for having me over.\Hey.\Try to keep it down. response:	You got it.
