context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	OP
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP response:	South Central Flonyard, Plains of Cocona
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona response:	Godwin, is the march going smoothly?
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly? response:	Yes, your Highness Leonmitchelli.
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli. response:	The rain is unfortunate,
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate, response:	but the entire army will definitely be able to reach the fortress by tomorrow afternoon.
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon. response:	Just as your Highness has ordered.
context: Fansubbed by Ruri Subs\OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered. response:	In order to prepare for tomorrow's fortress siege,
context: OP\South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege, response:	the soldiers have had sufficient rest and food.
context: South Central Flonyard, Plains of Cocona\Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food. response:	Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.
context: Godwin, is the march going smoothly?\Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again. response:	Biscotti Republic, City of Frianno
context: Yes, your Highness Leonmitchelli.\The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno response:	Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.
context: The rain is unfortunate,\but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress. response:	Are those people from Galette really serious about fighting their way all the way to this castle?
context: but the entire army will definitely be able to reach the fortress by tomorrow afternoon.\Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle? response:	Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,
context: Just as your Highness has ordered.\In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave, response:	she's also the type who tends to cross the line.
context: In order to prepare for tomorrow's fortress siege,\the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line. response:	Reasoning aside, we've been losing battle after battle lately.
context: the soldiers have had sufficient rest and food.\Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately. response:	If only Lady d'Arquien and Madam Tenko were here.
context: Tomorrow, we'll let the Dog Princess of Biscotti experience the humiliation of defeat once again.\Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here. response:	If the Knights Brioche and Yukikaze would share their point of view...
context: Biscotti Republic, City of Frianno\Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view... response:	No matter what, if we lose this battle,
context: Sure enough, the soldiers of the Galette Lion Army are approaching Myon Fortress.\Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle, response:	if the worst happens, our Frianno Castle would be...
context: Are those people from Galette really serious about fighting their way all the way to this castle?\Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be... response:	That's...
context: Even though the leader of the Galette Lion Army, her Highness Leonmitchelli, is very brave,\she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's... response:	We can't let them!
context: she's also the type who tends to cross the line.\Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's...\We can't let them! response:	For our princess, and for the people of Biscotti,
context: Reasoning aside, we've been losing battle after battle lately.\If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's...\We can't let them!\For our princess, and for the people of Biscotti, response:	we have to win this battle!
context: If only Lady d'Arquien and Madam Tenko were here.\If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's...\We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle! response:	Eclair!
context: If the Knights Brioche and Yukikaze would share their point of view...\No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's...\We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair! response:	You're currently in the presence of the princess, you know?
context: No matter what, if we lose this battle,\if the worst happens, our Frianno Castle would be...\That's...\We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know? response:	Excuse my rudeness.
context: if the worst happens, our Frianno Castle would be...\That's...\We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness. response:	Thank you, everyone.
context: That's...\We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone. response:	I've clearly understood the poor situation facing our Biscotti.
context: We can't let them!\For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti. response:	We most definitely cannot be defeated in this battle,
context: For our princess, and for the people of Biscotti,\we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle, response:	so I have decided to use my trump card.
context: we have to win this battle!\Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card. response:	Trump card?
context: Eclair!\You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card? response:	As a representative of the Biscotti Republic,
context: You're currently in the presence of the princess, you know?\Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic, response:	by the name of Millhiore F. Biscotti,
context: Excuse my rudeness.\Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti, response:	I shall summon a Hero to our country!
context: Thank you, everyone.\I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country! response:	Japan, City of Kinokawa
context: I've clearly understood the poor situation facing our Biscotti.\We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa response:	Sink!
context: We most definitely cannot be defeated in this battle,\so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink! response:	Sink! Are you awake?
context: so I have decided to use my trump card.\Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink!\Sink! Are you awake? response:	Yeah, I am!
context: Trump card?\As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink!\Sink! Are you awake?\Yeah, I am! response:	Then come down already!
context: As a representative of the Biscotti Republic,\by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink!\Sink! Are you awake?\Yeah, I am!\Then come down already! response:	We're late. I'll leave without you!
context: by the name of Millhiore F. Biscotti,\I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink!\Sink! Are you awake?\Yeah, I am!\Then come down already!\We're late. I'll leave without you! response:	Hey, wait up! I'll be down in a minute!
context: I shall summon a Hero to our country!\Japan, City of Kinokawa\Sink!\Sink! Are you awake?\Yeah, I am!\Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute! response:	Good morning, Becky.
