context: It's short! response:	Nice cover.
context: It's short!\Nice cover. response:	More importantly, Kageyama...
context: It's short!\Nice cover.\More importantly, Kageyama... response:	Karasuno Shiratorizawa
context: It's short!\Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa response:	We get to play one more set!
context: It's short!\Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set! response:	Haikyu!!
context: It's short!\Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set!\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: It's short!\Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Shiratorizawa!
context: It's short!\Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa! response:	Episode 07: Obsession
context: Nice cover.\More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession response:	Shiratorizawa!
context: More importantly, Kageyama...\Karasuno Shiratorizawa\We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession\Shiratorizawa! response:	If you play a disappointing match,
context: Karasuno Shiratorizawa\We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match, response:	Shiratorizawa!
context: We get to play one more set!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match,\Shiratorizawa! response:	you're going to be running back to school from here.
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here. response:	Shiratorizawa!
context: Karasuno High School vs Shiratorizawa Academy\Shiratorizawa!\Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa! response:	We actually had to do that when I was a first-year.
context: Shiratorizawa!\Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year. response:	Shiratorizawa!
context: Episode 07: Obsession\Shiratorizawa!\If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa! response:	At the third-years' retirement match.
context: Shiratorizawa!\If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match. response:	Shiratorizawa!
context: If you play a disappointing match,\Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa! response:	You are you, and that's the only reason you need to win.
context: Shiratorizawa!\you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win. response:	Shiratorizawa!
context: you're going to be running back to school from here.\Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa! response:	Because you're all members that I chose without hesitation.
context: Shiratorizawa!\We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation. response:	Shiratorizawa!
context: We actually had to do that when I was a first-year.\Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa! response:	Shiratorizawa!
context: Shiratorizawa!\At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa! response:	Karasuno Shiratorizawa
context: At the third-years' retirement match.\Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa response:	Shiratorizawa!
context: Shiratorizawa!\You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa! response:	The final set...
context: You are you, and that's the only reason you need to win.\Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa!\The final set... response:	I'm thinking about starting with Sugawara.
context: Shiratorizawa!\Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara. response:	Shiratorizawa!
context: Because you're all members that I chose without hesitation.\Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa! response:	Shiratorizawa!
context: Shiratorizawa!\Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa! response:	Right!
context: Shiratorizawa!\Karasuno Shiratorizawa\Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa!\Right! response:	Shiratorizawa!
context: Karasuno Shiratorizawa\Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa!\Right!\Shiratorizawa! response:	We're counting on you, Sugawara!
context: Shiratorizawa!\The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa!\Right!\Shiratorizawa!\We're counting on you, Sugawara! response:	It'll be fine.
context: The final set...\I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa!\Right!\Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine. response:	Sugawara-kun, give it your all!
context: I'm thinking about starting with Sugawara.\Shiratorizawa!\Shiratorizawa!\Right!\Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all! response:	This isn't the first time I'm going in during a pinch.
context: Shiratorizawa!\Shiratorizawa!\Right!\Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch. response:	Suga-san, give me a whole bunch of tosses!
context: Shiratorizawa!\Right!\Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch.\Suga-san, give me a whole bunch of tosses! response:	Karasuno
context: Right!\Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch.\Suga-san, give me a whole bunch of tosses!\Karasuno response:	Shiratorizawa!
context: Shiratorizawa!\We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch.\Suga-san, give me a whole bunch of tosses!\Karasuno\Shiratorizawa! response:	Damn it...
context: We're counting on you, Sugawara!\It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch.\Suga-san, give me a whole bunch of tosses!\Karasuno\Shiratorizawa!\Damn it... response:	My body's warmed up, but my hands are cold.
context: It'll be fine.\Sugawara-kun, give it your all!\This isn't the first time I'm going in during a pinch.\Suga-san, give me a whole bunch of tosses!\Karasuno\Shiratorizawa!\Damn it...\My body's warmed up, but my hands are cold. response:	Shiratorizawa!
