context: Why would you come here? response:	You don't understand anything.
context: Why would you come here?\You don't understand anything. response:	The feeling of rotting alive,
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive, response:	the pain and agony of being burned alive,
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive, response:	the sensation of insects eating the flesh off your bones...
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones... response:	No one... Not a single person knows what it's like.
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like. response:	Everyone scoffs at me and calls me a freak.
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak. response:	Do you want people to understand?
context: Why would you come here?\You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand? response:	Or do you just want to believe you're the only one suffering?
context: You don't understand anything.\The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering? response:	Is that...
context: The feeling of rotting alive,\the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that... response:	something you're in a position to say?
context: the pain and agony of being burned alive,\the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say? response:	You're quite blessed, aren't you?
context: the sensation of insects eating the flesh off your bones...\No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say?\You're quite blessed, aren't you? response:	Every day, you're being targeted for your body, your blood, your soul...
context: No one... Not a single person knows what it's like.\Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul... response:	But you had no trouble getting food, shelter, or education.
context: Everyone scoffs at me and calls me a freak.\Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education. response:	The only ones having trouble are the adults who have to raise a creepy child.
context: Do you want people to understand?\Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child. response:	And yet,
context: Or do you just want to believe you're the only one suffering?\Is that...\something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet, response:	you're the one who acts as though you're the one suffering most.
context: Is that...\something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most. response:	I lived my life despising and envying all sorts of things, too.
context: something you're in a position to say?\You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too. response:	I thought I could do anything to escape the misery.
context: You're quite blessed, aren't you?\Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery. response:	You and I may be alike...
context: Every day, you're being targeted for your body, your blood, your soul...\But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike... response:	and that's why I need to beat the hell out of you.
context: But you had no trouble getting food, shelter, or education.\The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you. response:	Huh?
context: The only ones having trouble are the adults who have to raise a creepy child.\And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you.\Huh? response:	What?
