context: Are memories precious? response:	Yes! I wish I could gather every single one and keep them in a treasure box.
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box. response:	No sappy conversations allowed, especially in the intro!
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro! response:	Huh? No sappy conversations allowed, especially in the intro!
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro! response:	Wouldn't you want to forget all the bad things, though?
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though? response:	Alice?
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice? response:	Athena's...
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice?\Athena's... response:	Her what?
context: Are memories precious?\Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice?\Athena's...\Her what? response:	Athena's treasure box won't unlock!
context: Yes! I wish I could gather every single one and keep them in a treasure box.\No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice?\Athena's...\Her what?\Athena's treasure box won't unlock! response:	Dear Ai, the weather in Neo-Venezia has been beautiful lately.
context: No sappy conversations allowed, especially in the intro!\Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice?\Athena's...\Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately. response:	When you look up at the sunny, clear blue sky,
context: Huh? No sappy conversations allowed, especially in the intro!\Wouldn't you want to forget all the bad things, though?\Alice?\Athena's...\Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky, response:	doesn't it sometimes make you feel like you're a fish at the bottom of the sea...
context: Wouldn't you want to forget all the bad things, though?\Alice?\Athena's...\Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea... response:	Ehh?!
context: Alice?\Athena's...\Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?! response:	You're going with Athena...
context: Athena's...\Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena... response:	On a picnic?!...on a picnic?!
context: Her what?\Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?! response:	Yes, we're going tomorrow.
context: Athena's treasure box won't unlock!\Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow. response:	Tomorrow?
context: Dear Ai, the weather in Neo-Venezia has been beautiful lately.\When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow? response:	By any chance, is she the one who invited you?
context: When you look up at the sunny, clear blue sky,\doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you? response:	If she did, that means... If she did, that means...
context: doesn't it sometimes make you feel like you're a fish at the bottom of the sea...\Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means... response:	I invited Athena.
context: Ehh?!\You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena. response:	Eh? You did?
context: You're going with Athena...\On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena.\Eh? You did? response:	Really?
context: On a picnic?!...on a picnic?!\Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena.\Eh? You did?\Really? response:	It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...
context: Yes, we're going tomorrow.\Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena.\Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but... response:	But?
