context: The Third Plate response:	Twenty-Three
context: The Third Plate\Twenty-Three response:	The Team Shokugeki has begun!
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun! response:	Instant yakisoba? Really?
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really? response:	Hm? What was that, Senpai?
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai? response:	Don't think for a second that you can beat me at soba.
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba. response:	Isshiki, do you have no pride?!
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?! response:	I heard you were removed from the seventh seat
context: The Third Plate\Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat response:	and that you've continued to stay at some place called Polar Star Dormitory,
context: Twenty-Three\The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory, response:	a hangout for riffraff.
context: The Team Shokugeki has begun!\Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff. response:	I say this for your sake!
context: Instant yakisoba? Really?\Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake! response:	As a member of the Isshiki family, you should not be mingling with such lowlifes!
context: Hm? What was that, Senpai?\Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes! response:	Uh, Shiratsu-kun, was it?
context: Don't think for a second that you can beat me at soba.\Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it? response:	Let's have some quiet, shall we?
context: Isshiki, do you have no pride?!\I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we? response:	He butchered the eel with lightning speed!
context: I heard you were removed from the seventh seat\and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed! response:	All in one stroke of the knife!
context: and that you've continued to stay at some place called Polar Star Dormitory,\a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife! response:	The former seventh seat has formidable skills!
context: a hangout for riffraff.\I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills! response:	But he is no match for Central.
context: I say this for your sake!\As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central. response:	Let's look forward to the moment his smile is twisted by defeat.
context: As a member of the Isshiki family, you should not be mingling with such lowlifes!\Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat. response:	His skills have not changed.
context: Uh, Shiratsu-kun, was it?\Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed. response:	If he'd chosen a different path, he would've been rich beyond his wildest dreams.
context: Let's have some quiet, shall we?\He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams. response:	Why'd he rebel against Central?
context: He butchered the eel with lightning speed!\All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central? response:	That idiot.
context: All in one stroke of the knife!\The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot. response:	Jurio!
context: The former seventh seat has formidable skills!\But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot.\Jurio! response:	Don't be outdone by him! Show him who you are!
context: But he is no match for Central.\Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot.\Jurio!\Don't be outdone by him! Show him who you are! response:	I'm so happy, Isshiki.
context: Let's look forward to the moment his smile is twisted by defeat.\His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot.\Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki. response:	Your skills are so sublime.
context: His skills have not changed.\If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot.\Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime. response:	Whoa!
context: If he'd chosen a different path, he would've been rich beyond his wildest dreams.\Why'd he rebel against Central?\That idiot.\Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime.\Whoa! response:	I don't really get what's going on here, but he's into it now.
context: Why'd he rebel against Central?\That idiot.\Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now. response:	Good, good.
context: That idiot.\Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now.\Good, good. response:	What was that technique Isshiki-san used just now?
context: Jurio!\Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now? response:	He slit the eel from the stomach with such precision and speed.
context: Don't be outdone by him! Show him who you are!\I'm so happy, Isshiki.\Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed. response:	He chose to slit the eel from the stomach.
context: I'm so happy, Isshiki.\Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach. response:	It's unbelievable.
context: Your skills are so sublime.\Whoa!\I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable. response:	Eels have no rib cage,
context: Whoa!\I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage, response:	so it's beyond difficult to insert a knife into the soft body cavity with precision.
context: I don't really get what's going on here, but he's into it now.\Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision. response:	Compared to slitting the eel from the back,
context: Good, good.\What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back, response:	this method requires much more advanced knife technique.
context: What was that technique Isshiki-san used just now?\He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique. response:	It's hard to imagine him doing this, given how he's usually naked except for an apron.
context: He slit the eel from the stomach with such precision and speed.\He chose to slit the eel from the stomach.\It's unbelievable.\Eels have no rib cage,\so it's beyond difficult to insert a knife into the soft body cavity with precision.\Compared to slitting the eel from the back,\this method requires much more advanced knife technique.\It's hard to imagine him doing this, given how he's usually naked except for an apron. response:	Yeah.
