context: I figured if they could not become pro after this, response:	there's something seriously wrong with this world.
context: I figured if they could not become pro after this,\there's something seriously wrong with this world. response:	Blinking eyes call the wind
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind response:	A smile clears all the noise away
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: I figured if they could not become pro after this,\there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: there's something seriously wrong with this world.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	That day was BLAST's third time on the stage in the big city.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city. response:	It was at the same venue as usual.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual. response:	They were the opening act and played for 40 minutes.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes. response:	BLAST is really popular!
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular! response:	The line was all the way to the convenience store.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store. response:	Misato told me excitedly as she returned from buying some juice.
context: This sky is torn\By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice. response:	She had passed the line of people waiting since before the concert hall opened,
context: By a single overflowing word\That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened, response:	hoping to get seats close to the front.
context: That day was BLAST's third time on the stage in the big city.\It was at the same venue as usual.\They were the opening act and played for 40 minutes.\BLAST is really popular!\The line was all the way to the convenience store.\Misato told me excitedly as she returned from buying some juice.\She had passed the line of people waiting since before the concert hall opened,\hoping to get seats close to the front. response:	That was the right decision to come early.
