context: Daiku Power response:	eyecatch
context: Daiku Power\eyecatch response:	H!
context: Daiku Power\eyecatch\H! response:	O?!
context: Daiku Power\eyecatch\H!\O?! response:	I do fall in love!
context: Daiku Power\eyecatch\H!\O?!\I do fall in love! response:	I just realised it for the first time
context: Daiku Power\eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time response:	That I had fallen in love
context: Daiku Power\eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love response:	Twenty-four hours a day thinking of you, you and nothing more than you!
context: Daiku Power\eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you! response:	It's something I wasn't consciously aware of
context: eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of response:	Somehow ( somehow) I'm feeling different from the usual
context: H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual response:	With you ( the two of us) and our dull chatter
context: O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter response:	Don't tell me ( mutual love?) Nope, it's a one-sided crush
context: I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush response:	This is bad! Our gazes met!
context: I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met! response:	What, what? Why is my heart pounding like this?
context: That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this? response:	Did a short circuit just make a mess out of my mind?
context: Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind? response:	This is my first time... feeling like this...
context: It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this... response:	I wonder if I have a fever
context: Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever response:	Suddenly and precipitately, love has arrived.
