context: Every weekday's tightly packed. response:	Madly dashing around again since morning.
context: Every weekday's tightly packed.\Madly dashing around again since morning. response:	Rat race? Looks like fun. But surprisingly death-defying.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying. response:	What I'd like is a slow lifestyle.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle. response:	My wish made on a shootin'star.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star. response:	But there's no mercy, 1003.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003. response:	Full of things you can't divide.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide. response:	Full of things you can't divide. Genshiken
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken response:	That's why I've carried this in my hands...
context: Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands... response:	I jam-packed the rest with it...
context: Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it... response:	A modest happiness. A shared joy!
context: What I'd like is a slow lifestyle.\My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy! response:	We're about to etch them now right into our youth.
context: My wish made on a shootin'star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth. response:	So Ionely to just walk on by.
context: But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by. response:	So sad to have this frustration!
context: Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration! response:	Let's take a break from today...
context: Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today... response:	Aren't anime and video game costumes...
context: That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes... response:	Many of those who create them are women.
context: I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women. response:	Then in other words, warped male and female desires.
context: A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires. response:	I just can't believe you would wear such things and pose in front of people.
context: We're about to etch them now right into our youth.\So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people. response:	What you express through cosplay is the character herself.
context: So Ionely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself. response:	That includes inner essence, not just outward appearance.
context: So sad to have this frustration!\Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance. response:	You're quibbling. Photos don't show inner essence.
context: Let's take a break from today...\Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence. response:	Yes, they do!
context: Aren't anime and video game costumes...\Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do! response:	This is embarrassing. Don't you think you're exaggerating?
context: Many of those who create them are women.\Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do!\This is embarrassing. Don't you think you're exaggerating? response:	Oh? This is no exaggeration.
context: Then in other words, warped male and female desires.\I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do!\This is embarrassing. Don't you think you're exaggerating?\Oh? This is no exaggeration. response:	I can't understand it.
context: I just can't believe you would wear such things and pose in front of people.\What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do!\This is embarrassing. Don't you think you're exaggerating?\Oh? This is no exaggeration.\I can't understand it. response:	There are people who do, though. Right?
context: What you express through cosplay is the character herself.\That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do!\This is embarrassing. Don't you think you're exaggerating?\Oh? This is no exaggeration.\I can't understand it.\There are people who do, though. Right? response:	Huh?
context: That includes inner essence, not just outward appearance.\You're quibbling. Photos don't show inner essence.\Yes, they do!\This is embarrassing. Don't you think you're exaggerating?\Oh? This is no exaggeration.\I can't understand it.\There are people who do, though. Right?\Huh? response:	Last year, Saki did such an admirablejob portraying the president through cosplay!
