context: What is this warm light? response:	Am I the princess? What should I do?
context: What is this warm light?\Am I the princess? What should I do? response:	I don't know! I don't know what to do! What can I do?!
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?! response:	Tuxedo Mask, everyone, please help me!
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: What is this warm light?\Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: Am I the princess? What should I do?\I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: I don't know! I don't know what to do! What can I do?!\Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: Tuxedo Mask, everyone, please help me!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
