context: Once the festival's over, Shiina will... response:	Message Received
context: Once the festival's over, Shiina will...\Message Received response:	Shiina Mashiro
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro response:	Are you awake?
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro\Are you awake? response:	What?
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro\Are you awake?\What? response:	I want to see you.
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro\Are you awake?\What?\I want to see you. response:	You...
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro\Are you awake?\What?\I want to see you.\You... response:	I want you to stay with me until I fall asleep.
context: Once the festival's over, Shiina will...\Message Received\Shiina Mashiro\Are you awake?\What?\I want to see you.\You...\I want you to stay with me until I fall asleep. response:	Keep it down.
context: Message Received\Shiina Mashiro\Are you awake?\What?\I want to see you.\You...\I want you to stay with me until I fall asleep.\Keep it down. response:	We'll get in trouble if Aoyama or Rita find out.
context: Shiina Mashiro\Are you awake?\What?\I want to see you.\You...\I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out. response:	Okay.
context: Are you awake?\What?\I want to see you.\You...\I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay. response:	Good night, then.
context: What?\I want to see you.\You...\I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then. response:	I'll sleep on the floor, too.
context: I want to see you.\You...\I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then.\I'll sleep on the floor, too. response:	Why? There's no point if you
context: You...\I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you response:	Sorata...
context: I want you to stay with me until I fall asleep.\Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you\Sorata... response:	What?
context: Keep it down.\We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you\Sorata...\What? response:	Did I hurt you, too?
context: We'll get in trouble if Aoyama or Rita find out.\Okay.\Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you\Sorata...\What?\Did I hurt you, too? response:	But why did you have to make your debut?
context: Okay.\Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you\Sorata...\What?\Did I hurt you, too?\But why did you have to make your debut? response:	For a long time, I compared myself to Shiina,
context: Good night, then.\I'll sleep on the floor, too.\Why? There's no point if you\Sorata...\What?\Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina, response:	and got depressed over it...
context: I'll sleep on the floor, too.\Why? There's no point if you\Sorata...\What?\Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it... response:	But if it wasn't for that,
context: Why? There's no point if you\Sorata...\What?\Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that, response:	I would never have confronted my own feelings.
context: Sorata...\What?\Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings. response:	That's right.
context: What?\Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings.\That's right. response:	If Shiina returns to England, I...
context: Did I hurt you, too?\But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I... response:	We have to make Nyapollon one of our best memories...
context: But why did you have to make your debut?\For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories... response:	Mashiro, I...
