context: Takeshi, you've received an invitation from the Schuberstein Competition. response:	It's in Germany... You're finally going overseas!
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas! response:	The Maihou Competition's around the same time, but let's cancel that one.
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one. response:	Mr. Takayanagi.
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi. response:	I won't be going to Germany.
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany. response:	What?
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany.\What? response:	I'm going to enter the Maihou Music Competition.
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition. response:	But why? They invited you, you know!
context: Takeshi, you've received an invitation from the Schuberstein Competition.\It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know! response:	It's a golden opportunity that almost never comes up!
context: It's in Germany... You're finally going overseas!\The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up! response:	And you also need to get overseas exposure before the Chopin competition!
context: The Maihou Competition's around the same time, but let's cancel that one.\Mr. Takayanagi.\I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition! response:	You already won Maihou last year, so there's no reason to make it a priority...
context: Mr. Takayanagi.\I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority... response:	But there is a reason.
context: I won't be going to Germany.\What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason. response:	Kousei Arima might be competing.
context: What?\I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing. response:	You keep saying that, and how long have we waited?
context: I'm going to enter the Maihou Music Competition.\But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited? response:	But he hasn't shown his face in public for two whole years now.
context: But why? They invited you, you know!\It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now. response:	There are even rumors that he can't hear anymore.
context: It's a golden opportunity that almost never comes up!\And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore. response:	He might be competing this time.
context: And you also need to get overseas exposure before the Chopin competition!\You already won Maihou last year, so there's no reason to make it a priority...\But there is a reason.\Kousei Arima might be competing.\You keep saying that, and how long have we waited?\But he hasn't shown his face in public for two whole years now.\There are even rumors that he can't hear anymore.\He might be competing this time. response:	Takeshi!
