context: S-Save me! response:	What's going on?
context: S-Save me!\What's going on? response:	The dungeon hates us.
context: S-Save me!\What's going on?\The dungeon hates us. response:	Since we keep it locked up in a place like this.
context: S-Save me!\What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this. response:	Uranus, what happened to the prayers?
context: S-Save me!\What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers? response:	You didn't tell me anything about this...
context: S-Save me!\What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this... response:	A floor boss? I knew it...
context: S-Save me!\What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it... response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: S-Save me!\What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Familia Myth The Story of a Familia
context: What's going on?\The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia response:	We gotta save them!
context: The dungeon hates us.\Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them! response:	Wait.
context: Since we keep it locked up in a place like this.\Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them!\Wait. response:	Are you really going to go save them?
context: Uranus, what happened to the prayers?\You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them!\Wait.\Are you really going to go save them? response:	With this party?
context: You didn't tell me anything about this...\A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them!\Wait.\Are you really going to go save them?\With this party? response:	Let's save them.
context: A floor boss? I knew it...\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them!\Wait.\Are you really going to go save them?\With this party?\Let's save them. response:	You're a failure as a leader.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Familia Myth The Story of a Familia\We gotta save them!\Wait.\Are you really going to go save them?\With this party?\Let's save them.\You're a failure as a leader. response:	But...
context: Familia Myth The Story of a Familia\We gotta save them!\Wait.\Are you really going to go save them?\With this party?\Let's save them.\You're a failure as a leader.\But... response:	You didn't make the wrong decision.
context: We gotta save them!\Wait.\Are you really going to go save them?\With this party?\Let's save them.\You're a failure as a leader.\But...\You didn't make the wrong decision. response:	Chigusa-san, take care of my Goddess.
context: Wait.\Are you really going to go save them?\With this party?\Let's save them.\You're a failure as a leader.\But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess. response:	Everybody, let's go!
context: Are you really going to go save them?\With this party?\Let's save them.\You're a failure as a leader.\But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go! response:	Yeah!
context: With this party?\Let's save them.\You're a failure as a leader.\But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah! response:	All of you...
context: Let's save them.\You're a failure as a leader.\But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah!\All of you... response:	Don't do anything stupid.
context: You're a failure as a leader.\But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah!\All of you...\Don't do anything stupid. response:	We're done for!
context: But...\You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah!\All of you...\Don't do anything stupid.\We're done for! response:	He's using Howl?
context: You didn't make the wrong decision.\Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah!\All of you...\Don't do anything stupid.\We're done for!\He's using Howl? response:	Damn it!
context: Chigusa-san, take care of my Goddess.\Everybody, let's go!\Yeah!\All of you...\Don't do anything stupid.\We're done for!\He's using Howl?\Damn it! response:	Why...
context: Everybody, let's go!\Yeah!\All of you...\Don't do anything stupid.\We're done for!\He's using Howl?\Damn it!\Why... response:	Why is this happening?
context: Yeah!\All of you...\Don't do anything stupid.\We're done for!\He's using Howl?\Damn it!\Why...\Why is this happening? response:	You'll get in Bell-sama's way, so I'm carrying you away!
context: All of you...\Don't do anything stupid.\We're done for!\He's using Howl?\Damn it!\Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away! response:	You should be grateful to our leader
context: Don't do anything stupid.\We're done for!\He's using Howl?\Damn it!\Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader response:	for being such a huge softie!
context: We're done for!\He's using Howl?\Damn it!\Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie! response:	What the daylights is going on?
context: He's using Howl?\Damn it!\Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie!\What the daylights is going on? response:	Voles!
context: Damn it!\Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie!\What the daylights is going on?\Voles! response:	Gather all the weapons and adventurers you can.
context: Why...\Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie!\What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can. response:	We must kill the floor boss.
context: Why is this happening?\You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie!\What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss. response:	Don't be stupid, Andromeda!
context: You'll get in Bell-sama's way, so I'm carrying you away!\You should be grateful to our leader\for being such a huge softie!\What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda! response:	That's not just a floor boss
context: You should be grateful to our leader\for being such a huge softie!\What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss response:	Our escape route...
context: for being such a huge softie!\What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route... response:	We have no way to leave this floor.
context: What the daylights is going on?\Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route...\We have no way to leave this floor. response:	Until we defeat it, we can't escape.
context: Voles!\Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape. response:	Damn it.
context: Gather all the weapons and adventurers you can.\We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it. response:	We're gonna go fight that monster!
context: We must kill the floor boss.\Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster! response:	Get everybody in town!
context: Don't be stupid, Andromeda!\That's not just a floor boss\Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster!\Get everybody in town! response:	Anybody who's too scared to fight will never be allowed back in this city!
context: That's not just a floor boss\Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city! response:	Show them your pride as an adventurer!
context: Our escape route...\We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer! response:	Withdraw! Quickly!
context: We have no way to leave this floor.\Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly! response:	Will o' Wisp!
context: Until we defeat it, we can't escape.\Damn it.\We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp! response:	Crap!
context: Damn it.\We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp!\Crap! response:	Thanks!
context: We're gonna go fight that monster!\Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp!\Crap!\Thanks! response:	I was right. He's no ordinary floor boss.
context: Get everybody in town!\Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp!\Crap!\Thanks!\I was right. He's no ordinary floor boss. response:	He could be a Level 5!
context: Anybody who's too scared to fight will never be allowed back in this city!\Show them your pride as an adventurer!\Withdraw! Quickly!\Will o' Wisp!\Crap!\Thanks!\I was right. He's no ordinary floor boss.\He could be a Level 5! response:	Lion. Reinforcements are here.
