context: I felt like such a fool for not noticing until now. response:	For example, the number of piercings they each had, and the way they talked.
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked. response:	Nana and Ren were so much alike.
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike. response:	It gave me a sense of the deep history they had together.
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together. response:	When I was darkness at that time
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time response:	With trembling lips
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: I felt like such a fool for not noticing until now.\For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: For example, the number of piercings they each had, and the way they talked.\Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: Nana and Ren were so much alike.\It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: It gave me a sense of the deep history they had together.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	What is that padlock you're always wearing?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What is that padlock you're always wearing? response:	I can't take it off because I lost the key, he says.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says. response:	I'm wondering, maybe Nana has the key to Ren's padlock.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock. response:	Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend, response:	I took out all the music magazines and fan-club notices I had kept
context: I wanna need your love\I'm a broken rose\I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept response:	and read them thoroughly, over and over.
context: I'm a broken rose\I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over. response:	I was stunned to realize how I had just been
context: I wanna need your love\What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been response:	skimming through the articles until now.
context: What is that padlock you're always wearing?\I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now. response:	I'm clearly the type who only cares to read what I'm interested in.
context: I can't take it off because I lost the key, he says.\I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in. response:	In fact, right now, my mind is full of Nana and Ren,
context: I'm wondering, maybe Nana has the key to Ren's padlock.\Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren, response:	and I can barely think of anything else.
context: Ever since I found out that Ren of Trapnest is Nana's ex-boyfriend,\I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else. response:	Although I'm also purposely making an effort not to think of anything else.
context: I took out all the music magazines and fan-club notices I had kept\and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else. response:	The other thing is, if I should find a new boyfriend,
context: and read them thoroughly, over and over.\I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend, response:	I'm sure I'll stop thinking about Shoji.
context: I was stunned to realize how I had just been\skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji. response:	It would be nice for such a day to come soon.
context: skimming through the articles until now.\I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon. response:	Hey, are you ready?
context: I'm clearly the type who only cares to read what I'm interested in.\In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready? response:	Shall we get going?
context: In fact, right now, my mind is full of Nana and Ren,\and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going? response:	Mhm.
context: and I can barely think of anything else.\Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going?\Mhm. response:	Hey... hey, Nana.
context: Although I'm also purposely making an effort not to think of anything else.\The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going?\Mhm.\Hey... hey, Nana. response:	Aren't you getting changed?
context: The other thing is, if I should find a new boyfriend,\I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going?\Mhm.\Hey... hey, Nana.\Aren't you getting changed? response:	Why?
context: I'm sure I'll stop thinking about Shoji.\It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going?\Mhm.\Hey... hey, Nana.\Aren't you getting changed?\Why? response:	Are you going to the live concert dressed like that?
context: It would be nice for such a day to come soon.\Hey, are you ready?\Shall we get going?\Mhm.\Hey... hey, Nana.\Aren't you getting changed?\Why?\Are you going to the live concert dressed like that? response:	It's part of our overnight journey.
context: Hey, are you ready?\Shall we get going?\Mhm.\Hey... hey, Nana.\Aren't you getting changed?\Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey. response:	The more comfortable the outfit, the better, right?
context: Shall we get going?\Mhm.\Hey... hey, Nana.\Aren't you getting changed?\Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right? response:	Say, aren't these nice?
context: Mhm.\Hey... hey, Nana.\Aren't you getting changed?\Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice? response:	Y-Yes, but we've been looking forward to this concert
context: Hey... hey, Nana.\Aren't you getting changed?\Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert response:	so shouldn't we dress up a bit?
context: Aren't you getting changed?\Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit? response:	You're meeting Ren for the first time in two years!
context: Why?\Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years! response:	You're the one who's been looking forward to this.
context: Are you going to the live concert dressed like that?\It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this. response:	Why should I also hafta dress up?
context: It's part of our overnight journey.\The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up? response:	It's only a Trapnest concert.
context: The more comfortable the outfit, the better, right?\Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert. response:	First of all, if she wears those sunglasses,
