context: When we were kids, there was a time that Manaka and I got lost. response:	We had gone to the outskirts of the village,
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village, response:	into the outer sea to look for coral,
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral, response:	and gotten so wrapped up that we couldn't find the way home.
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home. response:	Just as we got hungry, tired of walking,
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking, response:	and on the verge of tears...
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears... response:	The one who appeared in front of us
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us response:	was Hikari.
context: When we were kids, there was a time that Manaka and I got lost.\We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us\was Hikari. response:	Without saying a word,
context: We had gone to the outskirts of the village,\into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us\was Hikari.\Without saying a word, response:	Hikari just kept pulling on our hands.
context: into the outer sea to look for coral,\and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us\was Hikari.\Without saying a word,\Hikari just kept pulling on our hands. response:	Even now, I clearly remember his eyes focused straight
context: and gotten so wrapped up that we couldn't find the way home.\Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us\was Hikari.\Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight response:	in front of him and the feeling of him holding my hand.
context: Just as we got hungry, tired of walking,\and on the verge of tears...\The one who appeared in front of us\was Hikari.\Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand. response:	So...
context: and on the verge of tears...\The one who appeared in front of us\was Hikari.\Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So... response:	I don't think I was too surprised when I heard
context: The one who appeared in front of us\was Hikari.\Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard response:	that Hikari had found Manaka.
context: was Hikari.\Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard\that Hikari had found Manaka. response:	I think I knew somewhere in my heart that it would happen.
context: Without saying a word,\Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen. response:	Because I thought somewhere in my heart
context: Hikari just kept pulling on our hands.\Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart response:	that if someone were able to do that, it'd only be Hikari.
context: Even now, I clearly remember his eyes focused straight\in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari. response:	Episode Nineteen: The Lost, Lost Little...
context: in front of him and the feeling of him holding my hand.\So...\I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little... response:	Right...
context: So...\I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right... response:	At this rate, taking care of her here should be fine.
context: I don't think I was too surprised when I heard\that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine. response:	Really?!
context: that Hikari had found Manaka.\I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine.\Really?! response:	Hikari!
context: I think I knew somewhere in my heart that it would happen.\Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine.\Really?!\Hikari! response:	Well, we've been examining her since yesterday,
context: Because I thought somewhere in my heart\that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine.\Really?!\Hikari!\Well, we've been examining her since yesterday, response:	and I'd have to say that she's pretty healthy.
context: that if someone were able to do that, it'd only be Hikari.\Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine.\Really?!\Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy. response:	There's nothing wrong with her brain waves, either,
context: Episode Nineteen: The Lost, Lost Little...\Right...\At this rate, taking care of her here should be fine.\Really?!\Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either, response:	and judging from you two who have already woken up,
context: Right...\At this rate, taking care of her here should be fine.\Really?!\Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up, response:	she should wake up soon.
context: At this rate, taking care of her here should be fine.\Really?!\Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon. response:	All right!
context: Really?!\Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon.\All right! response:	I told you, Akari!
context: Hikari!\Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon.\All right!\I told you, Akari! response:	There's nothing to worry about.
context: Well, we've been examining her since yesterday,\and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon.\All right!\I told you, Akari!\There's nothing to worry about. response:	And her Ena may grow back.
context: and I'd have to say that she's pretty healthy.\There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon.\All right!\I told you, Akari!\There's nothing to worry about.\And her Ena may grow back. response:	Anyway, I'm just glad that Manaka's okay.
context: There's nothing wrong with her brain waves, either,\and judging from you two who have already woken up,\she should wake up soon.\All right!\I told you, Akari!\There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay. response:	You think that, too, right?
context: and judging from you two who have already woken up,\she should wake up soon.\All right!\I told you, Akari!\There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right? response:	Ow!
context: she should wake up soon.\All right!\I told you, Akari!\There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow! response:	Akira!
context: All right!\I told you, Akari!\There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow!\Akira! response:	Y-You little... Oh.
context: I told you, Akari!\There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow!\Akira!\Y-You little... Oh. response:	Doctor, Chisaki, thanks.
context: There's nothing to worry about.\And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow!\Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks. response:	Hold it!
context: And her Ena may grow back.\Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow!\Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it! response:	So lively... how nice.
context: Anyway, I'm just glad that Manaka's okay.\You think that, too, right?\Ow!\Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it!\So lively... how nice. response:	Kancho!
context: You think that, too, right?\Ow!\Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it!\So lively... how nice.\Kancho! response:	You fool! Like I'd keep falling for the same attack!
context: Ow!\Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it!\So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack! response:	At this rate, she won't be able to stay asleep either.
context: Akira!\Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it!\So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either. response:	Special move: kancho reversal!
context: Y-You little... Oh.\Doctor, Chisaki, thanks.\Hold it!\So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal! response:	This is so embarrassing...
context: Doctor, Chisaki, thanks.\Hold it!\So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing... response:	Th-This is...
context: Hold it!\So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing...\Th-This is... response:	Seriously...
context: So lively... how nice.\Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing...\Th-This is...\Seriously... response:	Kancho reversal reversal!
context: Kancho!\You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing...\Th-This is...\Seriously...\Kancho reversal reversal! response:	Hikari... Must be really happy that he found Manaka.
context: You fool! Like I'd keep falling for the same attack!\At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing...\Th-This is...\Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka. response:	Thank you very much.
context: At this rate, she won't be able to stay asleep either.\Special move: kancho reversal!\This is so embarrassing...\Th-This is...\Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much. response:	Hiradaira-kun,
context: Special move: kancho reversal!\This is so embarrassing...\Th-This is...\Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun, response:	you can just have your self-study log in to me by tomorrow morning.
context: This is so embarrassing...\Th-This is...\Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning. response:	Yes, sir.
context: Th-This is...\Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir. response:	This is the first time I've seen you in your nurse outfit.
context: Seriously...\Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit. response:	It looks good on you.
context: Kancho reversal reversal!\Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you. response:	I almost didn't recognize you.
context: Hikari... Must be really happy that he found Manaka.\Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you. response:	I still haven't gotten used to it.
context: Thank you very much.\Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it. response:	Right now, it just feels like I'm just wearing the outfit.
context: Hiradaira-kun,\you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit. response:	Since you're here, want to have some tea?
context: you can just have your self-study log in to me by tomorrow morning.\Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea? response:	I will, thank you.
context: Yes, sir.\This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you. response:	Hey...
context: This is the first time I've seen you in your nurse outfit.\It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you.\Hey... response:	Manaka,
context: It looks good on you.\I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you.\Hey...\Manaka, response:	hurry and wake up.
context: I almost didn't recognize you.\I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you.\Hey...\Manaka,\hurry and wake up. response:	The Ofunehiki...
context: I still haven't gotten used to it.\Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you.\Hey...\Manaka,\hurry and wake up.\The Ofunehiki... response:	Both Dad and Uroko-sama said it'd be useless...
context: Right now, it just feels like I'm just wearing the outfit.\Since you're here, want to have some tea?\I will, thank you.\Hey...\Manaka,\hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless... response:	But I was hoping for something the whole time.
context: Since you're here, want to have some tea?\I will, thank you.\Hey...\Manaka,\hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time. response:	Hoping that something would happen,
context: I will, thank you.\Hey...\Manaka,\hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen, response:	wanting something to happen.
context: Hey...\Manaka,\hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen. response:	And then something like that ended up happening...
context: Manaka,\hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening... response:	Did you save Akari back there?
context: hurry and wake up.\The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there? response:	What happened back then?
context: The Ofunehiki...\Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there?\What happened back then? response:	You said that you had something
context: Both Dad and Uroko-sama said it'd be useless...\But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there?\What happened back then?\You said that you had something response:	to tell me after the Ofunehiki was over, didn't you?
context: But I was hoping for something the whole time.\Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there?\What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you? response:	At the time, no matter how far I reached for you,
context: Hoping that something would happen,\wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there?\What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you, response:	I couldn't reach you at all.
context: wanting something to happen.\And then something like that ended up happening...\Did you save Akari back there?\What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all. response:	But now even if you want me to,
context: And then something like that ended up happening...\Did you save Akari back there?\What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to, response:	I'll never let go.
context: Did you save Akari back there?\What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to,\I'll never let go. response:	I see...
context: What happened back then?\You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to,\I'll never let go.\I see... response:	Miuna-chan also likes Hikari.
context: You said that you had something\to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to,\I'll never let go.\I see...\Miuna-chan also likes Hikari. response:	How cute...
context: to tell me after the Ofunehiki was over, didn't you?\At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to,\I'll never let go.\I see...\Miuna-chan also likes Hikari.\How cute... response:	Putting her all into caring for him,
context: At the time, no matter how far I reached for you,\I couldn't reach you at all.\But now even if you want me to,\I'll never let go.\I see...\Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him, response:	but not being able to take the next step...
context: I couldn't reach you at all.\But now even if you want me to,\I'll never let go.\I see...\Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him,\but not being able to take the next step... response:	I always just thought of her as a child,
context: But now even if you want me to,\I'll never let go.\I see...\Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child, response:	but that's right...
