context: I can't take the sun... response:	Looks like we're in the Zuland Plains.
context: I can't take the sun...\Looks like we're in the Zuland Plains. response:	Um, we should see it soon.
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon. response:	Oh, there!
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there! response:	Wow! It's Mt. Fuji!
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji! response:	Huh? Where?
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji!\Huh? Where? response:	It's the spirit mountain of Fuji!
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji! response:	It really is huge!
context: I can't take the sun...\Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji!\It really is huge! response:	Look!
context: Looks like we're in the Zuland Plains.\Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji!\It really is huge!\Look! response:	There's something over there that looks like a cow!
context: Um, we should see it soon.\Oh, there!\Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji!\It really is huge!\Look!\There's something over there that looks like a cow! response:	Really? Where?
context: Oh, there!\Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji!\It really is huge!\Look!\There's something over there that looks like a cow!\Really? Where? response:	Ah, I think that's a green elk herd.
context: Wow! It's Mt. Fuji!\Huh? Where?\It's the spirit mountain of Fuji!\It really is huge!\Look!\There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd. response:	Are they dangerous?
context: Huh? Where?\It's the spirit mountain of Fuji!\It really is huge!\Look!\There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous? response:	We'll be fine.
context: It's the spirit mountain of Fuji!\It really is huge!\Look!\There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine. response:	There's some distance between us, and they're said to be calm.
context: It really is huge!\Look!\There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm. response:	They're so cute!
context: Look!\There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute! response:	They really look just like cows.
context: There's something over there that looks like a cow!\Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows. response:	I've heard they're delicious.
context: Really? Where?\Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows.\I've heard they're delicious. response:	The Midday Vampire
context: Ah, I think that's a green elk herd.\Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows.\I've heard they're delicious.\The Midday Vampire response:	The Midday Vampire.
context: Are they dangerous?\We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows.\I've heard they're delicious.\The Midday Vampire\The Midday Vampire. response:	The path here seems to be curving a little.
context: We'll be fine.\There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows.\I've heard they're delicious.\The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little. response:	It runs along the coast.
context: There's some distance between us, and they're said to be calm.\They're so cute!\They really look just like cows.\I've heard they're delicious.\The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast. response:	There's so much grass, I can't see the ocean at all.
context: They're so cute!\They really look just like cows.\I've heard they're delicious.\The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all. response:	But you can kind of smell the salt air, can't you?
context: They really look just like cows.\I've heard they're delicious.\The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you? response:	I'm not sure, honestly.
context: I've heard they're delicious.\The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly. response:	Hey, didn't Shiroe say this road was...
context: The Midday Vampire\The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was... response:	The East Sea Road.
context: The Midday Vampire.\The path here seems to be curving a little.\It runs along the coast.\There's so much grass, I can't see the ocean at all.\But you can kind of smell the salt air, can't you?\I'm not sure, honestly.\Hey, didn't Shiroe say this road was...\The East Sea Road. response:	That's what this used to be called.
