context: So this is the city of Tokyo... response:	What a beautiful place.
context: So this is the city of Tokyo...\What a beautiful place. response:	My Talent Is Being a Scarecrow
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow response:	I was sure the place I'm staying was right around here,
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here, response:	but I don't see a building that looks like it...
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it... response:	Hey, look.
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look. response:	That girl has chicks on her head.
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head. response:	How cute!
context: So this is the city of Tokyo...\What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head.\How cute! response:	Tokyo has so many buildings and train tracks, it's like a maze...
context: What a beautiful place.\My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze... response:	What's the matter, miss?
context: My Talent Is Being a Scarecrow\I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss? response:	Are you lost?
context: I was sure the place I'm staying was right around here,\but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost? response:	There are a lot of dead-end streets in this area.
context: but I don't see a building that looks like it...\Hey, look.\That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area. response:	Wh-Wh-Wh-What should I do?
context: Hey, look.\That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do? response:	That's a big bag. Did you just move to Tokyo?
context: That girl has chicks on her head.\How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo? response:	I-I...
context: How cute!\Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I... response:	Are you a student? Is the place you're heading to near here?
context: Tokyo has so many buildings and train tracks, it's like a maze...\What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here? response:	Wh-Which question should I answer first?
context: What's the matter, miss?\Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first? response:	Oh, by the way, that restaurant has great Russian cuisine.
context: Are you lost?\There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine. response:	Come to think of it, when my daughter came here yesterday,
context: There are a lot of dead-end streets in this area.\Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday, response:	No, maybe I should introduce myself first...
context: Wh-Wh-Wh-What should I do?\That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first... response:	she got lost and had a pretty rough time.
context: That's a big bag. Did you just move to Tokyo?\I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time. response:	I'd better not say anything that would offend someone from Tokyo...
context: I-I...\Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo... response:	A scarecrow?
context: Are you a student? Is the place you're heading to near here?\Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow? response:	Once again, I wasn't able to speak well.
context: Wh-Which question should I answer first?\Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well. response:	I've always been bad at talking, so I've practiced a lot, but...
context: Oh, by the way, that restaurant has great Russian cuisine.\Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but... response:	Hello, tanukis, bunnies, birds!
context: Come to think of it, when my daughter came here yesterday,\No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds! response:	Which story should I read today?
context: No, maybe I should introduce myself first...\she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today? response:	Do you like Cinderella?
context: she got lost and had a pretty rough time.\I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella? response:	Animals sure do love you, Hina-chan.
