context: Lily, you saved my life. response:	I am glad I was able to protect your homeland...
context: Lily, you saved my life.\I am glad I was able to protect your homeland... response:	Thank you very much...
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much... response:	Black cat!
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\Black cat! response:	Lily!
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\Black cat!\Lily! response:	Prince...
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\Black cat!\Lily!\Prince... response:	Lily!
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\Black cat!\Lily!\Prince...\Lily! response:	Traitor.
context: Lily, you saved my life.\I am glad I was able to protect your homeland...\Thank you very much...\Black cat!\Lily!\Prince...\Lily!\Traitor. response:	In the end, you are one of the Fallen. Just an Exceed.
context: I am glad I was able to protect your homeland...\Thank you very much...\Black cat!\Lily!\Prince...\Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed. response:	You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.
context: Thank you very much...\Black cat!\Lily!\Prince...\Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him. response:	It's the other Erza!
context: Black cat!\Lily!\Prince...\Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza! response:	Her name is Knightwalker.
context: Lily!\Prince...\Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker. response:	Lily!
context: Prince...\Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker.\Lily! response:	How dare you!
context: Lily!\Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker.\Lily!\How dare you! response:	Dragon Sense!
