context: Government Bulletin response:	End Card Illustration: okama
context: Government Bulletin\End Card Illustration: okama response:	These days you love me no more
context: Government Bulletin\End Card Illustration: okama\These days you love me no more response:	nor am I still treasured by you
context: Government Bulletin\End Card Illustration: okama\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: Government Bulletin\End Card Illustration: okama\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: Government Bulletin\End Card Illustration: okama\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: Government Bulletin\End Card Illustration: okama\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: Government Bulletin\End Card Illustration: okama\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: End Card Illustration: okama\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	I'm yours
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours response:	I'm yours
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours response:	I'm yours
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours response:	and tries to hurt you with cruel words,
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words, response:	even if the world does not try to believe you
context: and, We will always be together\Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you response:	and places a crown of thorns upon your head,
context: Your hands as I held them were warm\and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head, response:	I can take your side, and yours alone
context: and tender\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone response:	I know your pain and loneliness
context: I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness response:	So everything that makes me whole
context: I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole response:	I'll give that to you now
context: I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now response:	Keep life going.
context: and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Keep life going. response:	For the sake of new lives to come,
