context: Sawako! response:	Good morning!
context: Sawako!\Good morning! response:	It's mid-December.
context: Sawako!\Good morning!\It's mid-December. response:	Ow.
context: Sawako!\Good morning!\It's mid-December.\Ow. response:	I'm glad.
context: Sawako!\Good morning!\It's mid-December.\Ow.\I'm glad. response:	Finals are over, and all that's left is the closing ceremony.
context: Sawako!\Good morning!\It's mid-December.\Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony. response:	I'm glad for Chizu.
context: Sawako!\Good morning!\It's mid-December.\Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu. response:	She looks better, now that she had a chance to meet Tohru.
context: Sawako!\Good morning!\It's mid-December.\Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru. response:	I guess it's thanks to Ryu for calling him.
context: Good morning!\It's mid-December.\Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him. response:	I later learned that Chizu-chan reluctantly had Ryu comfort her.
context: It's mid-December.\Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her. response:	Good, exams are over too.
context: Ow.\I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too. response:	Good, good.
context: I'm glad.\Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good. response:	Not good!
context: Finals are over, and all that's left is the closing ceremony.\I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good.\Not good! response:	This'll mean review sessions!
context: I'm glad for Chizu.\She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good.\Not good!\This'll mean review sessions! response:	Oh well, you have an excuse this time.
context: She looks better, now that she had a chance to meet Tohru.\I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good.\Not good!\This'll mean review sessions!\Oh well, you have an excuse this time. response:	Sawako even made me personalized study notes.
context: I guess it's thanks to Ryu for calling him.\I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good.\Not good!\This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes. response:	S-Sorry I wasn't helpful.
context: I later learned that Chizu-chan reluctantly had Ryu comfort her.\Good, exams are over too.\Good, good.\Not good!\This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful. response:	Why me?
context: Good, exams are over too.\Good, good.\Not good!\This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me? response:	Why you?
context: Good, good.\Not good!\This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me?\Why you? response:	Don't know.
context: Not good!\This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me?\Why you?\Don't know. response:	Don't the review sessions end before Christmas?
context: This'll mean review sessions!\Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me?\Why you?\Don't know.\Don't the review sessions end before Christmas? response:	Christmas?
context: Oh well, you have an excuse this time.\Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me?\Why you?\Don't know.\Don't the review sessions end before Christmas?\Christmas? response:	Oh, that festivity where couples incessantly show off their love for each other?
context: Sawako even made me personalized study notes.\S-Sorry I wasn't helpful.\Why me?\Why you?\Don't know.\Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other? response:	The party girl's being pissy.
context: S-Sorry I wasn't helpful.\Why me?\Why you?\Don't know.\Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy. response:	There's no school on Christmas Eve.
context: Why me?\Why you?\Don't know.\Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve. response:	How about all of us single people get together to do something for Christmas?
context: Why you?\Don't know.\Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas? response:	We were going to meet up with Ryu and Joe.
context: Don't know.\Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe. response:	Right?
context: Don't the review sessions end before Christmas?\Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right? response:	Yeah.
context: Christmas?\Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right?\Yeah. response:	Let's trade gifts and eat something good.
context: Oh, that festivity where couples incessantly show off their love for each other?\The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right?\Yeah.\Let's trade gifts and eat something good. response:	Eat?
context: The party girl's being pissy.\There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right?\Yeah.\Let's trade gifts and eat something good.\Eat? response:	It'll be a good way to chill out after reviews too.
context: There's no school on Christmas Eve.\How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right?\Yeah.\Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too. response:	Thank you, Kazehaya!
context: How about all of us single people get together to do something for Christmas?\We were going to meet up with Ryu and Joe.\Right?\Yeah.\Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya! response:	You're going to bring some chicks too, right?
context: We were going to meet up with Ryu and Joe.\Right?\Yeah.\Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right? response:	Truth or dare, yay!
context: Right?\Yeah.\Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay! response:	Denied.
context: Yeah.\Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay!\Denied. response:	C-Christmas!
context: Let's trade gifts and eat something good.\Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay!\Denied.\C-Christmas! response:	With everyone...
context: Eat?\It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay!\Denied.\C-Christmas!\With everyone... response:	Who's eligible to participate?
context: It'll be a good way to chill out after reviews too.\Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay!\Denied.\C-Christmas!\With everyone...\Who's eligible to participate? response:	Like I said, everyone.
context: Thank you, Kazehaya!\You're going to bring some chicks too, right?\Truth or dare, yay!\Denied.\C-Christmas!\With everyone...\Who's eligible to participate?\Like I said, everyone. response:	Is Sadako praying?
context: You're going to bring some chicks too, right?\Truth or dare, yay!\Denied.\C-Christmas!\With everyone...\Who's eligible to participate?\Like I said, everyone.\Is Sadako praying? response:	Everyone.
context: Truth or dare, yay!\Denied.\C-Christmas!\With everyone...\Who's eligible to participate?\Like I said, everyone.\Is Sadako praying?\Everyone. response:	You're bored this Christmas as well, aren't you?
context: Denied.\C-Christmas!\With everyone...\Who's eligible to participate?\Like I said, everyone.\Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you? response:	Really bored.
context: C-Christmas!\With everyone...\Who's eligible to participate?\Like I said, everyone.\Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you?\Really bored. response:	Everyone means everyone, Kuronuma.
context: With everyone...\Who's eligible to participate?\Like I said, everyone.\Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma. response:	Everyone.
context: Who's eligible to participate?\Like I said, everyone.\Is Sadako praying?\Everyone.\You're bored this Christmas as well, aren't you?\Really bored.\Everyone means everyone, Kuronuma.\Everyone. response:	This might be the first and last time I'll be able to spend Christmas with you and Chizu.
