context: Be gone, Cyverse! response:	The Knights of Hanoi's attacks have made it to the Cyverse...!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...! response:	But we're unable to fight while we're sealed!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed! response:	What's that?!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?! response:	Sorry for the wait!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait! response:	Your savior is here!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait!\Your savior is here! response:	Oh my, you sure did a good job getting yourselves trapped.
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped. response:	Being hated truely has its uses in times like this, yep!
context: Be gone, Cyverse!\The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep! response:	Looks like one else can so...
context: The Knights of Hanoi's attacks have made it to the Cyverse...!\But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so... response:	I'll just save all of you!
context: But we're unable to fight while we're sealed!\What's that?!\Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you! response:	Don't let him escape!
context: What's that?!\Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you!\Don't let him escape! response:	What are you going to do?!
context: Sorry for the wait!\Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you!\Don't let him escape!\What are you going to do?! response:	Here we go!
context: Your savior is here!\Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you!\Don't let him escape!\What are you going to do?!\Here we go! response:	What!?
context: Oh my, you sure did a good job getting yourselves trapped.\Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you!\Don't let him escape!\What are you going to do?!\Here we go!\What!? response:	He's severing the connection?!
context: Being hated truely has its uses in times like this, yep!\Looks like one else can so...\I'll just save all of you!\Don't let him escape!\What are you going to do?!\Here we go!\What!?\He's severing the connection?! response:	It can't be...he's planning to hide this place from outside world?!
context: Looks like one else can so...\I'll just save all of you!\Don't let him escape!\What are you going to do?!\Here we go!\What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?! response:	But if he does that he won't be able to return!
context: I'll just save all of you!\Don't let him escape!\What are you going to do?!\Here we go!\What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return! response:	Piece of cake!
context: Don't let him escape!\What are you going to do?!\Here we go!\What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake! response:	Search for his remains!
context: What are you going to do?!\Here we go!\What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake!\Search for his remains! response:	The only person who knows of the location of Cyverse now is that Ignis!
context: Here we go!\What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis! response:	Five Years Later...
context: What!?\He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later... response:	I attack with Link Slayer!
context: He's severing the connection?!\It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer! response:	Shooting Star Break!
context: It can't be...he's planning to hide this place from outside world?!\But if he does that he won't be able to return!\Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer!\Shooting Star Break! response:	Why you-!
context: But if he does that he won't be able to return!\Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer!\Shooting Star Break!\Why you-! response:	Why are you getting in the way of Hanoi!
context: Piece of cake!\Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer!\Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi! response:	Who the hell are you?!
context: Search for his remains!\The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer!\Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?! response:	Knights of Hanoi.
context: The only person who knows of the location of Cyverse now is that Ignis!\Five Years Later...\I attack with Link Slayer!\Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi. response:	Wherever you choose to run rampant I will appear!
context: Five Years Later...\I attack with Link Slayer!\Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear! response:	My name is...
context: I attack with Link Slayer!\Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is... response:	Playmaker!
context: Shooting Star Break!\Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is...\Playmaker! response:	Hey you...
context: Why you-!\Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is...\Playmaker!\Hey you... response:	Wake up.
context: Why are you getting in the way of Hanoi!\Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is...\Playmaker!\Hey you...\Wake up. response:	My name is Playmaker
context: Who the hell are you?!\Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is...\Playmaker!\Hey you...\Wake up.\My name is Playmaker response:	My name is Playmaker
context: Knights of Hanoi.\Wherever you choose to run rampant I will appear!\My name is...\Playmaker!\Hey you...\Wake up.\My name is Playmaker\My name is Playmaker response:	Woah! You were awake?!
context: Wherever you choose to run rampant I will appear!\My name is...\Playmaker!\Hey you...\Wake up.\My name is Playmaker\My name is Playmaker\Woah! You were awake?! response:	You're Fujuki, right?
context: My name is...\Playmaker!\Hey you...\Wake up.\My name is Playmaker\My name is Playmaker\Woah! You were awake?!\You're Fujuki, right? response:	Class ended a while ago...
context: Playmaker!\Hey you...\Wake up.\My name is Playmaker\My name is Playmaker\Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago... response:	Who are you again...?
context: Hey you...\Wake up.\My name is Playmaker\My name is Playmaker\Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago...\Who are you again...? response:	Come on!
context: Wake up.\My name is Playmaker\My name is Playmaker\Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago...\Who are you again...?\Come on! response:	School started a month ago you know!
context: My name is Playmaker\My name is Playmaker\Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago...\Who are you again...?\Come on!\School started a month ago you know! response:	You still haven't learned the names of your classmates?!
context: My name is Playmaker\Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago...\Who are you again...?\Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?! response:	You must not have many friends...right?
context: Woah! You were awake?!\You're Fujuki, right?\Class ended a while ago...\Who are you again...?\Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right? response:	Thanks for noticing.
context: You're Fujuki, right?\Class ended a while ago...\Who are you again...?\Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing. response:	My name is Shima Naoki.
context: Class ended a while ago...\Who are you again...?\Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki. response:	Hey, do you have anything to say about this?
context: Who are you again...?\Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this? response:	No, not really.
context: Come on!\School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really. response:	How about this then!
context: School started a month ago you know!\You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really.\How about this then! response:	Oh, that.
context: You still haven't learned the names of your classmates?!\You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really.\How about this then!\Oh, that. response:	The new Duel Disk that SOL Technologies developed?
context: You must not have many friends...right?\Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really.\How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed? response:	So you did notice!
context: Thanks for noticing.\My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really.\How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice! response:	Your Duel Disk is an older version that needs cards, huh?
context: My name is Shima Naoki.\Hey, do you have anything to say about this?\No, not really.\How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh? response:	Mine has an AI installed that helps me during Duels!
context: Hey, do you have anything to say about this?\No, not really.\How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels! response:	Good day to you.
context: No, not really.\How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you. response:	Yeah, hey there.
context: How about this then!\Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there. response:	This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!
context: Oh, that.\The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format! response:	It even has access to the Virtual Reality Network Space, Link VRAINS!
context: The new Duel Disk that SOL Technologies developed?\So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!\It even has access to the Virtual Reality Network Space, Link VRAINS! response:	See, just like this!
context: So you did notice!\Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!\It even has access to the Virtual Reality Network Space, Link VRAINS!\See, just like this! response:	Then have you gone to Link VRAINS?
context: Your Duel Disk is an older version that needs cards, huh?\Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!\It even has access to the Virtual Reality Network Space, Link VRAINS!\See, just like this!\Then have you gone to Link VRAINS? response:	Idiot!
context: Mine has an AI installed that helps me during Duels!\Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!\It even has access to the Virtual Reality Network Space, Link VRAINS!\See, just like this!\Then have you gone to Link VRAINS?\Idiot! response:	Idiot is a prohibited word.
context: Good day to you.\Yeah, hey there.\This AI can directly connect to SOL Technology's Cloud and allows you to use cards in data format!\It even has access to the Virtual Reality Network Space, Link VRAINS!\See, just like this!\Then have you gone to Link VRAINS?\Idiot!\Idiot is a prohibited word. response:	That's a sacred place where only the greatest of veteran Duelists gather!
