context: I have a slight concern. response:	I would like to take a small number from our forces to eliminate it.
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it. response:	You won't have any need of me?
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me? response:	Emilia-sama, head to safety in the carriage.
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage. response:	Do not release the children's hands.
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands. response:	You truly are master and servant.
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant. response:	Your eyes look just like his.
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his. response:	Wilhelm-san, I
context: I have a slight concern.\I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I response:	This cannot be...
context: I would like to take a small number from our forces to eliminate it.\You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I\This cannot be... response:	You cannot use such means, such tricks,
context: You won't have any need of me?\Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks, response:	to make light of me and of my devotion!
context: Emilia-sama, head to safety in the carriage.\Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion! response:	This is some crappy game where, once as you're caught, it's over.
context: Do not release the children's hands.\You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over. response:	We must be crazy to entrust our lives to it,
context: You truly are master and servant.\Your eyes look just like his.\Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it, response:	you and me both!
context: Your eyes look just like his.\Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both! response:	My body is slowly getting used to this.
context: Wilhelm-san, I\This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this. response:	Shall we speed up?
context: This cannot be...\You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this.\Shall we speed up? response:	Yeah! Don't worry, I'll keep up!
context: You cannot use such means, such tricks,\to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up! response:	Wow.
context: to make light of me and of my devotion!\This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow. response:	Impossible.
context: This is some crappy game where, once as you're caught, it's over.\We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow.\Impossible. response:	Impossible, impossible, impossible, impossible.
context: We must be crazy to entrust our lives to it,\you and me both!\My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow.\Impossible.\Impossible, impossible, impossible, impossible. response:	Impossible!
context: you and me both!\My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow.\Impossible.\Impossible, impossible, impossible, impossible.\Impossible! response:	Why? How can it be?
context: My body is slowly getting used to this.\Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow.\Impossible.\Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be? response:	I thought I was loved! I am loved!
context: Shall we speed up?\Yeah! Don't worry, I'll keep up!\Wow.\Impossible.\Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be?\I thought I was loved! I am loved! response:	By the witch, the witch, the witch, the witch.
context: Yeah! Don't worry, I'll keep up!\Wow.\Impossible.\Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch. response:	The witch!
context: Wow.\Impossible.\Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch! response:	It's time that I killed you for real!
context: Impossible.\Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real! response:	Al Clauseria!
context: Impossible, impossible, impossible, impossible.\Impossible!\Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real!\Al Clauseria! response:	I will not let you do that.
context: Impossible!\Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real!\Al Clauseria!\I will not let you do that. response:	Ul Dona!
context: Why? How can it be?\I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real!\Al Clauseria!\I will not let you do that.\Ul Dona! response:	Burn, fighting spirit! Howl, magic ball!
