context: That Sunday... I... response:	What made you want to come to the park all of a sudden, Emi?
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi? response:	Come on down, it's dangerous.
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous. response:	I'm going to be a pianist!
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist! response:	At the top of the jungle gym,
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym, response:	I chose a future as a pianist.
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist. response:	I abandoned all my other infinite possibilities, and chose that one.
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one. response:	Come back! Come back!
context: That Sunday... I...\What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back! response:	Now, now, where are your manners?
context: What made you want to come to the park all of a sudden, Emi?\Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners? response:	How do you do? I'm Yuriko Ochiai.
context: Come on down, it's dangerous.\I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai. response:	What's your name?
context: I'm going to be a pianist!\At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name? response:	Um...
context: At the top of the jungle gym,\I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name?\Um... response:	What is it?
context: I chose a future as a pianist.\I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name?\Um...\What is it? response:	So that people who hear me will think, I want to be a pianist, too...
context: I abandoned all my other infinite possibilities, and chose that one.\Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name?\Um...\What is it?\So that people who hear me will think, I want to be a pianist, too... response:	Will I be able to play the piano like that, too?
context: Come back! Come back!\Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name?\Um...\What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too? response:	Come back!
context: Now, now, where are your manners?\How do you do? I'm Yuriko Ochiai.\What's your name?\Um...\What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back! response:	If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.
context: How do you do? I'm Yuriko Ochiai.\What's your name?\Um...\What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you. response:	The piano will listen to you.
context: What's your name?\Um...\What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you. response:	Can I play it?
context: Um...\What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it? response:	Of course.
context: What is it?\So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it?\Of course. response:	That's the only kind of sound I can make...
context: So that people who hear me will think, I want to be a pianist, too...\Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it?\Of course.\That's the only kind of sound I can make... response:	But the sounds that boy made
context: Will I be able to play the piano like that, too?\Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it?\Of course.\That's the only kind of sound I can make...\But the sounds that boy made response:	were just like sunflowers...
context: Come back!\If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it?\Of course.\That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers... response:	Kousei Arima, who I yearned to be like.
context: If you wish for it hard enough, Emi-chan, I'm sure that the music will respond to you.\The piano will listen to you.\Can I play it?\Of course.\That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like. response:	Every great performer played for the first time at some point.
context: The piano will listen to you.\Can I play it?\Of course.\That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point. response:	Even Mozart, even Beethoven.
context: Can I play it?\Of course.\That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven. response:	Even the person who made you think, I want to become a pianist.
context: Of course.\That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist. response:	What will you pour into your piano playing?
context: That's the only kind of sound I can make...\But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing? response:	What wish will you ask it to grant you?
context: But the sounds that boy made\were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you? response:	I...
context: were just like sunflowers...\Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you?\I... response:	I want to play the piano like that boy.
context: Kousei Arima, who I yearned to be like.\Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you?\I...\I want to play the piano like that boy. response:	I want to stand on the same stage as him.
context: Every great performer played for the first time at some point.\Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you?\I...\I want to play the piano like that boy.\I want to stand on the same stage as him. response:	That way, I just know...
context: Even Mozart, even Beethoven.\Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you?\I...\I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know... response:	That I'll be able to see what he sees.
context: Even the person who made you think, I want to become a pianist.\What will you pour into your piano playing?\What wish will you ask it to grant you?\I...\I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees. response:	Let it ring... Let it ring... My piano!
context: What will you pour into your piano playing?\What wish will you ask it to grant you?\I...\I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano! response:	Let it ring.
context: What wish will you ask it to grant you?\I...\I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring. response:	Is that girl for real?
context: I...\I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real? response:	That was insane.
context: I want to play the piano like that boy.\I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real?\That was insane. response:	Entrance to Greenrooms
context: I want to stand on the same stage as him.\That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real?\That was insane.\Entrance to Greenrooms response:	Good job. You were amazing!
context: That way, I just know...\That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real?\That was insane.\Entrance to Greenrooms\Good job. You were amazing! response:	What? What? You confessing your love?
context: That I'll be able to see what he sees.\Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real?\That was insane.\Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love? response:	Sorry.
context: Let it ring... Let it ring... My piano!\Let it ring.\Is that girl for real?\That was insane.\Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love?\Sorry. response:	I'm gonna go change.
context: Let it ring.\Is that girl for real?\That was insane.\Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love?\Sorry.\I'm gonna go change. response:	Before you catch a cold.
context: Is that girl for real?\That was insane.\Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love?\Sorry.\I'm gonna go change.\Before you catch a cold. response:	Just spill it already!
context: That was insane.\Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love?\Sorry.\I'm gonna go change.\Before you catch a cold.\Just spill it already! response:	Right now...there's no need for words. Because I poured all my feelings into the piano.
context: Entrance to Greenrooms\Good job. You were amazing!\What? What? You confessing your love?\Sorry.\I'm gonna go change.\Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano. response:	There will now be an intermission. Judging will resume in fifteen minutes.
context: Good job. You were amazing!\What? What? You confessing your love?\Sorry.\I'm gonna go change.\Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes. response:	Did you see that girl who just left?
context: What? What? You confessing your love?\Sorry.\I'm gonna go change.\Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left? response:	What a pile of medication.
context: Sorry.\I'm gonna go change.\Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication. response:	Huh?
context: I'm gonna go change.\Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication.\Huh? response:	Yo, just spotted a hot girl!
context: Before you catch a cold.\Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication.\Huh?\Yo, just spotted a hot girl! response:	What's the matter, Tsubaki-chan?
context: Just spill it already!\Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication.\Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan? response:	The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!
context: Right now...there's no need for words. Because I poured all my feelings into the piano.\There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication.\Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches! response:	It's not like you're the one who'll be playing, Tsubaki-chan,
context: There will now be an intermission. Judging will resume in fifteen minutes.\Did you see that girl who just left?\What a pile of medication.\Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan, response:	so just sit back and relax!
context: Did you see that girl who just left?\What a pile of medication.\Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax! response:	I know, but is Kousei gonna be all right?
context: What a pile of medication.\Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right? response:	Just spotted an angelic older woman!
context: Huh?\Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman! response:	He could be quaking in his shoes after that amazing performance.
context: Yo, just spotted a hot girl!\What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance. response:	And that's so not happening.
context: What's the matter, Tsubaki-chan?\The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening. response:	Cause you know what, he's a man!
