context: I'm Sarashina Ruka, and I'll be joining you as of today. response:	S-Seriously?
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously? response:	Dun
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun response:	Gloom
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun\Gloom response:	Snap
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun\Gloom\Snap response:	Why are you here?!
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun\Gloom\Snap\Why are you here?! response:	I told you to be ready for a battle of endurance.
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun\Gloom\Snap\Why are you here?!\I told you to be ready for a battle of endurance. response:	Why are you getting so mad? I'm your girlfriend
context: I'm Sarashina Ruka, and I'll be joining you as of today.\S-Seriously?\Dun\Gloom\Snap\Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend response:	Sitting around won't close the gap with Chizuru-san. You live in the same building.
context: S-Seriously?\Dun\Gloom\Snap\Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building. response:	Meanwhile, your workplace is Chizuru-san free!
context: Dun\Gloom\Snap\Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free! response:	We can spend quality time together!
context: Gloom\Snap\Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together! response:	D-Do you have any intention of working?!
context: Snap\Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?! response:	Ouch! This is domestic violence!
context: Why are you here?!\I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence! response:	Also, being neighbors doesn't mean anything! We barely ever interact!
context: I told you to be ready for a battle of endurance.\Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact! response:	Boss, I'm being bullied!
context: Why are you getting so mad? I'm your girlfriend\Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied! response:	I demand you dock his pay!
context: Sitting around won't close the gap with Chizuru-san. You live in the same building.\Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay! response:	That way, he can't afford rentals.
context: Meanwhile, your workplace is Chizuru-san free!\We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals. response:	Okay. I'll trash his time card.
context: We can spend quality time together!\D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card. response:	She's got him wrapped around her finger!
