context: Hats and Underwear go on your Head!? response:	AM 2:00 - Night Before the Sports Meet
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet response:	Entrance
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance response:	Exit
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance\Exit response:	What're you doing out here?
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance\Exit\What're you doing out here? response:	Out for a late night stroll, huh?
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance\Exit\What're you doing out here?\Out for a late night stroll, huh? response:	Well, you can tell me all about why you're skulking
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance\Exit\What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking response:	around a middle school down at the station!
context: Hats and Underwear go on your Head!?\AM 2:00 - Night Before the Sports Meet\Entrance\Exit\What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station! response:	N-No, I'm just watching over my daughter!
context: AM 2:00 - Night Before the Sports Meet\Entrance\Exit\What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter! response:	Daddy! Daddy!
context: Entrance\Exit\What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy! response:	Daddy?
context: Exit\What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy? response:	Daddy.
context: What're you doing out here?\Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy?\Daddy. response:	He's really my dad!
context: Out for a late night stroll, huh?\Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy?\Daddy.\He's really my dad! response:	I'm really her dad.
context: Well, you can tell me all about why you're skulking\around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy?\Daddy.\He's really my dad!\I'm really her dad. response:	She doesn't look anything like him...I don't believe it.
context: around a middle school down at the station!\N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy?\Daddy.\He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it. response:	Always judging me on how I look...
context: N-No, I'm just watching over my daughter!\Daddy! Daddy!\Daddy?\Daddy.\He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look... response:	How long have you been here, daddy?
context: Daddy! Daddy!\Daddy?\Daddy.\He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy? response:	Futaba! You can't go out on your own this late at night!
context: Daddy?\Daddy.\He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night! response:	I-I'm sorry...but tomorrow's the sports meet,
context: Daddy.\He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet, response:	I was so excited I couldn't sit still!
context: He's really my dad!\I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still! response:	You come in too, daddy!
context: I'm really her dad.\She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy! response:	I wanted to do a final rehearsal.
context: She doesn't look anything like him...I don't believe it.\Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal. response:	R-Rehearsal?
context: Always judging me on how I look...\How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal? response:	Will you help?
context: How long have you been here, daddy?\Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal?\Will you help? response:	Yeah, I guess...sheesh.
context: Futaba! You can't go out on your own this late at night!\I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal?\Will you help?\Yeah, I guess...sheesh. response:	Entrance
context: I-I'm sorry...but tomorrow's the sports meet,\I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal?\Will you help?\Yeah, I guess...sheesh.\Entrance response:	We're starting with the opening ceremony?
context: I was so excited I couldn't sit still!\You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal?\Will you help?\Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony? response:	Lead the pledge!
context: You come in too, daddy!\I wanted to do a final rehearsal.\R-Rehearsal?\Will you help?\Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony?\Lead the pledge! response:	Huh? Me?
context: I wanted to do a final rehearsal.\R-Rehearsal?\Will you help?\Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony?\Lead the pledge!\Huh? Me? response:	Yeah!
context: R-Rehearsal?\Will you help?\Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony?\Lead the pledge!\Huh? Me?\Yeah! response:	A-As athletes we pledge to be good sportsmen
context: Will you help?\Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony?\Lead the pledge!\Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen response:	and to compete fairly and honestly!
context: Yeah, I guess...sheesh.\Entrance\We're starting with the opening ceremony?\Lead the pledge!\Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly! response:	The principal's speech!
context: Entrance\We're starting with the opening ceremony?\Lead the pledge!\Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech! response:	I have to do that too?
context: We're starting with the opening ceremony?\Lead the pledge!\Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech!\I have to do that too? response:	Err...uhh...May today be a lucky day...
context: Lead the pledge!\Huh? Me?\Yeah!\A-As athletes we pledge to be good sportsmen\and to compete fairly and honestly!\The principal's speech!\I have to do that too?\Err...uhh...May today be a lucky day... response:	And uh...do your best everyone.
