context: I'm Kinoshita Kazuya, twenty years old, response:	and I'm a college student living by myself in Tokyo.
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo. response:	Fun fact: I have a girlfriend.
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend. response:	I have a girlfriend!
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend! response:	Sorry!
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry! response:	I've fallen in love with someone else! Let's break up, okay?
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay? response:	Let's break up, okay?
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay? response:	What?
context: I'm Kinoshita Kazuya, twenty years old,\and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What? response:	I got dumped!
context: and I'm a college student living by myself in Tokyo.\Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What?\I got dumped! response:	She was the first girlfriend I ever had...
context: Fun fact: I have a girlfriend.\I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What?\I got dumped!\She was the first girlfriend I ever had... response:	And she dumped me after just one month?
context: I have a girlfriend!\Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What?\I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month? response:	Tried to casually hold her hand
context: Sorry!\I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What?\I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand response:	Mami-chan...
context: I've fallen in love with someone else! Let's break up, okay?\Let's break up, okay?\What?\I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan... response:	I tried so many things to bring us closer.
context: Let's break up, okay?\What?\I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer. response:	All-nighter at a pub
context: What?\I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub response:	I should go catch the last train.
context: I got dumped!\She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train. response:	Oh, yeah! Nothing beats taking a train to get back home, huh?
context: She was the first girlfriend I ever had...\And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh? response:	hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh
context: And she dumped me after just one month?\Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh response:	She blocked me.
context: Tried to casually hold her hand\Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me. response:	Don't tell me...
context: Mami-chan...\I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me... response:	She's already moved on and gone all the way with the new guy?!
context: I tried so many things to bring us closer.\All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?! response:	Torment
context: All-nighter at a pub\I should go catch the last train.\Oh, yeah! Nothing beats taking a train to get back home, huh?\hYou are blocked from following @pyon-pyon210 and viewing @pyon-pyon210's Tweets.hhhhhhhhhhhhh\She blocked me.\Don't tell me...\She's already moved on and gone all the way with the new guy?!\Torment response:	This sucks!
