context: Four years ago... response:	Back when the darkness of night was a far bluer hue than now...
context: Four years ago...\Back when the darkness of night was a far bluer hue than now... response:	Hey, Odasaku.
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku. response:	Sorry, Sensei.
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei. response:	You're calling a cat Sensei?
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei? response:	Doesn't he look wise?
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise? response:	He gives up his seat when I have guests, too.
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too. response:	Anyway, you have to hear this, Odasaku!
context: Four years ago...\Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku! response:	There was a shootout today.
context: Back when the darkness of night was a far bluer hue than now...\Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today. response:	Oh?
context: Hey, Odasaku.\Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh? response:	I was trading shots in a warehouse block
context: Sorry, Sensei.\You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh?\I was trading shots in a warehouse block response:	with an energetic crew armed with a machine-gun equipped truck!
context: You're calling a cat Sensei?\Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck! response:	That's quite the weapon.
context: Doesn't he look wise?\He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon. response:	And what's with your new injuries?
context: He gives up his seat when I have guests, too.\Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries? response:	Is that from this shootout?
context: Anyway, you have to hear this, Odasaku!\There was a shootout today.\Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries?\Is that from this shootout? response:	then I tripped on a ditch because I was in such a hurry.
context: There was a shootout today.\Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry. response:	I see.
context: Oh?\I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see. response:	When you rush, it's hard to avoid that.
context: I was trading shots in a warehouse block\with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that. response:	Yes, it is.
context: with an energetic crew armed with a machine-gun equipped truck!\That's quite the weapon.\And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that.\Yes, it is. response:	His name is Dazai Osamu...
context: That's quite the weapon.\And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu... response:	An executive in the Port Mafia, a criminal organization.
context: And what's with your new injuries?\Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization. response:	By the way, as for the other guys,
context: Is that from this shootout?\then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys, response:	they ran away crying after I set a trap and roughed them up a little.
context: then I tripped on a ditch because I was in such a hurry.\I see.\When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little. response:	They're a pretty sorry bunch.
context: I see.\When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch. response:	Thanks to them, yet again I couldn't manage to die.
context: When you rush, it's hard to avoid that.\Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die. response:	There's a saying among the Port Mafia...
context: Yes, it is.\His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia... response:	The biggest misfortune for Dazai's enemies
context: His name is Dazai Osamu...\An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia...\The biggest misfortune for Dazai's enemies response:	is that they are Dazai's enemies.
context: An executive in the Port Mafia, a criminal organization.\By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia...\The biggest misfortune for Dazai's enemies\is that they are Dazai's enemies. response:	His list of deeds writ in darkness and blood
context: By the way, as for the other guys,\they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia...\The biggest misfortune for Dazai's enemies\is that they are Dazai's enemies.\His list of deeds writ in darkness and blood response:	is enough to make even those in the Mafia tremble.
context: they ran away crying after I set a trap and roughed them up a little.\They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia...\The biggest misfortune for Dazai's enemies\is that they are Dazai's enemies.\His list of deeds writ in darkness and blood\is enough to make even those in the Mafia tremble. response:	He was practically born to be one of them.
context: They're a pretty sorry bunch.\Thanks to them, yet again I couldn't manage to die.\There's a saying among the Port Mafia...\The biggest misfortune for Dazai's enemies\is that they are Dazai's enemies.\His list of deeds writ in darkness and blood\is enough to make even those in the Mafia tremble.\He was practically born to be one of them. response:	Oh, man!
