context: Gonna getcha, gonna getcha! response:	You're under arrest!
context: Gonna getcha, gonna getcha!\You're under arrest! response:	Today we're playing Cops and Robbers to finish out today's gym class.
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class. response:	Cops and Robbers A form of tag Some people are cops and some are robbers
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers response:	Okay, if we're found, I'll distract the cop
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop response:	and you free the prisoners while I've got her distracted.
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted. response:	Oh ho, having a secret meeting, are we?
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we? response:	Down you go!
context: Gonna getcha, gonna getcha!\You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go! response:	As if I'd let myself be arrested, dooofus!
context: You're under arrest!\Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go!\As if I'd let myself be arrested, dooofus! response:	Wh...What a jerk...
context: Today we're playing Cops and Robbers to finish out today's gym class.\Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go!\As if I'd let myself be arrested, dooofus!\Wh...What a jerk... response:	Go arrest Hitoha! Why're you chasing me?!
context: Cops and Robbers A form of tag Some people are cops and some are robbers\Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go!\As if I'd let myself be arrested, dooofus!\Wh...What a jerk...\Go arrest Hitoha! Why're you chasing me?! response:	'Cuz I love running!
context: Okay, if we're found, I'll distract the cop\and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go!\As if I'd let myself be arrested, dooofus!\Wh...What a jerk...\Go arrest Hitoha! Why're you chasing me?!\'Cuz I love running! response:	You're such a dope!
context: and you free the prisoners while I've got her distracted.\Oh ho, having a secret meeting, are we?\Down you go!\As if I'd let myself be arrested, dooofus!\Wh...What a jerk...\Go arrest Hitoha! Why're you chasing me?!\'Cuz I love running!\You're such a dope! response:	This is great!
