context: One Strike. response:	One strike...
context: One Strike.\One strike... response:	It's necessary to hit the enemy's vital point in one strike.
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike. response:	You suck.
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck. response:	All right.
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck.\All right. response:	Hey! What are you doing?
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck.\All right.\Hey! What are you doing? response:	Writing a letter to a friend.
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck.\All right.\Hey! What are you doing?\Writing a letter to a friend. response:	Load all the cargo from my country into hatch number three!
context: One Strike.\One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck.\All right.\Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three! response:	Damage anything, and you pay for it!
context: One strike...\It's necessary to hit the enemy's vital point in one strike.\You suck.\All right.\Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it! response:	Honestly...
context: It's necessary to hit the enemy's vital point in one strike.\You suck.\All right.\Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly... response:	Why must I direct the loading of cargo?
context: You suck.\All right.\Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo? response:	Cut it out.
context: All right.\Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo?\Cut it out. response:	Huh?
context: Hey! What are you doing?\Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo?\Cut it out.\Huh? response:	Your gaze is such a nuisance, I can't hear the voice of God.
context: Writing a letter to a friend.\Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo?\Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God. response:	Is that so? What a pious minister you are.
context: Load all the cargo from my country into hatch number three!\Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo?\Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are. response:	Then I'm sure you must love this verse...
context: Damage anything, and you pay for it!\Honestly...\Why must I direct the loading of cargo?\Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse... response:	Dust to dust.
context: Honestly...\Why must I direct the loading of cargo?\Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust. response:	Genesis 3:19.
context: Why must I direct the loading of cargo?\Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19. response:	While everyone else is scattered upon the land,
context: Cut it out.\Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land, response:	it's our duty to protect this ship.
context: Huh?\Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship. response:	Did you forget that?
context: Your gaze is such a nuisance, I can't hear the voice of God.\Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that? response:	Are you sure you aren't the one who has forgotten?
context: Is that so? What a pious minister you are.\Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten? response:	It is my sacred duty to pass judgment on sinners.
context: Then I'm sure you must love this verse...\Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners. response:	Guild Operative Nathaniel H.
context: Dust to dust.\Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H. response:	They will atone for their sins with their lives.
context: Genesis 3:19.\While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives. response:	Ability: The Scarlet Letter
context: While everyone else is scattered upon the land,\it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter response:	Or do you wish for atonement as well?
context: it's our duty to protect this ship.\Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well? response:	Guild Apprentice Margaret M.
context: Did you forget that?\Are you sure you aren't the one who has forgotten?\It is my sacred duty to pass judgment on sinners.\Guild Operative Nathaniel H.\They will atone for their sins with their lives.\Ability: The Scarlet Letter\Or do you wish for atonement as well?\Guild Apprentice Margaret M. response:	You aren't even worthy of polishing my shoes.
