context: nakushita yakusoku wa hoshi ni response:	Send the lost promises to the stars
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars response:	omoide wa tokenai
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai response:	My memories won't fade away
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away response:	yotsuba no clover sagashinagara kimi no kao
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao response:	I steal a glance at you as we look for four-leaf clovers,
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers, response:	chirari nusumi mite wa me o sorasu
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu response:	But then divert my eyes
context: nakushita yakusoku wa hoshi ni\Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes response:	yasashii ame wa furu watashitachi no ue ni
context: Send the lost promises to the stars\omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni response:	The gentle rain falls above our heads
context: omoide wa tokenai\My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads response:	surechigau hito no kazu dake dramatic ni naru no
context: My memories won't fade away\yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no response:	as it becomes as dramatic as the number of people passing by
context: yotsuba no clover sagashinagara kimi no kao\I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by response:	kowareta taisetsu na mono to
context: I steal a glance at you as we look for four-leaf clovers,\chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to response:	I wonder if we'll ever be able to
context: chirari nusumi mite wa me o sorasu\But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to response:	itsuka mata aeru hi ga kurukashira
context: But then divert my eyes\yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira response:	reunite with those precious things that were broken
context: yasashii ame wa furu watashitachi no ue ni\The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken response:	nokoshita kizuato ga kienai
context: The gentle rain falls above our heads\surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai response:	The scars that were left behind won't go away
context: surechigau hito no kazu dake dramatic ni naru no\as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away response:	sorezore no basho made
context: as it becomes as dramatic as the number of people passing by\kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made response:	Now we must depart
context: kowareta taisetsu na mono to\I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart response:	mou ikanakucha
context: I wonder if we'll ever be able to\itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha response:	To our own separate ways
context: itsuka mata aeru hi ga kurukashira\reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways response:	Separation!?
context: reunite with those precious things that were broken\nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\Separation!? response:	Finally Splitting!?
context: nokoshita kizuato ga kienai\The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\Separation!?\Finally Splitting!? response:	Special Report
context: The scars that were left behind won't go away\sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\Separation!?\Finally Splitting!?\Special Report response:	The Fujiwara Bros, Charisma in the World of Architecture
context: sorezore no basho made\Now we must depart\mou ikanakucha\To our own separate ways\Separation!?\Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture response:	A Melee at the Party Hall!?
context: Now we must depart\mou ikanakucha\To our own separate ways\Separation!?\Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!? response:	Oh, boy. Such a huge article...
context: mou ikanakucha\To our own separate ways\Separation!?\Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article... response:	As tall and as loud as they are...
context: To our own separate ways\Separation!?\Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are... response:	And with the outfits they're sporting...
context: Separation!?\Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting... response:	Even after they returned, it's been pretty crazy...
context: Finally Splitting!?\Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy... response:	Yeah.
context: Special Report\The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah. response:	The talks really went all the way from there...
context: The Fujiwara Bros, Charisma in the World of Architecture\A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there... response:	Everyone, gather around! We need to talk!
context: A Melee at the Party Hall!?\Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk! response:	Fujiwara Design is finished!
context: Oh, boy. Such a huge article...\As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished! response:	We're breaking up!
context: As tall and as loud as they are...\And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up! response:	We'll officially announce the splitting for the Tottori and Tokyo teams.
context: And with the outfits they're sporting...\Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams. response:	Please forgive how selfish we're being, and...
context: Even after they returned, it's been pretty crazy...\Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and... response:	Follow after us!
context: Yeah.\The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us! response:	Tottori, huh? That brings back memories...
context: The talks really went all the way from there...\Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories... response:	Team
context: Everyone, gather around! We need to talk!\Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories...\Team response:	Team
context: Fujiwara Design is finished!\We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories...\Team\Team response:	Team
context: We're breaking up!\We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories...\Team\Team\Team response:	Team
context: We'll officially announce the splitting for the Tottori and Tokyo teams.\Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories...\Team\Team\Team\Team response:	Team
context: Please forgive how selfish we're being, and...\Follow after us!\Tottori, huh? That brings back memories...\Team\Team\Team\Team\Team response:	Team
context: Follow after us!\Tottori, huh? That brings back memories...\Team\Team\Team\Team\Team\Team response:	Team
context: Tottori, huh? That brings back memories...\Team\Team\Team\Team\Team\Team\Team response:	Team
context: Team\Team\Team\Team\Team\Team\Team\Team response:	Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...
context: Team\Team\Team\Team\Team\Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but... response:	But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...
context: Team\Team\Team\Team\Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo... response:	Tanaka-san (B-Team) hhhHeading to Tottori
context: Team\Team\Team\Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori response:	I don't want to leave my family behind!
context: Team\Team\Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind! response:	Newlywed
context: Team\Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed response:	Newly-Built Home
context: Team\Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed\Newly-Built Home response:	In that case, one member from Tokyo team will automatically get sent to Tottori...
context: Team\Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori... response:	Um... Miwako-san.
context: Well, I bet the current A Team and B Team will split up between Tokyo and Tottori, but...\But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san. response:	So, who should we send?
context: But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...\Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send? response:	I'm a little cold, will you please hold me?
context: Tanaka-san (B-Team) hhhHeading to Tottori\I don't want to leave my family behind!\Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me? response:	Good morning.
context: I don't want to leave my family behind!\Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me?\Good morning. response:	Mayama, where did you go last night?
context: Newlywed\Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night? response:	With Rika-san?
context: Newly-Built Home\In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night?\With Rika-san? response:	I'm going to the storage, so if you have anything you want to put away, please take it out.
context: In that case, one member from Tokyo team will automatically get sent to Tottori...\Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night?\With Rika-san?\I'm going to the storage, so if you have anything you want to put away, please take it out. response:	Hey, you punk! What are you ignoring me for?
context: Um... Miwako-san.\So, who should we send?\I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night?\With Rika-san?\I'm going to the storage, so if you have anything you want to put away, please take it out.\Hey, you punk! What are you ignoring me for? response:	I won't fall for your provocations.
context: So, who should we send?\I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night?\With Rika-san?\I'm going to the storage, so if you have anything you want to put away, please take it out.\Hey, you punk! What are you ignoring me for?\I won't fall for your provocations. response:	Damn it, he's learned.
context: I'm a little cold, will you please hold me?\Good morning.\Mayama, where did you go last night?\With Rika-san?\I'm going to the storage, so if you have anything you want to put away, please take it out.\Hey, you punk! What are you ignoring me for?\I won't fall for your provocations.\Damn it, he's learned. response:	That's no fun. Have you grown up already?
context: Good morning.\Mayama, where did you go last night?\With Rika-san?\I'm going to the storage, so if you have anything you want to put away, please take it out.\Hey, you punk! What are you ignoring me for?\I won't fall for your provocations.\Damn it, he's learned.\That's no fun. Have you grown up already? response:	Actually, we already know everything due to Asai-san's fax.
