context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time. response:	Good story...
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story... response:	- Farewell. - Wonderful!
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful! response:	Farewell, everyone.
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful!\Farewell, everyone. response:	Where's A-Li?
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li? response:	Where's A-Li?
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li?\Where's A-Li? response:	Why would he suddenly be in a brothel?
context: The one before him yelled out, Oh no!\If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel? response:	Mister, do you know where the brothel is in this town?
context: If you'd like to know what happens next, come listen again next time.\Good story...\- Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town? response:	It is in that building.
context: Good story...\- Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building. response:	Thank you.
context: - Farewell. - Wonderful!\Farewell, everyone.\Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building.\Thank you. response:	Such a proper-looking gentleman turns out to actually be a lecherous devil.
context: Farewell, everyone.\Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil. response:	How desperate and bitter this world is!
context: Where's A-Li?\Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is! response:	The tale told by the storyteller was quite good.
context: Where's A-Li?\Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good. response:	You seemed quite interested in the beginning.
context: Why would he suddenly be in a brothel?\Mister, do you know where the brothel is in this town?\It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning. response:	So how come you ended up following them into that building?
context: Mister, do you know where the brothel is in this town?\It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building? response:	There was a fat man who tried to kiss a young lady in public on the street.
context: It is in that building.\Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street. response:	The lady wouldn't let the fat man kiss her.
context: Thank you.\Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her. response:	The fat man was angry that he couldn't kiss her
context: Such a proper-looking gentleman turns out to actually be a lecherous devil.\How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her response:	and called a few of his men to surround the lady.
context: How desperate and bitter this world is!\The tale told by the storyteller was quite good.\You seemed quite interested in the beginning.\So how come you ended up following them into that building?\There was a fat man who tried to kiss a young lady in public on the street.\The lady wouldn't let the fat man kiss her.\The fat man was angry that he couldn't kiss her\and called a few of his men to surround the lady. response:	I rushed downstairs to save her but they were already gone.
