context: Blooming Wildflower response:	Bakery Cowbell
context: Blooming Wildflower\Bakery Cowbell response:	Report on the Investigation of Tsutsugami Gai
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai response:	Blockade Zone
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone response:	Shu will hold them back with Inori's Void.
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void. response:	During that time, we'll seize the second truck.
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck. response:	The target will be at the attack point in six,
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six, response:	five,
context: Blooming Wildflower\Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six,\five, response:	four,
context: Bakery Cowbell\Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six,\five,\four, response:	three,
context: Report on the Investigation of Tsutsugami Gai\Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six,\five,\four,\three, response:	two,
context: Blockade Zone\Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six,\five,\four,\three,\two, response:	one...
context: Shu will hold them back with Inori's Void.\During that time, we'll seize the second truck.\The target will be at the attack point in six,\five,\four,\three,\two,\one... response:	Go!
context: During that time, we'll seize the second truck.\The target will be at the attack point in six,\five,\four,\three,\two,\one...\Go! response:	Shu, what's wrong?
context: The target will be at the attack point in six,\five,\four,\three,\two,\one...\Go!\Shu, what's wrong? response:	Hey, what's the holdup?
context: five,\four,\three,\two,\one...\Go!\Shu, what's wrong?\Hey, what's the holdup? response:	Please, make it quick! They'll spot us!
context: four,\three,\two,\one...\Go!\Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us! response:	I can't!
context: three,\two,\one...\Go!\Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't! response:	Damn it! They've spotted us!
context: two,\one...\Go!\Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us! response:	Shu, what's wrong?! Answer me!
context: one...\Go!\Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me! response:	At this rate, everyone will...
context: Go!\Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will... response:	Come quick!
context: Shu, what's wrong?\Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick! response:	Shu.
context: Hey, what's the holdup?\Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick!\Shu. response:	Shu?!
context: Please, make it quick! They'll spot us!\I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick!\Shu.\Shu?! response:	Commander to all units, abort mission! Abort mission!
context: I can't!\Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick!\Shu.\Shu?!\Commander to all units, abort mission! Abort mission! response:	Blooming wildflower
context: Damn it! They've spotted us!\Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick!\Shu.\Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower response:	Do you love me, Shu?
context: Shu, what's wrong?! Answer me!\At this rate, everyone will...\Come quick!\Shu.\Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu? response:	I beg you, please tell me
context: At this rate, everyone will...\Come quick!\Shu.\Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu?\I beg you, please tell me response:	Yeah!
context: Come quick!\Shu.\Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu?\I beg you, please tell me\Yeah! response:	Then promise me something.
context: Shu.\Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu?\I beg you, please tell me\Yeah!\Then promise me something. response:	Promise you'll make your big sister happy.
context: Shu?!\Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu?\I beg you, please tell me\Yeah!\Then promise me something.\Promise you'll make your big sister happy. response:	Summer's sun clouded over, the wind streamed by
context: Commander to all units, abort mission! Abort mission!\Blooming wildflower\Do you love me, Shu?\I beg you, please tell me\Yeah!\Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by response:	The two overlapped
context: Blooming wildflower\Do you love me, Shu?\I beg you, please tell me\Yeah!\Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped response:	Shu!
context: Do you love me, Shu?\I beg you, please tell me\Yeah!\Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped\Shu! response:	Are you awake? I'm coming up!
context: I beg you, please tell me\Yeah!\Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped\Shu!\Are you awake? I'm coming up! response:	Morning, Shu! Did you sleep well?
context: Yeah!\Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped\Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well? response:	Here.
