context: Being Here response:	So let's do an experiment.
context: Being Here\So let's do an experiment. response:	Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100 response:	Should we start with 200 grams for the sticky rice flour dumplings?
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings? response:	Yeah!
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah! response:	NOD
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD response:	Should we call it chilled shiratama syrup?
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD\Should we call it chilled shiratama syrup? response:	Yeah, that's really cute!
context: Being Here\So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute! response:	Crescent Moon was going to have a food stand at the annual summer festival
context: So let's do an experiment.\Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival response:	in the shopping district.
context: Finest Quality Refined Rice Flour Domestic Wet-land Glutinous Rice 100\Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district. response:	This year, Grandpa let us decide what would be on the menu.
context: Should we start with 200 grams for the sticky rice flour dumplings?\Yeah!\NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu. response:	March Town Shopping District March Town Festival Sunday, July 28th
context: Yeah!\NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th response:	To explain it simply, the way you make rice flour dumplings...
context: NOD\Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings... response:	Step one. Knead the rice flour in cold water.
context: Should we call it chilled shiratama syrup?\Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water. response:	Step two. Roll into balls and boil in hot water.
context: Yeah, that's really cute!\Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water. response:	That's all.
context: Crescent Moon was going to have a food stand at the annual summer festival\in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all. response:	GIGGLE
context: in the shopping district.\This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE response:	See? Simple, right?
context: This year, Grandpa let us decide what would be on the menu.\March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE\See? Simple, right? response:	What? Simple, right? It's way too simple!
context: March Town Shopping District March Town Festival Sunday, July 28th\To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple! response:	EHHH
context: To explain it simply, the way you make rice flour dumplings...\Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple!\EHHH response:	I think we'll go with 200 grams of rice flour and about 160 cc of cold water.
context: Step one. Knead the rice flour in cold water.\Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water. response:	Rice flour is sold at the super market.
context: Step two. Roll into balls and boil in hot water.\That's all.\GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market. response:	Put the flour in a bowl and pour the water in a little at a time, mixing as we go.
context: That's all.\GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go. response:	Once it's mixed well, put some muscle in it as you knead it.
context: GIGGLE\See? Simple, right?\What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it. response:	If you put in too much water, it'll get sticky, and make it hard to form into balls,
context: See? Simple, right?\What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls, response:	so stop when the dough has taken shape.
context: What? Simple, right? It's way too simple!\EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape. response:	Then roll the dough out into rod shapes with your hands
context: EHHH\I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands response:	and rip them apart into bite-sized piece.
context: I think we'll go with 200 grams of rice flour and about 160 cc of cold water.\Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece. response:	I'm getting the hang of it!
context: Rice flour is sold at the super market.\Put the flour in a bowl and pour the water in a little at a time, mixing as we go.\Once it's mixed well, put some muscle in it as you knead it.\If you put in too much water, it'll get sticky, and make it hard to form into balls,\so stop when the dough has taken shape.\Then roll the dough out into rod shapes with your hands\and rip them apart into bite-sized piece.\I'm getting the hang of it! response:	KNEAD KNEAD
