context: Greabe: Cooking response:	Greabe: Cooking Contest
context: Greabe: Cooking\Greabe: Cooking Contest response:	Greabe: 50 Recipes for Dummies
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies response:	Greabe: Complete
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete response:	Left: Zange
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange response:	Center: Nagi
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange\Center: Nagi response:	Right: Tsugumi
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange\Center: Nagi\Right: Tsugumi response:	Greabe: Food-tasting
context: Greabe: Cooking\Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange\Center: Nagi\Right: Tsugumi\Greabe: Food-tasting response:	Underlined: Nagi
context: Greabe: Cooking Contest\Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange\Center: Nagi\Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi response:	Greabe: Height: 155cm
context: Greabe: 50 Recipes for Dummies\Greabe: Complete\Left: Zange\Center: Nagi\Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm response:	Greabe: Three-sizes: B78 W57 H80
context: Greabe: Complete\Left: Zange\Center: Nagi\Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80 response:	Greabe: Likes: Oishinbou
context: Left: Zange\Center: Nagi\Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou response:	Greabe: Dislikes: People who like big breasts
context: Center: Nagi\Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts response:	Arts Club
context: Right: Tsugumi\Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club response:	Greabe: Poster: nagi love
context: Greabe: Food-tasting\Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love response:	Greabe: Poster: Wealthy-girl-moe
context: Underlined: Nagi\Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe response:	Greabe: Ronery man
context: Greabe: Height: 155cm\Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man response:	TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.
context: Greabe: Three-sizes: B78 W57 H80\Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet. response:	Greabe: Poster: Yamakan
context: Greabe: Likes: Oishinbou\Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan response:	Greabe: Poster: Nagi-sama's manservant
context: Greabe: Dislikes: People who like big breasts\Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan\Greabe: Poster: Nagi-sama's manservant response:	Greabe: Poster: aaa
context: Arts Club\Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan\Greabe: Poster: Nagi-sama's manservant\Greabe: Poster: aaa response:	Let's see...
context: Greabe: Poster: nagi love\Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan\Greabe: Poster: Nagi-sama's manservant\Greabe: Poster: aaa\Let's see... response:	Greabe: Student Counseling Room
context: Greabe: Poster: Wealthy-girl-moe\Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan\Greabe: Poster: Nagi-sama's manservant\Greabe: Poster: aaa\Let's see...\Greabe: Student Counseling Room response:	Greabe: Image
context: Greabe: Ronery man\TL Note: Yamakan, the director of Kannagi, was previously sacked by Kyoto Animation after directing Lucky Star for 4 episodes. Kyo-ani's official stand was that he has not reached the level of a director yet.\Greabe: Poster: Yamakan\Greabe: Poster: Nagi-sama's manservant\Greabe: Poster: aaa\Let's see...\Greabe: Student Counseling Room\Greabe: Image response:	Typesetter note : What he said
