context: After all, Shiina Mashiro is... response:	A master painter...
context: After all, Shiina Mashiro is...\A master painter... response:	Sorata.
context: After all, Shiina Mashiro is...\A master painter...\Sorata. response:	Huh?
context: After all, Shiina Mashiro is...\A master painter...\Sorata.\Huh? response:	What's wrong?
context: After all, Shiina Mashiro is...\A master painter...\Sorata.\Huh?\What's wrong? response:	What's wrong with you?!
context: After all, Shiina Mashiro is...\A master painter...\Sorata.\Huh?\What's wrong?\What's wrong with you?! response:	My shower scenes lack sexiness, apparently.
context: After all, Shiina Mashiro is...\A master painter...\Sorata.\Huh?\What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently. response:	Ayano told me so.
context: After all, Shiina Mashiro is...\A master painter...\Sorata.\Huh?\What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so. response:	Oh, you're talking about your manga...
context: A master painter...\Sorata.\Huh?\What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga... response:	Hey! No, not the face!
context: Sorata.\Huh?\What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face! response:	Not bad as a love scene.
context: Huh?\What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene. response:	Do I really look that sexy right now?!
context: What's wrong?\What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?! response:	I think I get it now.
context: What's wrong with you?!\My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now. response:	Huh?! What?! Get what?!
context: My shower scenes lack sexiness, apparently.\Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?! response:	Wait, wait. Where are you going?! Where?!
context: Ayano told me so.\Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?! response:	To my room to continue drawing.
context: Oh, you're talking about your manga...\Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing. response:	You're leaving the shower like that?
context: Hey! No, not the face!\Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that? response:	The deadline for the New Artist Award isn't far off.
context: Not bad as a love scene.\Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off. response:	Can't you at least respond to what I said?!
