context: I know this one! response:	This one, too!
context: I know this one!\This one, too! response:	I can solve them so easily!
context: I know this one!\This one, too!\I can solve them so easily! response:	Hmm... going at it, I see.
context: I know this one!\This one, too!\I can solve them so easily!\Hmm... going at it, I see. response:	Well, well!
context: I know this one!\This one, too!\I can solve them so easily!\Hmm... going at it, I see.\Well, well! response:	Good work, Higurashi!
context: I know this one!\This one, too!\I can solve them so easily!\Hmm... going at it, I see.\Well, well!\Good work, Higurashi! response:	Perfect score!
context: I know this one!\This one, too!\I can solve them so easily!\Hmm... going at it, I see.\Well, well!\Good work, Higurashi!\Perfect score! response:	Wow! Great!
context: I know this one!\This one, too!\I can solve them so easily!\Hmm... going at it, I see.\Well, well!\Good work, Higurashi!\Perfect score!\Wow! Great! response:	Getting into high school is a cinch!
context: This one, too!\I can solve them so easily!\Hmm... going at it, I see.\Well, well!\Good work, Higurashi!\Perfect score!\Wow! Great!\Getting into high school is a cinch! response:	Congratulations, Kagome!
context: I can solve them so easily!\Hmm... going at it, I see.\Well, well!\Good work, Higurashi!\Perfect score!\Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome! response:	Congratulations!
context: Hmm... going at it, I see.\Well, well!\Good work, Higurashi!\Perfect score!\Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations! response:	Thank you!
context: Well, well!\Good work, Higurashi!\Perfect score!\Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations!\Thank you! response:	Thank you, everyone!
context: Good work, Higurashi!\Perfect score!\Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations!\Thank you!\Thank you, everyone! response:	This is not a dream!
context: Perfect score!\Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations!\Thank you!\Thank you, everyone!\This is not a dream! response:	This is NOT a dream!
context: Wow! Great!\Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations!\Thank you!\Thank you, everyone!\This is not a dream!\This is NOT a dream! response:	It was a dream, after all.
context: Getting into high school is a cinch!\Congratulations, Kagome!\Congratulations!\Thank you!\Thank you, everyone!\This is not a dream!\This is NOT a dream!\It was a dream, after all. response:	What?! Going back home again?
