context: The Old Year response:	After all my matches were over for the year,
context: The Old Year\After all my matches were over for the year, response:	I became bedridden with a terrible fever.
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever. response:	I curled up in my dimly-lit room,
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room, response:	and December 31st, the last day of the year, arrived.
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived. response:	I'm... thirsty.
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty. response:	Water...
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water... response:	Something... Have to eat something...
context: The Old Year\After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water...\Something... Have to eat something... response:	But I have just one pill left...
context: After all my matches were over for the year,\I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water...\Something... Have to eat something...\But I have just one pill left... response:	Need to go buy... But I can't...
context: I became bedridden with a terrible fever.\I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water...\Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't... response:	Too bothersome...
context: I curled up in my dimly-lit room,\and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water...\Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't...\Too bothersome... response:	Or rather, impossible...
context: and December 31st, the last day of the year, arrived.\I'm... thirsty.\Water...\Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't...\Too bothersome...\Or rather, impossible... response:	Oh well. I'll just go back to sleep.
context: I'm... thirsty.\Water...\Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't...\Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep. response:	I'll fall asleep.
context: Water...\Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't...\Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep. response:	I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.
context: Something... Have to eat something...\But I have just one pill left...\Need to go buy... But I can't...\Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened. response:	I stayed in the apartment for days.
context: But I have just one pill left...\Need to go buy... But I can't...\Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days. response:	Delirious with fever, I had the same dream over and over again.
context: Need to go buy... But I can't...\Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again. response:	The one I've had repeatedly, ever since I was a kid.
context: Too bothersome...\Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid. response:	The dream where I'm going up a long, long escalator.
context: Or rather, impossible...\Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator. response:	It's not scary or anything.
context: Oh well. I'll just go back to sleep.\I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything. response:	I just go up and up and when I reach the top...
context: I'll fall asleep.\I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top... response:	Who is that?
context: I'll go to sleep and maybe when I wake up, my fever will be down like it never happened.\I stayed in the apartment for days.\Delirious with fever, I had the same dream over and over again.\The one I've had repeatedly, ever since I was a kid.\The dream where I'm going up a long, long escalator.\It's not scary or anything.\I just go up and up and when I reach the top...\Who is that? response:	Who's there?
