context: Bring it! response:	Ushiwaka's amazing...
context: Bring it!\Ushiwaka's amazing... response:	I'm excited.
context: Bring it!\Ushiwaka's amazing...\I'm excited. response:	All right, here we go!
context: Bring it!\Ushiwaka's amazing...\I'm excited.\All right, here we go! response:	Well hello, left.
context: Bring it!\Ushiwaka's amazing...\I'm excited.\All right, here we go!\Well hello, left. response:	Haikyu!!
context: Bring it!\Ushiwaka's amazing...\I'm excited.\All right, here we go!\Well hello, left.\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: Bring it!\Ushiwaka's amazing...\I'm excited.\All right, here we go!\Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Shiratorizawa Karasuno
context: Bring it!\Ushiwaka's amazing...\I'm excited.\All right, here we go!\Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno response:	Nice kill, Ushijima!
context: Ushiwaka's amazing...\I'm excited.\All right, here we go!\Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima! response:	Be Courageous Warriors
context: I'm excited.\All right, here we go!\Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors response:	Episode 02: The Threat of the Left
context: All right, here we go!\Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left response:	Ushijima! Ushijima!
context: Well hello, left.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima! response:	Nishinoya-kun...
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun... response:	Don't mind! Next, next!
context: Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next! response:	Yeah.
context: Shiratorizawa Karasuno\Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next!\Yeah. response:	Don't mind!
context: Nice kill, Ushijima!\Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next!\Yeah.\Don't mind! response:	Next, next!
context: Be Courageous Warriors\Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next!\Yeah.\Don't mind!\Next, next! response:	Nice serve!
context: Episode 02: The Threat of the Left\Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next!\Yeah.\Don't mind!\Next, next!\Nice serve! response:	Out!
context: Ushijima! Ushijima!\Nishinoya-kun...\Don't mind! Next, next!\Yeah.\Don't mind!\Next, next!\Nice serve!\Out! response:	Yes!
context: Nishinoya-kun...\Don't mind! Next, next!\Yeah.\Don't mind!\Next, next!\Nice serve!\Out!\Yes! response:	Sorry!
context: Don't mind! Next, next!\Yeah.\Don't mind!\Next, next!\Nice serve!\Out!\Yes!\Sorry! response:	Nice serve, Taichi!
context: Yeah.\Don't mind!\Next, next!\Nice serve!\Out!\Yes!\Sorry!\Nice serve, Taichi! response:	Kawanishi, one more! Nice serve!
context: Don't mind!\Next, next!\Nice serve!\Out!\Yes!\Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve! response:	Got it!
context: Next, next!\Nice serve!\Out!\Yes!\Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it! response:	Tanaka-san!
context: Nice serve!\Out!\Yes!\Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it!\Tanaka-san! response:	Sorry!
context: Out!\Yes!\Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it!\Tanaka-san!\Sorry! response:	My bad.
context: Yes!\Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it!\Tanaka-san!\Sorry!\My bad. response:	Don't mind!
context: Sorry!\Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it!\Tanaka-san!\Sorry!\My bad.\Don't mind! response:	Are they nervous after all?
context: Nice serve, Taichi!\Kawanishi, one more! Nice serve!\Got it!\Tanaka-san!\Sorry!\My bad.\Don't mind!\Are they nervous after all? response:	Their movements are stiff...
context: Kawanishi, one more! Nice serve!\Got it!\Tanaka-san!\Sorry!\My bad.\Don't mind!\Are they nervous after all?\Their movements are stiff... response:	Shiratorizawa Karasuno
context: Got it!\Tanaka-san!\Sorry!\My bad.\Don't mind!\Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno response:	Damn it.
context: Tanaka-san!\Sorry!\My bad.\Don't mind!\Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno\Damn it. response:	We need to hurry up and regroup or it'll be too late...
context: Sorry!\My bad.\Don't mind!\Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late... response:	Calm down!
context: My bad.\Don't mind!\Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down! response:	There's no time to self-destruct!
context: Don't mind!\Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct! response:	U-Um...
context: Are they nervous after all?\Their movements are stiff...\Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct!\U-Um... response:	What the hell are you so nervous about?! The TV crews?
context: Their movements are stiff...\Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews? response:	Quit messing around!
context: Shiratorizawa Karasuno\Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around! response:	Got it! We got it, Suga, so calm down!
context: Damn it.\We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down! response:	Suga-san's scary...
context: We need to hurry up and regroup or it'll be too late...\Calm down!\There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary... response:	I'm so sorry!
context: Calm down!\There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry! response:	Someone gets far more agitated than the players and it helps calm them down...
context: There's no time to self-destruct!\U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down... response:	I don't care what the circumstance is.
context: U-Um...\What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is. response:	I just need them to score once and build momentum.
context: What the hell are you so nervous about?! The TV crews?\Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum. response:	Crap... He totally glared at me...
context: Quit messing around!\Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me... response:	Nice serve! One more!
context: Got it! We got it, Suga, so calm down!\Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more! response:	Got it!
context: Suga-san's scary...\I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more!\Got it! response:	Yes! It went up nicely!
context: I'm so sorry!\Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more!\Got it!\Yes! It went up nicely! response:	Go!
context: Someone gets far more agitated than the players and it helps calm them down...\I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more!\Got it!\Yes! It went up nicely!\Go! response:	Nice receive!
context: I don't care what the circumstance is.\I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more!\Got it!\Yes! It went up nicely!\Go!\Nice receive! response:	Wakatoshi!
context: I just need them to score once and build momentum.\Crap... He totally glared at me...\Nice serve! One more!\Got it!\Yes! It went up nicely!\Go!\Nice receive!\Wakatoshi! response:	All right!
context: Crap... He totally glared at me...\Nice serve! One more!\Got it!\Yes! It went up nicely!\Go!\Nice receive!\Wakatoshi!\All right! response:	Don't mind! Next, next!
context: Nice serve! One more!\Got it!\Yes! It went up nicely!\Go!\Nice receive!\Wakatoshi!\All right!\Don't mind! Next, next! response:	Ushijima!
context: Got it!\Yes! It went up nicely!\Go!\Nice receive!\Wakatoshi!\All right!\Don't mind! Next, next!\Ushijima! response:	Ushijima! Ushijima!
context: Yes! It went up nicely!\Go!\Nice receive!\Wakatoshi!\All right!\Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima! response:	Give me three.
context: Go!\Nice receive!\Wakatoshi!\All right!\Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima!\Give me three. response:	I promise I'll get used to it.
context: Nice receive!\Wakatoshi!\All right!\Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima!\Give me three.\I promise I'll get used to it. response:	Huh? I thought something was weird!
context: Wakatoshi!\All right!\Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima!\Give me three.\I promise I'll get used to it.\Huh? I thought something was weird! response:	One more!
context: All right!\Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima!\Give me three.\I promise I'll get used to it.\Huh? I thought something was weird!\One more! response:	Their 1 is left-handed?
context: Don't mind! Next, next!\Ushijima!\Ushijima! Ushijima!\Give me three.\I promise I'll get used to it.\Huh? I thought something was weird!\One more!\Their 1 is left-handed? response:	So that's why he approaches from the right.
context: Ushijima!\Ushijima! Ushijima!\Give me three.\I promise I'll get used to it.\Huh? I thought something was weird!\One more!\Their 1 is left-handed?\So that's why he approaches from the right. response:	Ryu always goes in from the left.
context: Ushijima! Ushijima!\Give me three.\I promise I'll get used to it.\Huh? I thought something was weird!\One more!\Their 1 is left-handed?\So that's why he approaches from the right.\Ryu always goes in from the left. response:	Yeah.
context: Give me three.\I promise I'll get used to it.\Huh? I thought something was weird!\One more!\Their 1 is left-handed?\So that's why he approaches from the right.\Ryu always goes in from the left.\Yeah. response:	Man... talk about a chosen ace.
