context: King Joseph of Gallia's recent attack response:	came completely out of the blue!
context: King Joseph of Gallia's recent attack\came completely out of the blue! response:	It was an unspeakable attempt
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt response:	to turn Romalia and many innocent people to ash.
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash. response:	We have been shaken by fear.
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear. response:	Being turned to ash is unbearable!
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable! response:	If you're turned to ash,
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash, response:	you can't even admire a woman's rear!
context: King Joseph of Gallia's recent attack\came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear! response:	And that is boring!
context: came completely out of the blue!\It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear!\And that is boring! response:	Truly boring!
context: It was an unspeakable attempt\to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear!\And that is boring!\Truly boring! response:	However,
context: to turn Romalia and many innocent people to ash.\We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear!\And that is boring!\Truly boring!\However, response:	these heroes stopped King Joseph's delusional plans.
context: We have been shaken by fear.\Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear!\And that is boring!\Truly boring!\However,\these heroes stopped King Joseph's delusional plans. response:	They are the ones who saved Halkeginia, no,
context: Being turned to ash is unbearable!\If you're turned to ash,\you can't even admire a woman's rear!\And that is boring!\Truly boring!\However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no, response:	the entire world!
context: If you're turned to ash,\you can't even admire a woman's rear!\And that is boring!\Truly boring!\However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world! response:	Long live Tristain!
context: you can't even admire a woman's rear!\And that is boring!\Truly boring!\However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain! response:	I'm truly relieved that you made it back alive.
context: And that is boring!\Truly boring!\However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive. response:	Now let us eat, drink, and be merry!
context: Truly boring!\However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry! response:	Let us enjoy these hours of peace.
context: However,\these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace. response:	This way, please.
context: these heroes stopped King Joseph's delusional plans.\They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please. response:	That's it?
context: They are the ones who saved Halkeginia, no,\the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please.\That's it? response:	Not even a reward?
context: the entire world!\Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please.\That's it?\Not even a reward? response:	If anyone's getting a reward, it would be Saito.
context: Long live Tristain!\I'm truly relieved that you made it back alive.\Now let us eat, drink, and be merry!\Let us enjoy these hours of peace.\This way, please.\That's it?\Not even a reward?\If anyone's getting a reward, it would be Saito. response:	After all, he's the one who saved Romalia.
