context: Today was another exhausting day. response:	I just want to hurry home so I can relax.
context: Today was another exhausting day.\I just want to hurry home so I can relax. response:	K-Koichi...
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi... response:	Hazamada...
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi...\Hazamada... response:	Hey, how are you doing?
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi...\Hazamada...\Hey, how are you doing? response:	Th-Thanks for everything the other day.
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi...\Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day. response:	Um, are you all healed up now?
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi...\Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now? response:	Kinda. I was released from the hospital two days ago.
context: Today was another exhausting day.\I just want to hurry home so I can relax.\K-Koichi...\Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago. response:	Where's that bastard I mean, where's Josuke?
context: I just want to hurry home so I can relax.\K-Koichi...\Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke? response:	He already went home.
context: K-Koichi...\Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home. response:	Apparently, he found an invisible baby yesterday,
context: Hazamada...\Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday, response:	and there was a big fuss over finding her mother.
context: Hey, how are you doing?\Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother. response:	Is she a Stand user?
context: Th-Thanks for everything the other day.\Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user? response:	Apparently.
context: Um, are you all healed up now?\Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently. response:	The baby has only warmed up to Josuke's father, Mr. Joestar,
context: Kinda. I was released from the hospital two days ago.\Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar, response:	and if he's not around, she turns everything around her invisible.
context: Where's that bastard I mean, where's Josuke?\He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible. response:	So is Mr. Joestar going to be in town for a while, then?
context: He already went home.\Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then? response:	Probably.
context: Apparently, he found an invisible baby yesterday,\and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably. response:	I see. By the way, Koichi, do you like to read manga?
context: and there was a big fuss over finding her mother.\Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga? response:	Manga? Oh, I guess about as much as anyone.
context: Is she a Stand user?\Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone. response:	Have you heard of Rohan Kishibe, who draws Pink Dark Boy?
context: Apparently.\The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy? response:	Pink Dark Boy? Of course!
context: The baby has only warmed up to Josuke's father, Mr. Joestar,\and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course! response:	I'm a huge fan!
context: and if he's not around, she turns everything around her invisible.\So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan! response:	Yeah? You like it?
context: So is Mr. Joestar going to be in town for a while, then?\Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it? response:	I guess you'd call it horror suspense.
context: Probably.\I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense. response:	There are some pretty gross scenes,
context: I see. By the way, Koichi, do you like to read manga?\Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes, response:	but the thrills that seem to close in on you
context: Manga? Oh, I guess about as much as anyone.\Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you response:	and the realistic characters are great, aren't they?
context: Have you heard of Rohan Kishibe, who draws Pink Dark Boy?\Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they? response:	Right, right!
context: Pink Dark Boy? Of course!\I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right! response:	Did you know that Rohan Kishibe actually lives in Morioh?
context: I'm a huge fan!\Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh? response:	Huh?!
context: Yeah? You like it?\I guess you'd call it horror suspense.\There are some pretty gross scenes,\but the thrills that seem to close in on you\and the realistic characters are great, aren't they?\Right, right!\Did you know that Rohan Kishibe actually lives in Morioh?\Huh?! response:	What?! He lives in Morioh?!
