context: Once upon a time, there was a man who died. response:	The man's work was to write and tell stories, but he could not defy death.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death. response:	The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven. response:	But now, their battle will go on for eternity with no end.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end. response:	'I'm sick and tired of this!' cried the raven.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven. response:	'I'm sick and tired of this!' cried the brave prince as well.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well. response:	The raven escaped from within the story and the prince, in pursuit of the raven, did as well.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well. response:	Then, the prince took out his own heart and sealed the raven away by using a forbidden power.
context: Once upon a time, there was a man who died.\The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power. response:	Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.
context: The man's work was to write and tell stories, but he could not defy death.\The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died. response:	Quack.
context: The man's last story was about a brave and handsome prince, who vanquishes a crafty raven.\But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack. response:	Quack...
context: But now, their battle will go on for eternity with no end.\'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack... response:	I want...
context: 'I'm sick and tired of this!' cried the raven.\'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack...\I want... response:	I want to dance with him too.
context: 'I'm sick and tired of this!' cried the brave prince as well.\The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack...\I want...\I want to dance with him too. response:	With the prince.
context: The raven escaped from within the story and the prince, in pursuit of the raven, did as well.\Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack...\I want...\I want to dance with him too.\With the prince. response:	But I'm a duck.
context: Then, the prince took out his own heart and sealed the raven away by using a forbidden power.\Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack...\I want...\I want to dance with him too.\With the prince.\But I'm a duck. response:	Both my voice and appearance. Just a duck.
context: Just then, from somewhere,'This is great,'murmured the man, who was supposed to have died.\Quack.\Quack...\I want...\I want to dance with him too.\With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck. response:	I can't dance with him, nor can I even hold his hand.
context: Quack.\Quack...\I want...\I want to dance with him too.\With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand. response:	And his eyes always look so lonely.
context: Quack...\I want...\I want to dance with him too.\With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely. response:	Please laugh. I want to see your smile, my prince.
context: I want...\I want to dance with him too.\With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince. response:	Quack!
context: I want to dance with him too.\With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack! response:	Quack...
context: With the prince.\But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack!\Quack... response:	Well, well, you care for him, don't you?
context: But I'm a duck.\Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack!\Quack...\Well, well, you care for him, don't you? response:	Quack? Quack...
context: Both my voice and appearance. Just a duck.\I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack!\Quack...\Well, well, you care for him, don't you?\Quack? Quack... response:	A little duck like you...
context: I can't dance with him, nor can I even hold his hand.\And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack!\Quack...\Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you... response:	Quack!
context: And his eyes always look so lonely.\Please laugh. I want to see your smile, my prince.\Quack!\Quack...\Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you...\Quack! response:	Monster!
context: Please laugh. I want to see your smile, my prince.\Quack!\Quack...\Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you...\Quack!\Monster! response:	Huh?
context: Quack!\Quack...\Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you...\Quack!\Monster!\Huh? response:	'The Duck and the Prince'
context: Quack...\Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you...\Quack!\Monster!\Huh?\'The Duck and the Prince' response:	To the girls' dormitory at Gold Crown Academy
context: Well, well, you care for him, don't you?\Quack? Quack...\A little duck like you...\Quack!\Monster!\Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy response:	it's come, it's come again today, the morning has
context: Quack? Quack...\A little duck like you...\Quack!\Monster!\Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has response:	The dream I had, the weird dream...
context: A little duck like you...\Quack!\Monster!\Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream... response:	Morning! Whoa! Ow! Ow!
context: Quack!\Monster!\Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow! response:	Wait, wait!
context: Monster!\Huh?\'The Duck and the Prince'\To the girls' dormitory at Gold Crown Academy\it's come, it's come again today, the morning has\The dream I had, the weird dream...\Morning! Whoa! Ow! Ow!\Wait, wait! response:	I said, wait!
